Merkki,Malli,Hylkäys %,Yleisin hylkäyssyy,Toiseksi yleisin hylkäyssyy
Kaikki yhteensä,"","6,72","",""
"","","","",""
Suzuki,SWIFT,",98","",""
Skoda,YETI,"1,57","",""
Volvo,XC60,"1,65","",""
Jaguar,XF,"1,79","",""
Toyota,LAND CRUISER,"1,98","",""
Toyota,AVENSIS,"2,33","",""
Ford,FUSION,"2,34","",""
Volkswagen,TIGUAN,"2,35","",""
Volvo,C30,"2,35","",""
Volvo,S40,"2,45","",""
Volkswagen,SCIROCCO,"2,48","",""
Volvo,C70,"2,52","",""
Toyota,VERSO,"2,58","",""
Audi,Q5,"2,67","",""
Audi,A4,"2,75","",""
Audi,A6,"2,80",Renkaat ja vanteet,Sisäinen valvontajärjestelmä (OBD)
Toyota,IQ,"2,99","",""
Toyota,URBAN CRUISER,"3,00","",""
Toyota,AYGO,"3,11","",""
Volkswagen,GOLF,"3,15",Bensiinimoottorin pakokaasumittaus,Renkaat ja vanteet
Toyota,COROLLA,"3,21","",""
Toyota,YARIS,"3,36","",""
Audi,A3,"3,37",Bensiinimoottorin pakokaasumittaus,Renkaat ja vanteet
Toyota,AURIS,"3,38","",""
Citroen,C2,"3,42","",""
Skoda,OCTAVIA,"3,48","",""
Honda,CR-V,"3,81",Käyttöjarru,Renkaat ja vanteet
Suzuki,SX4,"3,81","",""
Saab,9-5,"3,88","",""
Mitsubishi,LANCER,"3,89","",""
Volvo,V50,"3,90",Renkaat ja vanteet,Etuakselisto
Opel,ASTRA,"3,92",Käyttöjarru,Käyttöjarrun dynamometritesti
Ford,KUGA,"4,02","",""
Peugeot,107,"4,11","",""
Volkswagen,POLO,"4,18",Renkaat ja vanteet,Seisontajarrun dynamometritesti
Toyota,PRIUS,"4,29","",""
Audi,A5,"4,47","",""
Peugeot,206,"4,55","",""
Honda,ACCORD,"4,58",Käyttöjarru,Renkaat ja vanteet
Seat,ALTEA,"4,62","",""
Mini,COOPER/ ONE,"4,62","",""
Honda,CIVIC,"4,69",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Volkswagen,PASSAT,"4,69",Renkaat ja vanteet,Jousitus ja iskunvaimennus
Seat,IBIZA,"4,75","",""
Mazda,6,"4,91",Seisontajarrun dynamometritesti,Etuakselisto
Volkswagen,JETTA,"4,93","",""
Suzuki,ALTO,"5,00","",""
Mazda,3,"5,03",Sisäinen valvontajärjestelmä (OBD),Etuakselisto
Skoda,FABIA,"5,06","",""
Seat,LEON,"5,15","",""
Nissan,TIIDA,"5,26",Etuakselisto,Bensiinimoottorin pakokaasumittaus
Subaru,LEGACY,"5,28","",""
Mercedes-Benz,C,"5,78",Etuakselisto,Käyttöjarru
Skoda,SUPERB,"5,79",Renkaat ja vanteet,Taka-akselisto
Honda,INSIGHT,"5,98","",""
Ford,FOCUS C-MAX,"6,15","",""
Honda,JAZZ,"6,17",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
BMW,X5,"6,36","",""
Nissan,NOTE,"6,42",Etuakselisto,Jousitus ja iskunvaimennus
Hyundai,I20,"6,57",Käyttöjarru,Sisäinen valvontajärjestelmä (OBD)
Toyota,RAV4,"6,57",Jousitus ja iskunvaimennus,Käyttöjarru
Nissan,MICRA,"6,67",Etuakselisto,Renkaat ja vanteet
Volvo,V70,"6,69",Ohjausnivelet ja -tangot,Käyttöjarru
Opel,ZAFIRA,"6,72","",""
Suzuki,GRAND VITARA,"6,84","",""
Nissan,QASHQAI,"6,89",Etuakselisto,Käyttöjarru
BMW,1,"6,96",Taka-akselisto,Jousitus ja iskunvaimennus
Peugeot,407,"7,00",Etuakselisto,Käyttöjarru
Fiat,LINEA,"7,02","",""
Opel,INSIGNIA,"7,33",Käyttöjarru,Sisäinen valvontajärjestelmä (OBD)
Mitsubishi,COLT,"7,39","",""
Kia,CEED,"7,47",Taka-akselisto,Renkaat ja vanteet
Mitsubishi,OUTLANDER,"7,49","",""
Ford,S-MAX,"7,54","",""
Skoda,ROOMSTER,"7,63","",""
BMW,3,"7,70",Taka-akselisto,Käyttöjarru
Opel,CORSA,"7,76",Jousitus ja iskunvaimennus,Käyttöjarrun dynamometritesti
Ford,KA,"7,84","",""
Ford,MONDEO,"7,90",Jousitus ja iskunvaimennus,Ohjausnivelet ja -tangot
Mercedes-Benz,GLK,"7,92",Jousitus ja iskunvaimennus,Seisontajarrun dynamometritesti
Ford,FOCUS,"7,93",Dieselmoottorin pakokaasumittaus,Jousitus ja iskunvaimennus
Renault,LAGUNA,"8,00","",""
Nissan,X-TRAIL,"8,00","",""
Kia,SPORTAGE,"8,28","",""
Fiat,PUNTO,"8,61",Jousitus ja iskunvaimennus,Sisäinen valvontajärjestelmä (OBD)
Mercedes-Benz,A,"8,79",Jousitus ja iskunvaimennus,Seisontajarrun dynamometritesti
Volvo,S60,"8,86",Jousitus ja iskunvaimennus,Renkaat ja vanteet
Hyundai,GETZ,"8,93","",""
Mazda,5,"9,09","",""
Dodge,AVENGER,"9,09",Ohjausnivelet ja -tangot,Sisäinen valvontajärjestelmä (OBD)
Volvo,S80,"9,40",Käyttöjarru,Ohjausnivelet ja -tangot
Mercedes-Benz,M,"9,43","",""
Saab,9-3,"9,76",Jousitus ja iskunvaimennus,Taka-akselisto
Mercedes-Benz,B,"9,85",Jousitus ja iskunvaimennus,Etuakselisto
Peugeot,308,"10,24",Käyttöjarru,Etuakselisto
Renault,MEGANE,"10,28",Etuakselisto,Käyttöjarru
Citroen,BERLINGO,"10,34","",""
Volkswagen,CADDY,"10,77",Käyttöjarru,Renkaat ja vanteet
Hyundai,I 30,"10,88",Seisontajarrun dynamometritesti,Renkaat ja vanteet
Mercedes-Benz,E,"11,19",Jousitus ja iskunvaimennus,Ohjausnivelet ja -tangot
Volkswagen,TOURAN,"11,23",Jousitus ja iskunvaimennus,Dieselmoottorin pakokaasumittaus
Chevrolet,AVEO,"11,35",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Mazda,2,"11,45",Ohjausnivelet ja -tangot,Renkaat ja vanteet
Ford,FIESTA,"11,49",Ohjausnivelet ja -tangot,Käyttöjarrun dynamometritesti
Fiat,500,"11,59",Jousitus ja iskunvaimennus,Etuakselisto
Peugeot,207,"11,86",Dieselmoottorin pakokaasumittaus,Sisäinen valvontajärjestelmä (OBD)
Fiat,BRAVO,"13,37",Ohjausnivelet ja -tangot,Käyttöjarrun dynamometritesti
Volkswagen,TRANSPORTER,"13,48",Jousitus ja iskunvaimennus,Ohjausnivelet ja -tangot
Citroen,C3,"14,11",Etuakselisto,Dieselmoottorin pakokaasumittaus
Ford,GALAXY,"14,41","",""
Citroen,C4 PICASSO,"14,47",Etuakselisto,Renkaat ja vanteet
Citroen,C5,"14,86",Ohjausnivelet ja -tangot,Etuakselisto
