Merkki,Malli,Hylkäys %,Yleisin hylkäyssyy,Toiseksi yleisin hylkäyssyy
Chrysler,NEON,"34,54",Etuakselisto,Ohjausnivelet ja -tangot
Opel,ZAFIRA,"34,75",Jousitus ja iskunvaimennus,Seisontajarrun dynamometritesti
Mercedes-Benz,C,"34,83",Etuakselisto,Jousitus ja iskunvaimennus
Opel,VECTRA,"35,01",Jousitus ja iskunvaimennus,Taka-akselisto
Chrysler,VOYAGER,"35,21",Seisontajarrun dynamometritesti,Käyttöjarru
Peugeot,307,"35,23",Etuakselisto,Ohjausnivelet ja -tangot
Ford,MONDEO,"35,44",Seisontajarrun dynamometritesti,Käyttöjarru
Mercedes-Benz,E,"35,95",Etuakselisto,Jousitus ja iskunvaimennus
Hyundai,SONATA,"36,14",Käyttöjarru,Taka-akselisto
Opel,OMEGA,"36,47",Ohjausnivelet ja -tangot,Sisäinen valvontajärjestelmä (OBD)
Citroen,XSARA PICASSO,"36,57",Sisäinen valvontajärjestelmä (OBD),Ohjausnivelet ja -tangot
Alfa Romeo,147,"37,76",Etuakselisto,Sisäinen valvontajärjestelmä (OBD)
Hyundai,ELANTRA,"38,10",Sisäinen valvontajärjestelmä (OBD),Seisontajarrun dynamometritesti
Alfa Romeo,156,"38,92",Etuakselisto,Sisäinen valvontajärjestelmä (OBD)
Fiat,MAREA WEEKEND,"38,94","",""
Fiat,BRAVA,"40,20",Ohjausnivelet ja -tangot,Käyttöjarru
Mercedes-Benz,M,"40,36",Ohjausnivelet ja -tangot,Etuakselisto
Chrysler,PT CRUISER,"40,48",Etuakselisto,Ohjausnivelet ja -tangot
Peugeot,PARTNER,"40,54",Ohjausnivelet ja -tangot,Käyttöjarrun dynamometritesti
Citroen,C5,"42,21",Sisäinen valvontajärjestelmä (OBD),Etuakselisto
Chevrolet,TRANS SPORT,"42,33",Alustan kotelot ja pohjalevy,Sisäinen valvontajärjestelmä (OBD)
Fiat,STILO,"42,69",Etuakselisto,Sisäinen valvontajärjestelmä (OBD)
Peugeot,406,"44,55",Taka-akselisto,Seisontajarrun dynamometritesti
Mercedes-Benz,B,"44,67",Etuakselisto,Jousitus ja iskunvaimennus
Volkswagen,TRANSPORTER,"45,22",Käyttöjarrun dynamometritesti,Jousitus ja iskunvaimennus
