Merkki,Malli,Hylkäys %,Yleisin hylkäyssyy,Toiseksi yleisin hylkäyssyy
Kaikki yhteensä,"","27,06","",""
"","","","",""
Honda,HR-V,"9,40","",""
Toyota,COROLLA,"10,95",Käyttöjarru,Käyttöjarrun dynamometritesti
Ford,FIESTA,"12,05",Jousitus ja iskunvaimennus,Sisäinen valvontajärjestelmä (OBD)
Toyota,AVENSIS,"12,13",Seisontajarrun dynamometritesti,Käyttöjarru
Toyota,RAV4,"12,14",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Toyota,CAMRY,"12,31",Käyttöjarru,Sisäinen valvontajärjestelmä (OBD)
Toyota,YARIS,"15,10",Käyttöjarru,Käyttöjarrun dynamometritesti
Honda,CR-V,"15,19",Sisäinen valvontajärjestelmä (OBD),Jousitus ja iskunvaimennus
Suzuki,GRAND VITARA,"16,00","",""
Nissan,MICRA,"17,59",Käyttöjarrun dynamometritesti,Etuakselisto
Nissan,ALMERA,"18,13",Jousitus ja iskunvaimennus,Käyttöjarru
Volkswagen,BORA,"18,48",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Honda,CIVIC,"18,62",Sisäinen valvontajärjestelmä (OBD),Jousitus ja iskunvaimennus
Audi,A3,"19,10",Sisäinen valvontajärjestelmä (OBD),Jousitus ja iskunvaimennus
Volkswagen,GOLF,"19,27",Käyttöjarru,Sisäinen valvontajärjestelmä (OBD)
Mitsubishi,PAJERO,"19,66","",""
Jaguar,S-TYPE,"20,26",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Honda,ACCORD,"20,70",Etuakselisto,Seisontajarrun dynamometritesti
Saab,9-5,"20,90",Taka-akselisto,Käyttöjarru
Jeep,CHEROKEE,"21,39",Taka-akselisto,Seisontajarrun dynamometritesti
Mazda,6,"21,73",Käyttöjarrun dynamometritesti,Käyttöjarru
Mazda,2,"22,03",Käyttöjarru,Alustan kotelot ja pohjalevy
Mitsubishi,CARISMA,"22,41",Käyttöjarru,Seisontajarrun dynamometritesti
Skoda,OCTAVIA,"22,41",Käyttöjarrun dynamometritesti,Käyttöjarru
Suzuki,LIANA,"22,82",Etuakselisto,Sisäinen valvontajärjestelmä (OBD)
Ford,FOCUS,"23,19",Seisontajarrun dynamometritesti,Käyttöjarru
Honda,STREAM,"23,33",Sisäinen valvontajärjestelmä (OBD),Käyttöjarrun dynamometritesti
Audi,A4,"23,54",Käyttöjarru,Etuakselisto
Opel,AGILA,"23,58","",""
Nissan,MAXIMA QX,"23,91",Etuakselisto,Sisäinen valvontajärjestelmä (OBD)
Land Rover,FREELANDER,"24,39",Sisäinen valvontajärjestelmä (OBD),Ohjausnivelet ja -tangot
Opel,ASTRA,"25,10",Jousitus ja iskunvaimennus,Ohjausnivelet ja -tangot
Saab,9-3,"25,13",Etuakselisto,Seisontajarrun dynamometritesti
Seat,TOLEDO,"25,24",Käyttöjarru,Bensiinimoottorin pakokaasumittaus
Lada-Vaz,112,"25,70",Sisäinen valvontajärjestelmä (OBD),Käyttöjarrun dynamometritesti
Audi,A6,"25,81",Etuakselisto,Käyttöjarru
Mercedes-Benz,CLK,"25,96",Etuakselisto,Jousitus ja iskunvaimennus
Mazda,PREMACY,"27,17",Seisontajarrun dynamometritesti,Käyttöjarru
Volvo,S40,"27,28",Käyttöjarru,Seisontajarrun dynamometritesti
Mini,COOPER/ ONE,"27,45",Etuakselisto,Seisontajarrun dynamometritesti
Renault,CLIO,"27,61",Jousitus ja iskunvaimennus,Ohjausnivelet ja -tangot
Volvo,S80,"28,19",Etuakselisto,Käyttöjarru
BMW,5,"28,50",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Opel,CORSA,"28,52",Jousitus ja iskunvaimennus,Ohjausnivelet ja -tangot
Volvo,S60,"28,73",Etuakselisto,Käyttöjarru
BMW,X5,"29,09",Etuakselisto,Taka-akselisto
Seat,LEON,"29,34",Jousitus ja iskunvaimennus,Seisontajarrun dynamometritesti
Jaguar,X-TYPE,"29,46",Taka-akselisto,Seisontajarrun dynamometritesti
Renault,MEGANE,"29,58",Sisäinen valvontajärjestelmä (OBD),Seisontajarrun dynamometritesti
Lada-Vaz,SAMARA,"29,87",Sisäinen valvontajärjestelmä (OBD),Käyttöjarrun dynamometritesti
Volkswagen,POLO,"30,33",Käyttöjarru,Etuakselisto
Seat,IBIZA,"30,58",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Citroen,XSARA,"30,64",Ohjausnivelet ja -tangot,Etuakselisto
Citroen,SAXO,"30,91",Käyttöjarrun dynamometritesti,Sisäinen valvontajärjestelmä (OBD)
Volkswagen,PASSAT,"30,96",Etuakselisto,Käyttöjarru
Seat,CORDOBA,"30,99",Etuakselisto,Käyttöjarrun dynamometritesti
Mercedes-Benz,A,"31,20",Jousitus ja iskunvaimennus,Sisäinen valvontajärjestelmä (OBD)
Mitsubishi,SPACE STAR,"31,37",Käyttöjarru,Seisontajarrun dynamometritesti
Nissan,PRIMERA,"31,40",Etuakselisto,Käyttöjarru
Ford,KA,"31,51",Jousitus ja iskunvaimennus,Alustan kotelot ja pohjalevy
Volvo,C70,"31,58",Käyttöjarru,Etuakselisto
Fiat,PUNTO,"31,94",Sisäinen valvontajärjestelmä (OBD),Ohjausnivelet ja -tangot
Citroen,C3,"32,19",Etuakselisto,Jousitus ja iskunvaimennus
Chrysler,SEBRING,"32,44",Ohjausnivelet ja -tangot,Taka-akselisto
Skoda,FABIA,"33,01",Käyttöjarru,Sisäinen valvontajärjestelmä (OBD)
Renault,TWINGO,"33,02",Jousitus ja iskunvaimennus,Ohjausnivelet ja -tangot
Peugeot,607,"33,09",Sisäinen valvontajärjestelmä (OBD),Ohjausnivelet ja -tangot
Volvo,V40,"33,26",Käyttöjarru,Jousitus ja iskunvaimennus
Peugeot,206,"33,33",Etuakselisto,Käyttöjarru
Citroen,BERLINGO,"33,33",Ohjausnivelet ja -tangot,Jousitus ja iskunvaimennus
BMW,3,"34,44",Etuakselisto,Käyttöjarru
Volvo,V70,"34,44",Etuakselisto,Käyttöjarru
Ford,GALAXY,"34,51",Jousitus ja iskunvaimennus,Seisontajarrun dynamometritesti
