Merkki,Malli,Hylkäys %,Yleisin hylkäyssyy,Toiseksi yleisin hylkäyssyy
Kaikki yhteensä,"","35,7","",""
"","","","",""
Toyota,COROLLA,"11,1",Sisäinen valvontajärjestelmä (OBD),Käyttöjarrun dynamometritesti
Mercedes-Benz,SLK,"13,8","",""
Toyota,RAV4,"14,9",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Toyota,AVENSIS,"16,9",Seisontajarrun dynamometritesti,Käyttöjarrun dynamometritesti
Toyota,YARIS,"21,4",Käyttöjarru,Alustan kotelot ja pohjalevy
Honda,CIVIC,"22,1",Sisäinen valvontajärjestelmä (OBD),Etuakselisto
Honda,HR-V,"22,5",Ohjausnivelet ja -tangot,Alustan kotelot ja pohjalevy
Mercedes-Benz,CLK,"23,4",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Audi,TT,"24,5","",""
Ford,FIESTA,"26,2",Jousitus ja iskunvaimennus,Käyttöjarrun dynamometritesti
Lada-Vaz,SAMARA,"26,7",Sisäinen valvontajärjestelmä (OBD),Käyttöjarrun dynamometritesti
Saab,9-5,"26,9",Taka-akselisto,Sisäinen valvontajärjestelmä (OBD)
Nissan,MICRA,"28,2",Alustan kotelot ja pohjalevy,Käyttöjarrun dynamometritesti
Jaguar,S-TYPE,"28,6",Seisontajarrun dynamometritesti,Alustan kotelot ja pohjalevy
Opel,CORSA,"28,8",Jousitus ja iskunvaimennus,Seisontajarrun dynamometritesti
Honda,CR-V,"29,1",Etuakselisto,Alustan kotelot ja pohjalevy
Honda,STREAM,"29,3",Sisäinen valvontajärjestelmä (OBD),Käyttöjarrun dynamometritesti
Nissan,ALMERA,"29,4",Käyttöjarru,Seisontajarrun dynamometritesti
Lada-Vaz,112,"29,6",Sisäinen valvontajärjestelmä (OBD),Seisontajarrun dynamometritesti
Jeep,CHEROKEE,"29,8",Ohjausnivelet ja -tangot,Seisontajarrun dynamometritesti
Audi,A2,"29,9",Seisontajarrun dynamometritesti,Käyttöjarrun dynamometritesti
Opel,ASTRA,"30,1",Seisontajarrun dynamometritesti,Jousitus ja iskunvaimennus
Opel,AGILA,"30,7",Etuakselisto,Seisontajarrun dynamometritesti
Audi,A4,"32,1",Käyttöjarru,Etuakselisto
Citroen,SAXO,"32,2",Käyttöjarrun dynamometritesti,Sisäinen valvontajärjestelmä (OBD)
Nissan,MAXIMA QX,"33,1",Alustan kotelot ja pohjalevy,Etuakselisto
