Merkki,Malli,Hylkäys %,Yleisin hylkäyssyy,Toiseksi yleisin hylkäyssyy
Kaikki yhteensä,"","25,5","",""
"","","","",""
Toyota,CAMRY,"6,9","",""
Honda,HR-V,"9,3","",""
Ford,FUSION,"9,8","",""
Toyota,COROLLA,"10,1",Käyttöjarru,Käyttöjarrun dynamometritesti
Subaru,LEGACY,"10,1",Bensiinimoottorin pakokaasumittaus,Käyttöjarru
Ford,FIESTA,"10,3",Jousitus ja iskunvaimennus,Käyttöjarrun dynamometritesti
Mazda,2,"11,0","",""
Toyota,LAND CRUISER,"11,1",Etuakselisto,Käyttöjarrun dynamometritesti
Toyota,RAV4,"11,6",Käyttöjarru,Sisäinen valvontajärjestelmä (OBD)
Toyota,AVENSIS,"11,6",Käyttöjarru,Sisäinen valvontajärjestelmä (OBD)
Toyota,YARIS,"12,0",Käyttöjarru,Käyttöjarrun dynamometritesti
Mitsubishi,COLT,"12,3","",""
Suzuki,GRAND VITARA,"12,8",Käyttöjarrun dynamometritesti,Jousitus ja iskunvaimennus
Hyundai,GETZ,"13,7",Sisäinen valvontajärjestelmä (OBD),Käyttöjarrun dynamometritesti
Honda,CIVIC,"14,3",Käyttöjarru,Etuakselisto
Subaru,FORESTER,"14,4",Bensiinimoottorin pakokaasumittaus,Sisäinen valvontajärjestelmä (OBD)
Honda,JAZZ,"14,6",Käyttöjarru,Seisontajarrun dynamometritesti
Honda,CR-V,"14,9",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Suzuki,LIANA,"15,8",Etuakselisto,Sisäinen valvontajärjestelmä (OBD)
Volkswagen,BORA,"16,4",Seisontajarrun dynamometritesti,Käyttöjarru
Subaru,IMPREZA,"16,6","",""
Suzuki,IGNIS,"17,0",Etuakselisto,Renkaat ja vanteet
BMW,X3,"17,6",Jousitus ja iskunvaimennus,Käyttöjarru
Mazda,RX-8,"17,8","",""
Nissan,ALMERA,"18,5",Seisontajarrun dynamometritesti,Käyttöjarru
Smart,FORFOUR,"19,3",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Audi,A4,"19,7",Käyttöjarru,Etuakselisto
Audi,A6,"19,8",Etuakselisto,Käyttöjarru
Mercedes-Benz,SLK,"19,9",Jousitus ja iskunvaimennus,Sisäinen valvontajärjestelmä (OBD)
Volvo,C70,"20,4",Jousitus ja iskunvaimennus,Ohjausnivelet ja -tangot
Land Rover,FREELANDER,"20,6",Ohjausnivelet ja -tangot,Sisäinen valvontajärjestelmä (OBD)
Honda,STREAM,"20,7",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Toyota,HIACE,"20,8","",""
Jaguar,S-TYPE,"21,0",Taka-akselisto,Käyttöjarru
Ford,FOCUS,"21,5",Seisontajarrun dynamometritesti,Ohjausnivelet ja -tangot
Volkswagen,GOLF,"21,7",Käyttöjarru,Jousitus ja iskunvaimennus
Nissan,MAXIMA QX,"21,7",Etuakselisto,Käyttöjarru
Kia,SORENTO,"21,7",Käyttöjarru,Seisontajarrun dynamometritesti
Volvo,S80,"22,1",Etuakselisto,Seisontajarrun dynamometritesti
Mitsubishi,PAJERO,"22,3",Etuakselisto,Käyttöjarrun dynamometritesti
Saab,9-5,"22,4",Taka-akselisto,Sisäinen valvontajärjestelmä (OBD)
Hyundai,SONATA,"22,6",Käyttöjarru,Taka-akselisto
Skoda,SUPERB,"22,9",Etuakselisto,Sisäinen valvontajärjestelmä (OBD)
Nissan,MICRA,"23,0",Etuakselisto,Ohjausnivelet ja -tangot
Mitsubishi,GRANDIS,"23,2","",""
Mini,COOPER/ ONE,"23,4",Sisäinen valvontajärjestelmä (OBD),Etuakselisto
Mazda,6,"23,7",Alustan kotelot ja pohjalevy,Käyttöjarru
Volkswagen,PASSAT,"23,8",Etuakselisto,Käyttöjarru
Volkswagen,CADDY,"23,9",Käyttöjarru,Seisontajarrun dynamometritesti
Hyundai,SANTA FE,"24,0",Etuakselisto,Seisontajarrun dynamometritesti
Peugeot,206,"24,6",Etuakselisto,Ohjausnivelet ja -tangot
Jeep,CHEROKEE,"24,7",Seisontajarrun dynamometritesti,Etuakselisto
Audi,A3,"25,2",Käyttöjarru,Jousitus ja iskunvaimennus
Opel,ASTRA,"25,3",Jousitus ja iskunvaimennus,Ohjausnivelet ja -tangot
Ford,KA,"25,6",Jousitus ja iskunvaimennus,Alustan kotelot ja pohjalevy
Fiat,PUNTO,"25,7",Jousitus ja iskunvaimennus,Sisäinen valvontajärjestelmä (OBD)
Volvo,S60,"25,7",Etuakselisto,Ohjausnivelet ja -tangot
Skoda,OCTAVIA,"25,8",Käyttöjarru,Seisontajarrun dynamometritesti
Seat,TOLEDO,"25,9",Seisontajarrun dynamometritesti,Käyttöjarru
Renault,TWINGO,"25,9",Jousitus ja iskunvaimennus,Ohjausnivelet ja -tangot
Hyundai,ACCENT,"26,0","",""
Honda,ACCORD,"26,2",Etuakselisto,Käyttöjarru
Citroen,C3,"26,3",Etuakselisto,Jousitus ja iskunvaimennus
Volkswagen,TOUAREG,"26,9",Käyttöjarru,Ohjausnivelet ja -tangot
Citroen,C2,"26,9",Etuakselisto,Jousitus ja iskunvaimennus
Volvo,S40,"26,9",Etuakselisto,Sisäinen valvontajärjestelmä (OBD)
Mercedes-Benz,A,"27,1",Jousitus ja iskunvaimennus,Etuakselisto
Seat,LEON,"27,3",Käyttöjarru,Seisontajarrun dynamometritesti
Saab,9-3,"27,3",Taka-akselisto,Jousitus ja iskunvaimennus
Kia,PICANTO,"27,5",Käyttöjarru,Käyttöjarrun dynamometritesti
Opel,MERIVA,"27,5",Ohjausnivelet ja -tangot,Käyttöjarru
Citroen,XSARA PICASSO,"27,5",Ohjausnivelet ja -tangot,Etuakselisto
BMW,X5,"27,5",Seisontajarrun dynamometritesti,Käyttöjarru
