Merkki;Malli;Hylkäys %;Yleisin hylkäyssyy;Toiseksi yleisin hylkäyssyy;Kolmanneksi yleisin hylkäyssyy
Kaikki yhteensä;;23.76;;;
Subaru;FORESTER;6.48;;;
Honda;HR-V;6.56;;;
Toyota;CAMRY;8.12;Käyttöjarrun dynamometritesti;Käyttöjarru;Jousitus ja iskunvaimennus
Toyota;COROLLA;8.87;Käyttöjarru;Käyttöjarrun dynamometritesti;Sisäinen valvontajärjestelmä (OBD)
Honda;JAZZ;8.93;Käyttöjarru;Sisäinen valvontajärjestelmä (OBD);Asiapaperit
Toyota;RAV4;9.38;Sisäinen valvontajärjestelmä (OBD);Käyttöjarru;Jousitus ja iskunvaimennus
Ford;FIESTA;9.72;Jousitus ja iskunvaimennus;Käyttöjarrun dynamometritesti;Sisäinen valvontajärjestelmä (OBD)
Hyundai;GETZ;10.92;Sisäinen valvontajärjestelmä (OBD);Bensiinimoottorin pakokaasumittaus;Käyttöjarrun dynamometritesti
Toyota;AVENSIS;11.21;Sisäinen valvontajärjestelmä (OBD);Käyttöjarru;Seisontajarrun dynamometritesti
Toyota;LAND CRUISER;11.33;Etuakselisto;Seisontajarrun dynamometritesti;Käyttöjarrun dynamometritesti
Toyota;YARIS;11.94;Käyttöjarru;Käyttöjarrun dynamometritesti;Jousitus ja iskunvaimennus
Jaguar;S-TYPE;12.2;;;
Audi;A8;12.5;;;
Subaru;IMPREZA;13.69;;;
Volkswagen;BORA;13.81;Sisäinen valvontajärjestelmä (OBD);Käyttöjarru;Jousitus ja iskunvaimennus
Suzuki;LIANA;14.29;;;
Honda;CIVIC;14.67;Jousitus ja iskunvaimennus;Käyttöjarru;Sisäinen valvontajärjestelmä (OBD)
Volkswagen;GOLF;14.97;Sisäinen valvontajärjestelmä (OBD);Käyttöjarru;Seisontajarrun dynamometritesti
Subaru;LEGACY;14.97;Käyttöjarru;Sisäinen valvontajärjestelmä (OBD);Bensiinimoottorin pakokaasumittaus
Nissan;ALMERA;15.42;Käyttöjarru;Etuakselisto;Seisontajarrun dynamometritesti
Honda;CR-V;15.94;Sisäinen valvontajärjestelmä (OBD);Jousitus ja iskunvaimennus;Käyttöjarru
Ford;FUSION;16.39;Jousitus ja iskunvaimennus;Sisäinen valvontajärjestelmä (OBD);Renkaat ja vanteet
Mazda;6;16.77;Käyttöjarru;Käyttöjarrun dynamometritesti;Seisontajarrun dynamometritesti
Land Rover;FREELANDER;17.65;Ohjausnivelet ja -tangot;Käyttöjarru;Taka-akselisto
Ford;FOCUS;17.94;Ohjausnivelet ja -tangot;Seisontajarrun dynamometritesti;Käyttöjarru
Audi;A3;18.06;Käyttöjarru;Sisäinen valvontajärjestelmä (OBD);Jousitus ja iskunvaimennus
BMW;Z4;18.18;Sisäinen valvontajärjestelmä (OBD);Etuakselisto;Jousitus ja iskunvaimennus
Skoda;OCTAVIA;19.37;Käyttöjarru;Sisäinen valvontajärjestelmä (OBD);Käyttöjarrun dynamometritesti
Audi;A4;19.5;Käyttöjarru;Etuakselisto;Sisäinen valvontajärjestelmä (OBD)
Saab;9-5;20.41;Taka-akselisto;Sisäinen valvontajärjestelmä (OBD);Käyttöjarru
Hyundai;SONATA;20.75;Käyttöjarru;Etuakselisto;Sisäinen valvontajärjestelmä (OBD)
Ford;TOURNEO;20.79;Seisontajarrun dynamometritesti;Renkaat ja vanteet;Sisäinen valvontajärjestelmä (OBD)
Jeep;CHEROKEE;21.18;Seisontajarrun dynamometritesti;Etuakselisto;Käyttöjarru
Mitsubishi;SPACE STAR;21.24;Käyttöjarru;Seisontajarrun dynamometritesti;Sisäinen valvontajärjestelmä (OBD)
Audi;A6;21.67;Käyttöjarru;Etuakselisto;Sisäinen valvontajärjestelmä (OBD)
Opel;ASTRA;21.7;Jousitus ja iskunvaimennus;Ohjausnivelet ja -tangot;Sisäinen valvontajärjestelmä (OBD)
