Merkki,Malli,Hylkäys %,Yleisin hylkäyssyy,Toiseksi yleisin hylkäyssyy
Kaikki yhteensä,"","13,21","",""
"","","","",""
Mitsubishi,COLT,"3,41","",""
Toyota,AURIS,"3,71",Käyttöjarru,Käyttöjarrun dynamometritesti
Toyota,YARIS,"4,05",Käyttöjarru,Renkaat ja vanteet
Toyota,COROLLA,"4,64",Käyttöjarru,Renkaat ja vanteet
Nissan,ALMERA,"5,00","",""
Volvo,C30,"5,13",Etuakselisto,Jousitus ja iskunvaimennus
Subaru,FORESTER,"5,32","",""
Toyota,AVENSIS,"5,39",Käyttöjarru,Renkaat ja vanteet
Audi,TT,"5,45",Sisäinen valvontajärjestelmä (OBD),Valmistenumero
Suzuki,GRAND VITARA,"5,54","",""
Audi,A3,"5,56",Renkaat ja vanteet,Käyttöjarru
Audi,A6,"5,71",Renkaat ja vanteet,Sisäinen valvontajärjestelmä (OBD)
Suzuki,SWIFT,"5,86","",""
Suzuki,LIANA,"6,02","",""
Toyota,LAND CRUISER,"6,04","",""
Jaguar,S-TYPE,"6,14","",""
Mazda,2,"6,18","",""
Peugeot,107,"6,25","",""
Toyota,AYGO,"6,25",Renkaat ja vanteet,Käyttöjarru
Hyundai,GETZ,"6,30",Sisäinen valvontajärjestelmä (OBD),Käyttöjarrun dynamometritesti
Toyota,PRIUS,"6,41","",""
Volkswagen,GOLF,"6,44",Renkaat ja vanteet,Sisäinen valvontajärjestelmä (OBD)
Mazda,6,"6,69",Käyttöjarru,Käyttöjarrun dynamometritesti
Subaru,LEGACY,"6,71",Käyttöjarru,Sisäinen valvontajärjestelmä (OBD)
Audi,A4,"6,73",Käyttöjarru,Dieselmoottorin pakokaasumittaus
Volvo,S40,"6,90",Jousitus ja iskunvaimennus,Etuakselisto
Volkswagen,JETTA,"6,93",Seisontajarrun dynamometritesti,Jousitus ja iskunvaimennus
Honda,FR-V,"7,47","",""
Honda,JAZZ,"7,49",Käyttöjarru,Käyttöjarrun dynamometritesti
Ford,FIESTA,"7,54",Jousitus ja iskunvaimennus,Sisäinen valvontajärjestelmä (OBD)
Lexus,IS250,"7,55","",""
Skoda,OCTAVIA,"7,59",Dieselmoottorin pakokaasumittaus,Etuakselisto
Subaru,IMPREZA,"7,73","",""
Toyota,HIACE,"7,82","",""
Hyundai,ACCENT,"8,33","",""
Opel,MERIVA,"8,53","",""
Volkswagen,NEW BEETLE,"8,90","",""
Volkswagen,PASSAT,"9,09",Dieselmoottorin pakokaasumittaus,Etuakselisto
Volkswagen,TOUAREG,"9,09","",""
Mini,COOPER/ ONE,"9,54",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Volkswagen,TOURAN,"9,85",Renkaat ja vanteet,Etuakselisto
Saab,9-5,"10,00",Taka-akselisto,Sisäinen valvontajärjestelmä (OBD)
Honda,CIVIC,"10,10",Jousitus ja iskunvaimennus,Käyttöjarru
Seat,LEON,"10,16",Käyttöjarru,Seisontajarrun dynamometritesti
Honda,ACCORD,"10,34",Käyttöjarru,Sisäinen valvontajärjestelmä (OBD)
Volvo,V50,"10,63",Jousitus ja iskunvaimennus,Etuakselisto
Skoda,SUPERB,"10,71","",""
Toyota,RAV4,"10,72",Jousitus ja iskunvaimennus,Käyttöjarru
Audi,A5,"10,74","",""
Seat,ALTEA,"10,77",Seisontajarrun dynamometritesti,Käyttöjarru
Volkswagen,POLO,"10,85",Etuakselisto,Käyttöjarrun dynamometritesti
Honda,CR-V,"11,03",Ohjausnivelet ja -tangot,Käyttöjarru
Mitsubishi,LANCER,"11,05","",""
Land Rover,DISCOVERY 3,"11,29","",""
Peugeot,206,"11,32",Ohjausnivelet ja -tangot,Etuakselisto
Ford,GALAXY,"11,35",Ohjausnivelet ja -tangot,Jousitus ja iskunvaimennus
Volkswagen,CADDY,"11,57",Dieselmoottorin pakokaasumittaus,Renkaat ja vanteet
Kia,PICANTO,"11,67","",""
Audi,Q7,"11,95",Etuakselisto,Sisäinen valvontajärjestelmä (OBD)
Mazda,3,"12,16",Etuakselisto,Jousitus ja iskunvaimennus
Volvo,C70,"12,38",Käyttöjarru,Ohjausnivelet ja -tangot
Nissan,QASHQAI,"12,59",Etuakselisto,Käyttöjarru
Ford,FOCUS C-MAX,"12,61",Etuakselisto,Renkaat ja vanteet
Suzuki,SX4,"12,96",Jousitus ja iskunvaimennus,Sisäinen valvontajärjestelmä (OBD)
BMW,3,"13,08",Taka-akselisto,Ohjausnivelet ja -tangot
Mercedes-Benz,G,"13,46",Jousitus ja iskunvaimennus,Käyttöjarru
BMW,1,"13,52",Käyttöjarru,Taka-akselisto
BMW,X5,"13,57",Jousitus ja iskunvaimennus,Etuakselisto
Volvo,S60,"13,66",Käyttöjarru,Seisontajarrun dynamometritesti
Mitsubishi,OUTLANDER,"13,68",Ohjausnivelet ja -tangot,Käyttöjarru
Kia,CERATO,"13,87",Käyttöjarru,Seisontajarrun dynamometritesti
Ford,S-MAX,"14,07",Ohjausnivelet ja -tangot,Jousitus ja iskunvaimennus
Kia,RIO,"14,22",Käyttöjarru,Etuakselisto
Ford,KA,"14,37",Jousitus ja iskunvaimennus,Etuakselisto
Volvo,S80,"14,45",Seisontajarrun dynamometritesti,Ohjausnivelet ja -tangot
Opel,CORSA,"14,47",Jousitus ja iskunvaimennus,Sisäinen valvontajärjestelmä (OBD)
Nissan,X-TRAIL,"14,47",Etuakselisto,Ohjausnivelet ja -tangot
Skoda,ROOMSTER,"14,54",Etuakselisto,Käyttöjarru
Skoda,FABIA,"14,61",Etuakselisto,Käyttöjarrun dynamometritesti
Citroen,XSARA PICASSO,"14,68",Ohjausnivelet ja -tangot,Käyttöjarru
Citroen,C2,"14,76",Sisäinen valvontajärjestelmä (OBD),Jarruvalo
Peugeot,407,"14,81",Etuakselisto,Käyttöjarru
Land Rover,RANGE ROVER,"14,84",Etuakselisto,Jousitus ja iskunvaimennus
Saab,9-3,"14,87",Jousitus ja iskunvaimennus,Taka-akselisto
Mercedes-Benz,A,"14,87",Käyttöjarru,Jousitus ja iskunvaimennus
Land Rover,FREELANDER,"14,87","",""
Mercedes-Benz,B,"15,02",Jousitus ja iskunvaimennus,Seisontajarrun dynamometritesti
Chevrolet,AVEO,"15,03",Etuakselisto,Sisäinen valvontajärjestelmä (OBD)
