Merkki,Malli,Hylkäys %,Yleisin hylkäyssyy,Toiseksi yleisin hylkäyssyy
Toyota,RAV4,"9,04",Jousitus ja iskunvaimennus,Käyttöjarru
BMW,X5,"9,09",Jousitus ja iskunvaimennus,Käyttöjarru
Nissan,X-TRAIL,"9,24",Ohjausnivelet ja -tangot,Käyttöjarru
Volkswagen,PASSAT,"9,27",Dieselmoottorin pakokaasumittaus,Etuakselisto
Nissan,QASHQAI,"9,30",Etuakselisto,Käyttöjarru
BMW,3,"9,55",Ohjausnivelet ja -tangot,Taka-akselisto
Toyota,HIACE,"9,55","",""
Hyundai,ACCENT,"9,62","",""
Jeep,CHEROKEE,"10,21","",""
Volvo,C70,"10,32",Ohjausnivelet ja -tangot,Käyttöjarru
Seat,ALTEA,"10,57",Dieselmoottorin pakokaasumittaus,Käyttöjarru
Ford,FOCUS,"10,67",Jousitus ja iskunvaimennus,Etuakselisto
BMW,1,"10,80",Käyttöjarru,Sisäinen valvontajärjestelmä (OBD)
Mercedes-Benz,CLS,"11,11","",""
Kia,RIO,"11,11",Käyttöjarru,Etuakselisto
Skoda,FABIA,"11,19",Etuakselisto,Käyttöjarru
Chevrolet,AVEO,"11,23",Etuakselisto,Sisäinen valvontajärjestelmä (OBD)
Ford,S-MAX,"11,24",Ohjausnivelet ja -tangot,Jousitus ja iskunvaimennus
Peugeot,206,"11,26",Sisäinen valvontajärjestelmä (OBD),Ohjausnivelet ja -tangot
Land Rover,RANGE ROVER,"11,54","",""
Mini,COOPER/ ONE,"11,61",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Mitsubishi,GRANDIS,"11,63","",""
Kia,CERATO,"11,71",Käyttöjarru,Jousitus ja iskunvaimennus
Mercedes-Benz,A,"12,33",Jousitus ja iskunvaimennus,Käyttöjarru
Skoda,SUPERB,"12,50","",""
Kia,CEED,"12,56",Käyttöjarru,Käyttöjarrun dynamometritesti
Peugeot,407,"12,72",Etuakselisto,Käyttöjarru
Mitsubishi,OUTLANDER,"12,82",Käyttöjarru,Taka-akselisto
Skoda,ROOMSTER,"12,93",Etuakselisto,Seisontajarrun dynamometritesti
Citroen,C2,"13,02",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Suzuki,SX4,"13,04",Jousitus ja iskunvaimennus,Sisäinen valvontajärjestelmä (OBD)
Hyundai,TUCSON,"13,04",Jousitus ja iskunvaimennus,Käyttöjarru
BMW,X3,"13,25",Jousitus ja iskunvaimennus,Sisäinen valvontajärjestelmä (OBD)
Volvo,S80,"13,40",Seisontajarrun dynamometritesti,Ohjausnivelet ja -tangot
Saab,9-3,"13,51",Jousitus ja iskunvaimennus,Taka-akselisto
Ford,KA,"13,61",Etuakselisto,Jousitus ja iskunvaimennus
Ford,GALAXY,"13,89","",""
Volvo,S60,"13,93",Käyttöjarru,Ohjausnivelet ja -tangot
Citroen,XSARA PICASSO,"13,99",Ohjausnivelet ja -tangot,Sisäinen valvontajärjestelmä (OBD)
Mercedes-Benz,B,"14,09",Jousitus ja iskunvaimennus,Seisontajarrun dynamometritesti
Volkswagen,CARAVELLE,"14,39",Ohjausnivelet ja -tangot,Turvavyöt ja -varusteet
Opel,VECTRA,"14,79",Jousitus ja iskunvaimennus,Renkaat ja vanteet
Opel,ASTRA,"14,86",Sisäinen valvontajärjestelmä (OBD),Ohjausnivelet ja -tangot
Volvo,V70,"15,00",Käyttöjarru,Ohjausnivelet ja -tangot
Chevrolet,KALOS,"15,25",Sisäinen valvontajärjestelmä (OBD),Turvavyöt ja -varusteet
Mercedes-Benz,M,"15,28",Käyttöjarru,Jousitus ja iskunvaimennus
Nissan,NOTE,"15,40",Etuakselisto,Jousitus ja iskunvaimennus
Opel,CORSA,"15,45",Jousitus ja iskunvaimennus,Sisäinen valvontajärjestelmä (OBD)
Mercedes-Benz,G,"15,45",Käyttöjarru,Jousitus ja iskunvaimennus
Hyundai,I 30,"15,63","",""
Ford,MONDEO,"15,76",Dieselmoottorin pakokaasumittaus,Jousitus ja iskunvaimennus
Seat,IBIZA,"15,84",Käyttöjarru,Etuakselisto
Kia,SPORTAGE,"16,04",Jousitus ja iskunvaimennus,Käyttöjarru
Kia,SORENTO,"16,06",Etuakselisto,Seisontajarrun dynamometritesti
Hyundai,SONATA,"16,22",Seisontajarrun dynamometritesti,Käyttöjarru
Nissan,MICRA,"16,33",Etuakselisto,Ohjausnivelet ja -tangot
Volkswagen,CADDY,"16,40",Dieselmoottorin pakokaasumittaus,Jousitus ja iskunvaimennus
Land Rover,FREELANDER,"16,48",Ohjausnivelet ja -tangot,Seisontajarrun dynamometritesti
Citroen,C4 PICASSO,"16,50",Etuakselisto,Käyttöjarru
Citroen,C3,"16,59",Sisäinen valvontajärjestelmä (OBD),Jarruvalo
Mercedes-Benz,C,"16,85",Etuakselisto,Ohjausnivelet ja -tangot
BMW,5,"16,86",Ohjausnivelet ja -tangot,Käyttöjarru
Opel,ZAFIRA,"16,93",Ohjausnivelet ja -tangot,Taka-akselisto
Kia,MAGENTIS,"16,99","",""
Nissan,PRIMERA,"17,14",Ohjausnivelet ja -tangot,Etuakselisto
Fiat,PUNTO,"17,62",Jousitus ja iskunvaimennus,Sisäinen valvontajärjestelmä (OBD)
Volvo,XC90,"17,68",Jousitus ja iskunvaimennus,Seisontajarrun dynamometritesti
Chevrolet,CAPTIVA,"18,06",Etuakselisto,Käyttöjarru
Peugeot,207,"18,26",Etuakselisto,Jarruvalo
Fiat,BRAVO,"18,35","",""
Ford,TOURNEO,"18,52","",""
Nissan,TIIDA,"18,92",Etuakselisto,Jousitus ja iskunvaimennus
Chevrolet,EPICA,"19,01",Käyttöjarru,Taka-akselisto
Chrysler,SEBRING,"19,43",Ohjausnivelet ja -tangot,Sisäinen valvontajärjestelmä (OBD)
Chevrolet,NUBIRA,"19,46",Käyttöjarru,Seisontajarrun dynamometritesti
Mazda,5,"20,05",Jousitus ja iskunvaimennus,Etuakselisto
Citroen,C4,"20,18",Ohjausnivelet ja -tangot,Etuakselisto
Hyundai,SANTA FE,"20,41",Etuakselisto,Seisontajarrun dynamometritesti
Peugeot,307,"20,49",Ohjausnivelet ja -tangot,Dieselmoottorin pakokaasumittaus
Land Rover,DISCOVERY 3,"20,86","",""
Mercedes-Benz,E,"21,24",Etuakselisto,Ohjausnivelet ja -tangot
Citroen,C5,"21,27",Etuakselisto,Ohjausnivelet ja -tangot
Dodge,AVENGER,"21,32",Ohjausnivelet ja -tangot,Käyttöjarru
Renault,CLIO,"21,37",Ohjausnivelet ja -tangot,Etuakselisto
Chrysler,VOYAGER,"22,10",Ohjausnivelet ja -tangot,Seisontajarrun dynamometritesti
Jaguar,X-TYPE,"22,30",Taka-akselisto,Dieselmoottorin pakokaasumittaus
Alfa Romeo,159,"22,51",Etuakselisto,Jousitus ja iskunvaimennus
Fiat,ALBEA,"23,05",Etuakselisto,Ohjausnivelet ja -tangot
Volkswagen,TRANSPORTER,"23,17",Käyttöjarru,Jousitus ja iskunvaimennus
Dodge,NITRO,"24,87",Seisontajarrun dynamometritesti,Etuakselisto
Renault,MEGANE,"25,08",Etuakselisto,Ohjausnivelet ja -tangot
Fiat,CROMA,"25,15",Jousitus ja iskunvaimennus,Taka-akselisto
Fiat,STILO,"26,15",Ohjausnivelet ja -tangot,Jousitus ja iskunvaimennus
Kia,CARENS,"27,23",Seisontajarrun dynamometritesti,Taka-akselisto
Mazda,CX-7,"27,48",Ohjausnivelet ja -tangot,Seisontajarrun dynamometritesti
Kia,CARNIVAL,"28,48",Taka-akselisto,Etuakselisto
Renault,LAGUNA,"32,62",Etuakselisto,Ohjausnivelet ja -tangot
Chrysler,300,"37,02",Seisontajarrun dynamometritesti,Ohjausnivelet ja -tangot
Jeep,PATRIOT,"37,82",Taka-akselisto,Etuakselisto
Jeep,COMPASS,"43,72",Taka-akselisto,Etuakselisto
Dodge,CALIBER,"44,54",Taka-akselisto,Etuakselisto
