Merkki,Malli,Hylkäys %,Yleisin hylkäyssyy,Toiseksi yleisin hylkäyssyy
Kaikki yhteensä,"","11,58","",""
"","","","",""
Suzuki,GRAND VITARA,"2,23","",""
Audi,A5,"2,59","",""
Honda,JAZZ,"2,88","",""
Toyota,AURIS,"2,92",Käyttöjarru,Käyttöjarrun dynamometritesti
Audi,TT,"3,32","",""
Suzuki,LIANA,"3,50","",""
Toyota,YARIS,"3,65","",""
Honda,FR-V,"3,73","",""
Toyota,COROLLA,"3,87",Käyttöjarru,Renkaat ja vanteet
Mitsubishi,COLT,"3,89","",""
Audi,A3,"3,90","",""
Volkswagen,TOUAREG,"3,94","",""
Volvo,C30,"4,56","",""
Toyota,AVENSIS,"4,68",Käyttöjarru,Sisäinen valvontajärjestelmä (OBD)
Nissan,ALMERA,"4,70",Käyttöjarru,Käyttöjarrun dynamometritesti
Suzuki,SWIFT,"4,90","",""
Mitsubishi,PAJERO,"5,08","",""
Mazda,6,"5,15",Käyttöjarru,Käyttöjarrun dynamometritesti
Hyundai,GETZ,"5,22",Sisäinen valvontajärjestelmä (OBD),Käyttöjarrun dynamometritesti
Audi,A6,"5,27",Sisäinen valvontajärjestelmä (OBD),Renkaat ja vanteet
Volkswagen,GOLF,"5,27","",""
Subaru,LEGACY,"5,41","",""
Subaru,IMPREZA,"5,50","",""
Volkswagen,NEW BEETLE,"5,51","",""
Volvo,S40,"5,61",Etuakselisto,Jousitus ja iskunvaimennus
Subaru,FORESTER,"6,06",Jousitus ja iskunvaimennus,Sisäinen valvontajärjestelmä (OBD)
Toyota,AYGO,"6,13",Käyttöjarru,Renkaat ja vanteet
Ford,FIESTA,"6,31",Jousitus ja iskunvaimennus,Sisäinen valvontajärjestelmä (OBD)
Toyota,LAND CRUISER,"6,53","",""
Audi,A4,"6,54",Dieselmoottorin pakokaasumittaus,Renkaat ja vanteet
Skoda,OCTAVIA,"6,57",Dieselmoottorin pakokaasumittaus,Renkaat ja vanteet
Peugeot,107,"6,81","",""
Honda,ACCORD,"6,82",Käyttöjarru,Renkaat ja vanteet
Honda,CIVIC,"7,07",Jousitus ja iskunvaimennus,Käyttöjarru
Toyota,PRIUS,"7,14","",""
Ford,FOCUS C-MAX,"7,60",Etuakselisto,Renkaat ja vanteet
Audi,Q7,"7,79",Etuakselisto,Käyttöjarru
Volkswagen,JETTA,"7,88",Dieselmoottorin pakokaasumittaus,Sisäinen valvontajärjestelmä (OBD)
Volvo,V50,"8,06",Etuakselisto,Jousitus ja iskunvaimennus
Honda,CR-V,"8,27",Ohjausnivelet ja -tangot,Käyttöjarru
Kia,PICANTO,"8,33",Käyttöjarru,Käyttöjarrun dynamometritesti
Mazda,2,"8,38","",""
Volkswagen,POLO,"8,48",Etuakselisto,Seisontajarrun dynamometritesti
Saab,9-5,"8,50",Taka-akselisto,Sisäinen valvontajärjestelmä (OBD)
Mitsubishi,LANCER,"8,51",Sisäinen valvontajärjestelmä (OBD),Ohjausnivelet ja -tangot
Volkswagen,TOURAN,"8,52",Dieselmoottorin pakokaasumittaus,Bensiinimoottorin pakokaasumittaus
Mazda,3,"8,60",Jousitus ja iskunvaimennus,Etuakselisto
Seat,LEON,"8,70",Dieselmoottorin pakokaasumittaus,Sisäinen valvontajärjestelmä (OBD)
Jaguar,S-TYPE,"8,70","",""
Opel,MERIVA,"8,94","",""
