Merkki,Malli,Hylkäys %,Yleisin hylkäyssyy,Toiseksi yleisin hylkäyssyy
Kaikki yhteensä,"","16,41","",""
"","","","",""
Mitsubishi,COLT,"4,35","",""
Toyota,RAV4,"4,70",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Toyota,COROLLA,"5,14",Käyttöjarru,Renkaat ja vanteet
Honda,JAZZ,"5,20","",""
Ford,FUSION,"5,31","",""
Subaru,LEGACY,"5,69","",""
Honda,HR-V,"5,71","",""
Nissan,MAXIMA QX,"6,07",Käyttöjarru,Renkaat ja vanteet
Mazda,2,"6,09","",""
Toyota,CAMRY,"6,20","",""
Volkswagen,BORA,"6,61",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Toyota,RAV4,"6,69","",""
Mercedes-Benz,SLK,"6,83","",""
Toyota,AVENSIS,"7,13",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Mazda,6,"7,28",Käyttöjarrun dynamometritesti,Käyttöjarru
Toyota,YARIS,"8,18",Käyttöjarru,Käyttöjarrun dynamometritesti
Nissan,ALMERA,"8,23",Etuakselisto,Käyttöjarru
Subaru,IMPREZA,"8,29","",""
Suzuki,GRAND VITARA,"8,46","",""
Jaguar,S-TYPE,"8,66","",""
Hyundai,GETZ,"8,68",Sisäinen valvontajärjestelmä (OBD),Renkaat ja vanteet
Toyota,LAND CRUISER,"8,73","",""
Peugeot,PARTNER,"8,97","",""
Volkswagen,GOLF,"9,06",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Ford,FIESTA,"9,17",Jousitus ja iskunvaimennus,Sisäinen valvontajärjestelmä (OBD)
Honda,CR-V,"9,33",Sisäinen valvontajärjestelmä (OBD),Jousitus ja iskunvaimennus
Audi,A3,"9,68",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Suzuki,IGNIS,"9,73","",""
Suzuki,LIANA,"10,11",Renkaat ja vanteet,Sisäinen valvontajärjestelmä (OBD)
Honda,CIVIC,"10,21",Sisäinen valvontajärjestelmä (OBD),Jousitus ja iskunvaimennus
Skoda,SUPERB,"10,26","",""
Audi,A4,"10,28",Käyttöjarru,Sisäinen valvontajärjestelmä (OBD)
Mazda,3,"10,60",Jousitus ja iskunvaimennus,Etuakselisto
Hyundai,SONATA,"10,83","",""
Skoda,OCTAVIA,"11,16",Käyttöjarru,Sisäinen valvontajärjestelmä (OBD)
BMW,X3,"11,28",Jousitus ja iskunvaimennus,Sisäinen valvontajärjestelmä (OBD)
Toyota,HIACE,"11,29","",""
Seat,LEON,"12,00",Renkaat ja vanteet,Käyttöjarru
Volkswagen,CADDY,"12,05","",""
Volkswagen,TOUAREG,"12,18","",""
GM Daewoo,LACETTI,"12,37",Sisäinen valvontajärjestelmä (OBD),Renkaat ja vanteet
Volkswagen,PASSAT,"12,48",Etuakselisto,Käyttöjarru
Honda,ACCORD,"12,50",Etuakselisto,Käyttöjarru
Seat,TOLEDO,"12,66",Käyttöjarru,Seisontajarrun dynamometritesti
Honda,STREAM,"13,04",Sisäinen valvontajärjestelmä (OBD),Renkaat ja vanteet
Jeep,CHEROKEE,"13,30",Seisontajarrun dynamometritesti,Etuakselisto
BMW,X5,"13,31",Seisontajarrun dynamometritesti,Etuakselisto
Kia,PICANTO,"13,86",Käyttöjarru,Käyttöjarrun dynamometritesti
Hyundai,ACCENT,"13,86","",""
Audi,A6,"13,97",Käyttöjarru,Etuakselisto
Peugeot,206,"14,00",Ohjausnivelet ja -tangot,Sisäinen valvontajärjestelmä (OBD)
Mini,COOPER/ ONE,"14,07",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Volvo,V40,"14,14",Jousitus ja iskunvaimennus,Käyttöjarru
Ford,FOCUS,"14,37",Ohjausnivelet ja -tangot,Käyttöjarru
Mitsubishi,SPACE STAR,"14,41","",""
Fiat,PUNTO,"14,53",Sisäinen valvontajärjestelmä (OBD),Jousitus ja iskunvaimennus
Nissan,MICRA,"14,61",Etuakselisto,Ohjausnivelet ja -tangot
Mazda,PREMACY,"14,94",Käyttöjarru,Käyttöjarrun dynamometritesti
Mitsubishi,GRANDIS,"15,17","",""
Volkswagen,TOURAN,"15,34",Käyttöjarru,Jousitus ja iskunvaimennus
Saab,9-5,"15,36",Taka-akselisto,Sisäinen valvontajärjestelmä (OBD)
GM Daewoo,NUBIRA,"15,63",Sisäinen valvontajärjestelmä (OBD),Seisontajarrun dynamometritesti
Smart,FORFOUR,"15,79","",""
Citroen,XSARA PICASSO,"15,80",Ohjausnivelet ja -tangot,Etuakselisto
Opel,MERIVA,"15,80",Ohjausnivelet ja -tangot,Jousitus ja iskunvaimennus
Citroen,XSARA,"16,01",Ohjausnivelet ja -tangot,Käyttöjarru
Volkswagen,POLO,"16,04",Sisäinen valvontajärjestelmä (OBD),Etuakselisto
Fiat,PANDA,"16,06",Jousitus ja iskunvaimennus,Renkaat ja vanteet
Nissan,X-TRAIL,"16,13",Ohjausnivelet ja -tangot,Käyttöjarru
Hyundai,SANTA FE,"16,20",Jousitus ja iskunvaimennus,Käyttöjarru
Mercedes-Benz,B,"16,27","",""
Ford,KA,"16,28","",""
Land Rover,FREELANDER,"16,42",Ohjausnivelet ja -tangot,Sisäinen valvontajärjestelmä (OBD)
Citroen,BERLINGO,"16,79",Ohjausnivelet ja -tangot,Etuakselisto
Volvo,S40,"16,81",Sisäinen valvontajärjestelmä (OBD),Jousitus ja iskunvaimennus
Mercedes-Benz,E,"17,07",Etuakselisto,Dieselmoottorin pakokaasumittaus
Mazda,MPV,"17,39",Seisontajarrun dynamometritesti,Käyttöjarru
Nissan,X-TRAIL,"17,64",Ohjausnivelet ja -tangot,Käyttöjarru
BMW,5,"17,88",Sisäinen valvontajärjestelmä (OBD),Ohjausnivelet ja -tangot
Citroen,C2,"17,91",Etuakselisto,Ohjausnivelet ja -tangot
Jaguar,X-TYPE,"17,92",Taka-akselisto,Seisontajarrun dynamometritesti
Mercedes-Benz,A,"17,95",Jousitus ja iskunvaimennus,Taka-akselisto
Seat,IBIZA,"18,40",Etuakselisto,Sisäinen valvontajärjestelmä (OBD)
Citroen,C3,"18,72",Etuakselisto,Ohjausnivelet ja -tangot
Volvo,V50,"18,80",Jousitus ja iskunvaimennus,Sisäinen valvontajärjestelmä (OBD)
Opel,ASTRA,"18,82",Ohjausnivelet ja -tangot,Jousitus ja iskunvaimennus
BMW,1,"19,33",Jousitus ja iskunvaimennus,Käyttöjarru
Mitsubishi,LANCER,"19,35",Taka-akselisto,Ohjausnivelet ja -tangot
Peugeot,607,"19,37",Sisäinen valvontajärjestelmä (OBD),Ohjausnivelet ja -tangot
Hyundai,ELANTRA,"19,37",Sisäinen valvontajärjestelmä (OBD),Seisontajarrun dynamometritesti
GM Daewoo,KALOS,"19,72",Etuakselisto,Sisäinen valvontajärjestelmä (OBD)
Renault,TWINGO,"19,90",Ohjausnivelet ja -tangot,Jousitus ja iskunvaimennus
Volvo,S80,"20,32",Ohjausnivelet ja -tangot,Etuakselisto
Skoda,FABIA,"20,52",Sisäinen valvontajärjestelmä (OBD),Etuakselisto
Ford,TOURNEO,"20,69",Seisontajarrun dynamometritesti,Renkaat ja vanteet
GM Daewoo,MATIZ,"20,82",Etuakselisto,Sisäinen valvontajärjestelmä (OBD)
Opel,CORSA,"21,57",Jousitus ja iskunvaimennus,Ohjausnivelet ja -tangot
