Merkki,Malli,Hylkäys %,Yleisin hylkäyssyy,Toiseksi yleisin hylkäyssyy
Kaikki yhteensä,"","19,01","",""
"","","","",""
Honda,HR-V,"5,80","",""
Toyota,LAND CRUISER,"6,79","",""
Honda,CIVIC,"6,86",Käyttöjarru,Sisäinen valvontajärjestelmä (OBD)
Toyota,COROLLA,"6,94",Käyttöjarru,Käyttöjarrun dynamometritesti
Toyota,RAV4,"7,00",Käyttöjarru,Jousitus ja iskunvaimennus
Suzuki,GRAND VITARA,"7,30","",""
Toyota,AVENSIS,"7,50",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Suzuki,LIANA,"8,57","",""
Subaru,FORESTER,"8,65",Jousitus ja iskunvaimennus,Käyttöjarru
Subaru,LEGACY,"8,83",Bensiinimoottorin pakokaasumittaus,Sisäinen valvontajärjestelmä (OBD)
Toyota,YARIS,"8,93",Käyttöjarru,Käyttöjarrun dynamometritesti
Hyundai,GETZ,"9,23",Sisäinen valvontajärjestelmä (OBD),Renkaat ja vanteet
Audi,A6,"9,72",Käyttöjarru,Renkaat ja vanteet
Mitsubishi,PAJERO,"10,00","",""
Volkswagen,BORA,"10,04",Sisäinen valvontajärjestelmä (OBD),Seisontajarrun dynamometritesti
Toyota,HIACE,"11,01","",""
Ford,FIESTA,"11,06",Jousitus ja iskunvaimennus,Käyttöjarru
Audi,A4,"11,18",Käyttöjarru,Renkaat ja vanteet
Land Rover,FREELANDER,"11,21","",""
Volkswagen,JETTA,"11,28",Käyttöjarru,Jousitus ja iskunvaimennus
Ford,FUSION,"11,36","",""
Honda,ACCORD,"11,38",Etuakselisto,Käyttöjarru
Volkswagen,TOUAREG,"11,43","",""
Nissan,ALMERA,"11,69",Seisontajarrun dynamometritesti,Käyttöjarru
BMW,X3,"11,70",Jousitus ja iskunvaimennus,Etuakselisto
Honda,CR-V,"11,85",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Subaru,IMPREZA,"12,30","",""
Mitsubishi,COLT,"12,34",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Honda,JAZZ,"12,69",Käyttöjarru,Seisontajarrun dynamometritesti
