Merkki,Malli,Hylkäys %,Yleisin hylkäyssyy,Toiseksi yleisin hylkäyssyy
Kaikki yhteensä,"","3,30","",""
"","","","",""
Mercedes-Benz,M,",00","",""
Suzuki,SWIFT,",00","",""
Audi,Q5,",46","",""
Lexus,CT200H,",58","",""
Volkswagen,TIGUAN,",65","",""
Toyota,URBAN CRUISER,",66","",""
Ford,KUGA,",80","",""
Volvo,C70,",81","",""
Toyota,LAND CRUISER,",81","",""
Audi,A5,",82","",""
Toyota,VERSO-S,",82","",""
Volvo,C30,",83","",""
Mazda,2,",93","",""
Volvo,S60,",94","",""
Toyota,COROLLA,"1,01","",""
Mitsubishi,ASX,"1,02","",""
Mazda,6,"1,24","",""
Volvo,S40,"1,28","",""
Audi,A4,"1,34","",""
Suzuki,SX4,"1,34","",""
Honda,JAZZ,"1,39","",""
Volvo,XC60,"1,42","",""
Mazda,3,"1,42","",""
Toyota,AURIS,"1,43","",""
Mitsubishi,LANCER,"1,49","",""
Toyota,PRIUS,"1,49","",""
Honda,CR-V,"1,55","",""
Toyota,VERSO,"1,33","",""
Toyota,YARIS,"1,66","",""
Nissan,JUKE,"1,68","",""
Volkswagen,JETTA,"1,71",Bensiinimoottorin pakokaasumittaus,Jousitus ja iskunvaimennus
Nissan,QASHQAI,"1,72","",""
Toyota,AVENSIS,"1,74","",""
Audi,A3,"1,79",Renkaat ja vanteet,Bensiinimoottorin pakokaasumittaus
Skoda,OCTAVIA,"1,79","",""
Volvo,V50,"1,86",Renkaat ja vanteet,Jousitus ja iskunvaimennus
Seat,LEON,"1,90","",""
BMW,1,"1,92","",""
Ford,FOCUS,"1,92","",""
Volkswagen,GOLF,"1,93","",""
Citroen,C1,"2,05","",""
Skoda,YETI,"2,08","",""
Honda,ACCORD,"2,11","",""
Skoda,FABIA,"2,13","",""
Ford,FOCUS C-MAX,"2,14",Renkaat ja vanteet,Valmistajan kilpi
Audi,A6,"2,15",Renkaat ja vanteet,Valmistajan kilpi
Mercedes-Benz,CLS,"2,20","",""
Skoda,ROOMSTER,"2,20","",""
Audi,AUDI A1,"2,21","",""
