Merkki,Malli,Hylkäys %,Yleisin hylkäyssyy,Toiseksi yleisin hylkäyssyy
Kaikki yhteensä,"","5,45","",""
"","","","",""
Toyota,LAND CRUISER,",37","",""
Ford,KUGA,",47","",""
Peugeot,206,"1,17","",""
Suzuki,SWIFT,"1,23","",""
Volvo,XC60,"1,29","",""
Opel,MERIVA,"1,44","",""
Audi,A4,"1,56","",""
Suzuki,SX4,"1,68","",""
Nissan,X-TRAIL,"1,70","",""
Volkswagen,TIGUAN,"1,78","",""
Volvo,C30,"1,89","",""
Toyota,AURIS,"1,90","",""
Opel,ASTRA,"1,90","",""
Mazda,6,"1,92","",""
Ford,FUSION,"1,97","",""
Volkswagen,TIGUAN,"1,97","",""
Audi,A5,"1,99","",""
Saab,9-5,"2,03","",""
Toyota,YARIS,"2,08","",""
Volvo,S40,"2,09","",""
Mitsubishi,LANCER,"2,16","",""
Nissan,QASHQAI,"2,34","",""
Volkswagen,POLO,"2,35","",""
Audi,A6,"2,38","",""
Honda,ACCORD,"2,44","",""
Audi,A3,"2,57","",""
Toyota,AVENSIS,"2,62","",""
Nissan,TIIDA,"2,67","",""
Toyota,PRIUS,"2,73","",""
Honda,CR-V,"2,74",Ohjausnivelet ja -tangot,Käyttöjarru
Toyota,COROLLA,"2,75",Jousitus ja iskunvaimennus,Dieselmoottorin pakokaasumittaus
Saab,9-3,"2,76","",""
Honda,JAZZ,"2,77","",""
Volvo,S60,"2,78","",""
Nissan,MICRA,"2,81","",""
Volvo,C70,"2,81","",""
Peugeot,407,"2,84","",""
Toyota,HIACE,"2,88","",""
Honda,CIVIC,"3,02",Sisäinen valvontajärjestelmä (OBD),Jousitus ja iskunvaimennus
Mazda,3,"3,02",Jousitus ja iskunvaimennus,Sisäinen valvontajärjestelmä (OBD)
BMW,X5,"3,08","",""
Volvo,V50,"3,10",Renkaat ja vanteet,Dieselmoottorin pakokaasumittaus
Mitsubishi,COLT,"3,28","",""
Skoda,SUPERB,"3,30","",""
Opel,VECTRA,"3,34","",""
Opel,CORSA,"3,39","",""
Fiat,LINEA,"3,41","",""
Fiat,CROMA,"3,45","",""
Ford,FIESTA,"3,55","",""
Honda,FR-V,"3,55","",""
Skoda,FABIA,"3,58","",""
Mitsubishi,OUTLANDER,"3,61","",""
Renault,LAGUNA,"3,67","",""
Toyota,AYGO,"3,74",Renkaat ja vanteet,Käyttöjarru
Ford,KA,"3,77","",""
Subaru,FORESTER,"3,81",Taka-akselisto,Ajovakautusjärjestelmä
Opel,ZAFIRA,"3,83","",""
Seat,IBIZA,"3,89","",""
Renault,TWINGO,"3,98","",""
Skoda,ROOMSTER,"4,01","",""
Subaru,LEGACY,"4,05","",""
Citroen,C3,"4,20",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Volkswagen,GOLF,"4,34",Dieselmoottorin pakokaasumittaus,Renkaat ja vanteet
BMW,3,"4,35",Bensiinimoottorin pakokaasumittaus,Sisäinen valvontajärjestelmä (OBD)
Volkswagen,CARAVELLE,"4,46","",""
Ford,FOCUS C-MAX,"4,47",Renkaat ja vanteet,Dieselmoottorin pakokaasumittaus
Kia,RIO,"4,62","",""
Hyundai,I 30,"4,69","",""
Citroen,XSARA PICASSO,"4,69","",""
Mercedes-Benz,M,"4,76","",""
Subaru,IMPREZA,"4,81","",""
Fiat,PUNTO,"4,82",Sisäinen valvontajärjestelmä (OBD),Käyttöjarrun dynamometritesti
Volvo,V70,"4,96",Ohjausnivelet ja -tangot,Renkaat ja vanteet
Seat,ALTEA,"4,96",Dieselmoottorin pakokaasumittaus,Renkaat ja vanteet
Chevrolet,AVEO,"4,98","",""
Chevrolet,NUBIRA,"5,22","",""
Ford,S-MAX,"5,25","",""
Kia,CERATO,"5,36","",""
Nissan,NOTE,"5,44",Etuakselisto,Dieselmoottorin pakokaasumittaus
BMW,1,"5,61",Bensiinimoottorin pakokaasumittaus,Sisäinen valvontajärjestelmä (OBD)
Smart,FORTWO,"5,71","",""
Kia,CEED,"5,83",Etuakselisto,Renkaat ja vanteet
Mini,COOPER/ ONE,"5,83","",""
Toyota,RAV4,"5,89",Jousitus ja iskunvaimennus,Dieselmoottorin pakokaasumittaus
Ford,MONDEO,"5,91",Ohjausnivelet ja -tangot,Jousitus ja iskunvaimennus
BMW,5,"5,99",Ohjausnivelet ja -tangot,Renkaat ja vanteet
Mini,"COOPER CLUBMAN","6,16","",""
Seat,LEON,"6,22",Dieselmoottorin pakokaasumittaus,Sisäinen valvontajärjestelmä (OBD)
Mazda,2,"6,39",Ohjausnivelet ja -tangot,Jousitus ja iskunvaimennus
Volkswagen,PASSAT,"6,53",Dieselmoottorin pakokaasumittaus,Renkaat ja vanteet
Skoda,OCTAVIA,"6,54",Dieselmoottorin pakokaasumittaus,Turvavyöt ja -varusteet
Mazda,5,"6,70",Jousitus ja iskunvaimennus,Renkaat ja vanteet
Kia,SPORTAGE,"6,85",Jousitus ja iskunvaimennus,Renkaat ja vanteet
Hyundai,I 30 CW,"6,88","",""
Volkswagen,JETTA,"6,91",Dieselmoottorin pakokaasumittaus,Bensiinimoottorin pakokaasumittaus
Jaguar,X-TYPE,"6,98","",""
Hyundai,SONATA,"7,21",Seisontajarrun dynamometritesti,Etuakselisto
Suzuki,GRAND VITARA,"7,43","",""
Citroen,C4,"7,51",Ohjausnivelet ja -tangot,Dieselmoottorin pakokaasumittaus
Renault,CLIO,"7,57",Etuakselisto,Ohjausnivelet ja -tangot
Ford,FOCUS,"7,77",Dieselmoottorin pakokaasumittaus,Jousitus ja iskunvaimennus
Mercedes-Benz,A,"7,90",Jousitus ja iskunvaimennus,Käyttöjarru
Kia,SORENTO,"7,95","",""
Nissan,PRIMERA,"8,07","",""
Fiat,500,"8,09","",""
Volkswagen,TOURAN,"8,24",Dieselmoottorin pakokaasumittaus,Bensiinimoottorin pakokaasumittaus
Hyundai,GETZ,"8,42",Sisäinen valvontajärjestelmä (OBD),Käyttöjarrun dynamometritesti
Citroen,C2,"8,47",Sisäinen valvontajärjestelmä (OBD),Valmistajan kilpi
Peugeot,207,"8,62",Dieselmoottorin pakokaasumittaus,Sisäinen valvontajärjestelmä (OBD)
Kia,MAGENTIS,"9,38","",""
Mitsubishi,GRANDIS,"9,62","",""
Peugeot,308,"9,64",Dieselmoottorin pakokaasumittaus,Sisäinen valvontajärjestelmä (OBD)
Mercedes-Benz,C,"9,73",Jousitus ja iskunvaimennus,Ohjausnivelet ja -tangot
Volkswagen,CADDY,"9,86",Dieselmoottorin pakokaasumittaus,Renkaat ja vanteet
Volvo,XC90,"10,00","",""
Alfa Romeo,159,"10,32","",""
Ford,GALAXY,"10,49","",""
BMW,X3,"10,63",Jousitus ja iskunvaimennus,Sisäinen valvontajärjestelmä (OBD)
Mercedes-Benz,B,"10,70",Jousitus ja iskunvaimennus,Renkaat ja vanteet
Citroen,BERLINGO,"10,94","",""
Renault,MEGANE,"11,10",Etuakselisto,Ohjausnivelet ja -tangot
Fiat,BRAVO,"11,20","",""
Jaguar,XF,"11,30","",""
Volvo,S80,"11,55",Seisontajarrun dynamometritesti,Ohjausnivelet ja -tangot
Peugeot,307,"11,68",Dieselmoottorin pakokaasumittaus,Ohjausnivelet ja -tangot
Kia,CARNIVAL,"11,81","",""
Dodge,AVENGER,"12,26",Ohjausnivelet ja -tangot,Dieselmoottorin pakokaasumittaus
Seat,CORDOBA,"12,40","",""
Chrysler,SEBRING,"12,45",Ohjausnivelet ja -tangot,Dieselmoottorin pakokaasumittaus
Peugeot,PARTNER,"13,79",Dieselmoottorin pakokaasumittaus,Renkaat ja vanteet
Chevrolet,EPICA,"14,19","",""
Volkswagen,TRANSPORTER,"14,29",Ohjausnivelet ja -tangot,Jousitus ja iskunvaimennus
Chrysler,VOYAGER,"14,86",Ohjausnivelet ja -tangot,Seisontajarrun dynamometritesti
Ford,TRANSIT,"16,19","",""
Kia,CARENS,"16,76",Seisontajarrun dynamometritesti,Asiapaperit
Citroen,C5,"17,93",Ohjausnivelet ja -tangot,Jousitus ja iskunvaimennus
Land Rover,FREELANDER,"18,18",Ohjausnivelet ja -tangot,Valmistenumero
Dodge,JOURNEY,"19,53",Ohjausnivelet ja -tangot,Käyttöjarru
Lada,4X4,"21,14",Sisäinen valvontajärjestelmä (OBD),Etuakselisto
Chrysler,300C,"31,00",Ohjausnivelet ja -tangot,Seisontajarrun dynamometritesti
Dodge,CALIBER,"34,03",Ohjausnivelet ja -tangot,Etuakselisto
