Merkki,Malli,Hylkäys %,Yleisin hylkäyssyy,Toiseksi yleisin hylkäyssyy
Kaikki yhteensä,"","18,3","",""
"","","","",""
Lexus,RX400H,"5,0","",""
Citroen,C1,"5,8","",""
Toyota,LAND CRUISER,"5,9","",""
Peugeot,107,"6,5","",""
Toyota,YARIS,"6,5",Jousitus ja iskunvaimennus,Käyttöjarrun dynamometritesti
Mazda,2,"6,6","",""
Toyota,COROLLA,"6,7",Käyttöjarru,Käyttöjarrun dynamometritesti
Mercedes-Benz,SLK,"7,7","",""
Nissan,ALMERA,"7,9",Käyttöjarru,Seisontajarrun dynamometritesti
Subaru,LEGACY,"8,5","",""
Toyota,AYGO,"8,8",Käyttöjarru,Renkaat ja vanteet
Subaru,IMPREZA,"9,1","",""
Toyota,AVENSIS,"9,3",Käyttöjarru,Seisontajarrun dynamometritesti
Hyundai,GETZ,"9,4",Sisäinen valvontajärjestelmä (OBD),Renkaat ja vanteet
Lexus,IS250,"9,4","",""
Suzuki,LIANA,"9,7",Sisäinen valvontajärjestelmä (OBD),Etuakselisto
Mitsubishi,COLT,"9,7","",""
Audi,A6,"9,8",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Toyota,RAV4,"9,9",Jousitus ja iskunvaimennus,Käyttöjarru
Suzuki,GRAND VITARA,"10,1","",""
Smart,FORFOUR,"10,3",Käyttöjarru,Sisäinen valvontajärjestelmä (OBD)
Ford,FUSION,"10,7","",""
Honda,CR-V,"10,9",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Ford,FIESTA,"11,0",Jousitus ja iskunvaimennus,Seisontajarrun dynamometritesti
Subaru,FORESTER,"11,0",Jousitus ja iskunvaimennus,Sisäinen valvontajärjestelmä (OBD)
Suzuki,SX4,"11,3","",""
Volkswagen,GOLF,"11,4",Käyttöjarru,Sisäinen valvontajärjestelmä (OBD)
Audi,Q7,"11,4",Käyttöjarru,Etuakselisto
Ford,MAVERICK,"11,4","",""
Audi,A4,"11,5",Käyttöjarru,Renkaat ja vanteet
Honda,JAZZ,"11,6",Käyttöjarru,Käyttöjarrun dynamometritesti
Jaguar,S-TYPE,"12,4","",""
Toyota,PRIUS,"12,8","",""
Mini,COOPER/ ONE,"12,9",Sisäinen valvontajärjestelmä (OBD),Etuakselisto
Mercedes-Benz,S,"12,9","",""
Audi,TT,"12,9",Jousitus ja iskunvaimennus,Sisäinen valvontajärjestelmä (OBD)
Volkswagen,TOUAREG,"13,2","",""
Mazda,6,"13,3",Käyttöjarru,Käyttöjarrun dynamometritesti
Suzuki,SWIFT,"13,9",Etuakselisto,Käyttöjarru
Honda,FR-V,"14,0",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Volkswagen,JETTA,"14,1",Käyttöjarru,Jousitus ja iskunvaimennus
Audi,A3,"14,5",Käyttöjarru,Dieselmoottorin pakokaasumittaus
Land Rover,RANGE ROVER,"14,6","",""
Toyota,HIACE,"14,7","",""
Seat,LEON,"14,7",Käyttöjarru,Seisontajarrun dynamometritesti
Honda,CIVIC,"14,7",Käyttöjarru,Jousitus ja iskunvaimennus
Mitsubishi,LANCER,"14,9",Ohjausnivelet ja -tangot,Sisäinen valvontajärjestelmä (OBD)
Volkswagen,POLO,"15,0",Etuakselisto,Käyttöjarrun dynamometritesti
Nissan,MICRA,"15,8",Ohjausnivelet ja -tangot,Etuakselisto
Volkswagen,CADDY,"16,2",Käyttöjarru,Dieselmoottorin pakokaasumittaus
Kia,CERATO,"16,4",Käyttöjarru,Käyttöjarrun dynamometritesti
Honda,ACCORD,"16,7",Etuakselisto,Käyttöjarru
Volvo,S60,"16,7",Ohjausnivelet ja -tangot,Käyttöjarru
Ford,MONDEO,"16,7",Käyttöjarru,Jousitus ja iskunvaimennus
Volvo,C70,"16,9",Ohjausnivelet ja -tangot,Käyttöjarru
Volvo,S40,"17,2",Etuakselisto,Jousitus ja iskunvaimennus
Ford,GALAXY,"17,4",Jousitus ja iskunvaimennus,Renkaat ja vanteet
Opel,CORSA,"17,4",Jousitus ja iskunvaimennus,Ohjausnivelet ja -tangot
Volvo,S80,"17,9",Seisontajarrun dynamometritesti,Ohjausnivelet ja -tangot
Ford,KA,"17,9",Jousitus ja iskunvaimennus,Etuakselisto
Volkswagen,PASSAT,"17,9",Etuakselisto,Jousitus ja iskunvaimennus
Smart,SMART,"17,9","",""
Saab,9-5,"17,9",Taka-akselisto,Sisäinen valvontajärjestelmä (OBD)
BMW,X3,"18,0",Jousitus ja iskunvaimennus,Sisäinen valvontajärjestelmä (OBD)
Mercedes-Benz,A,"18,1",Käyttöjarru,Jousitus ja iskunvaimennus
Mercedes-Benz,M,"18,5",Käyttöjarru,Jousitus ja iskunvaimennus
Opel,MERIVA,"18,8",Ohjausnivelet ja -tangot,Käyttöjarru
Kia,RIO,"18,9",Käyttöjarru,Ohjausnivelet ja -tangot
Seat,ALTEA,"19,0",Käyttöjarru,Jousitus ja iskunvaimennus
Mitsubishi,PAJERO,"19,0",Etuakselisto,Ohjausnivelet ja -tangot
Ford,S-MAX,"19,4",Ohjausnivelet ja -tangot,Jousitus ja iskunvaimennus
BMW,X5,"19,5","",""
Citroen,XSARA PICASSO,"19,6",Ohjausnivelet ja -tangot,Etuakselisto
Jeep,CHEROKEE,"20,1",Jousitus ja iskunvaimennus,Etuakselisto
Fiat,PUNTO,"20,2",Jousitus ja iskunvaimennus,Sisäinen valvontajärjestelmä (OBD)
