Merkki,Malli,Hylkäys %,Yleisin hylkäyssyy,Toiseksi yleisin hylkäyssyy
Kaikki yhteensä,"","31,16","",""
"","","","",""
Honda,HR-V,"7,23","",""
Toyota,COROLLA,"8,52",Sisäinen valvontajärjestelmä (OBD),Jousitus ja iskunvaimennus
Mercedes-Benz,SLK,"11,38","",""
Toyota,AVENSIS,"12,13",Seisontajarrun dynamometritesti,Käyttöjarrun dynamometritesti
Toyota,YARIS,"15,32",Käyttöjarru,Jousitus ja iskunvaimennus
Toyota,RAV4,"15,43",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Honda,CIVIC,"19,26",Jousitus ja iskunvaimennus,Sisäinen valvontajärjestelmä (OBD)
Ford,FIESTA,"20,80",Jousitus ja iskunvaimennus,Käyttöjarrun dynamometritesti
Nissan,ALMERA,"21,55",Käyttöjarru,Käyttöjarrun dynamometritesti
Honda,CR-V,"21,60",Etuakselisto,Taka-akselisto
Subaru,LEGACY,"21,70","",""
Mitsubishi,PAJERO,"23,00",Etuakselisto,Käyttöjarru
Nissan,MICRA,"23,19",Käyttöjarrun dynamometritesti,Sisäinen valvontajärjestelmä (OBD)
Jeep,CHEROKEE,"23,20",Seisontajarrun dynamometritesti,Ohjausnivelet ja -tangot
Saab,9-5,"24,44",Taka-akselisto,Sisäinen valvontajärjestelmä (OBD)
Mercedes-Benz,CLK,"24,49",Sisäinen valvontajärjestelmä (OBD),Jousitus ja iskunvaimennus
Audi,AUDI,"25,33","",""
Mitsubishi,CARISMA,"25,49",Seisontajarrun dynamometritesti,Käyttöjarru
Mazda,2,"25,63",Käyttöjarru,Seisontajarrun dynamometritesti
Land Rover,FREELANDER,"25,69",Sisäinen valvontajärjestelmä (OBD),Ohjausnivelet ja -tangot
Audi,TT,"26,09","",""
Ford,KA,"26,78",Jousitus ja iskunvaimennus,Alustan kotelot ja pohjalevy
Opel,ASTRA,"26,98",Ohjausnivelet ja -tangot,Jousitus ja iskunvaimennus
Jaguar,S-TYPE,"27,03","",""
Audi,A4,"27,54",Käyttöjarru,Etuakselisto
Opel,AGILA,"27,59",Etuakselisto,Sisäinen valvontajärjestelmä (OBD)
Nissan,MAXIMA QX,"27,78",Etuakselisto,Käyttöjarru
Volkswagen,BORA,"27,88",Etuakselisto,Käyttöjarru
Lada-Vaz,SAMARA,"28,15",Sisäinen valvontajärjestelmä (OBD),Bensiinimoottorin pakokaasumittaus
Honda,ACCORD,"28,24",Etuakselisto,Käyttöjarru
Volkswagen,GOLF,"28,75",Käyttöjarru,Sisäinen valvontajärjestelmä (OBD)
Citroen,SAXO,"28,98",Käyttöjarrun dynamometritesti,Etuakselisto
Opel,CORSA,"29,02",Jousitus ja iskunvaimennus,Ohjausnivelet ja -tangot
Ford,FOCUS,"29,41",Seisontajarrun dynamometritesti,Ohjausnivelet ja -tangot
Audi,A2,"29,82","",""
Lada-Vaz,112,"30,29",Sisäinen valvontajärjestelmä (OBD),Käyttöjarrun dynamometritesti
Renault,MEGANE,"30,92",Etuakselisto,Ohjausnivelet ja -tangot
Saab,9-3,"30,96",Etuakselisto,Seisontajarrun dynamometritesti
Honda,STREAM,"30,97",Käyttöjarru,Sisäinen valvontajärjestelmä (OBD)
Renault,CLIO,"31,41",Jousitus ja iskunvaimennus,Ohjausnivelet ja -tangot
Audi,A3,"31,42",Käyttöjarru,Sisäinen valvontajärjestelmä (OBD)
Renault,TWINGO,"31,45",Käyttöjarrun dynamometritesti,Käyttöjarru
Mercedes-Benz,A,"31,46",Jousitus ja iskunvaimennus,Sisäinen valvontajärjestelmä (OBD)
Nissan,PRIMERA,"31,75",Etuakselisto,Käyttöjarru
Chrysler,SEBRING,"31,84",Taka-akselisto,Ohjausnivelet ja -tangot
Ford,GALAXY,"32,66",Seisontajarrun dynamometritesti,Käyttöjarru
Opel,OMEGA,"33,05",Ohjausnivelet ja -tangot,Seisontajarrun dynamometritesti
Volkswagen,POLO,"33,33",Etuakselisto,Käyttöjarru
Seat,IBIZA,"33,44",Etuakselisto,Käyttöjarru
Audi,A6,"33,54",Etuakselisto,Käyttöjarru
Volvo,S80,"33,56",Etuakselisto,Käyttöjarru
Citroen,BERLINGO,"33,66",Etuakselisto,Ohjausnivelet ja -tangot
Fiat,PUNTO,"33,73",Sisäinen valvontajärjestelmä (OBD),Alustan kotelot ja pohjalevy
Peugeot,306,"33,94",Ohjausnivelet ja -tangot,Käyttöjarru
Mitsubishi,SPACE STAR,"33,94",Seisontajarrun dynamometritesti,Bensiinimoottorin pakokaasumittaus
Suzuki,WAGON R,"33,96",Käyttöjarrun dynamometritesti,Käyttöjarru
Skoda,OCTAVIA,"34,03",Etuakselisto,Ohjausnivelet ja -tangot
Volvo,S60,"34,23",Etuakselisto,Käyttöjarru
BMW,X5,"34,35",Sisäinen valvontajärjestelmä (OBD),Seisontajarrun dynamometritesti
Volvo,S40,"34,60",Käyttöjarru,Sisäinen valvontajärjestelmä (OBD)
Peugeot,307,"34,71",Etuakselisto,Ohjausnivelet ja -tangot
