Merkki,Malli,Hylkäys %,Yleisin hylkäyssyy,Toiseksi yleisin hylkäyssyy
Seat,CORDOBA,"24,17",Etuakselisto,Käyttöjarru
Ford,KA,"24,19",Jousitus ja iskunvaimennus,Etuakselisto
Saab,9-3,"24,52",Etuakselisto,Seisontajarrun dynamometritesti
Seat,IBIZA,"25,45",Sisäinen valvontajärjestelmä (OBD),Etuakselisto
Opel,OMEGA,"25,47",Ohjausnivelet ja -tangot,Jousitus ja iskunvaimennus
Skoda,FABIA,"25,72",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Nissan,PRIMERA,"25,98",Etuakselisto,Seisontajarrun dynamometritesti
Volkswagen,POLO,"26,01",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Chrysler,VOYAGER,"27,00",Seisontajarrun dynamometritesti,Ohjausnivelet ja -tangot
Citroen,XSARA,"27,14",Ohjausnivelet ja -tangot,Käyttöjarru
BMW,X5,"27,19",Seisontajarrun dynamometritesti,Etuakselisto
Volvo,V40,"27,29",Käyttöjarru,Jousitus ja iskunvaimennus
Mini,COOPER/ ONE,"27,33",Seisontajarrun dynamometritesti,Käyttöjarru
BMW,3,"27,54",Käyttöjarru,Etuakselisto
BMW,1,"27,64",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
BMW,5,"27,71",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Lada-Vaz,111,"28,18",Sisäinen valvontajärjestelmä (OBD),Käyttöjarrun dynamometritesti
Peugeot,206,"28,23",Etuakselisto,Käyttöjarru
Citroen,SAXO,"28,25",Etuakselisto,Käyttöjarrun dynamometritesti
Mercedes-Benz,A,"28,67",Jousitus ja iskunvaimennus,Käyttöjarru
Chrysler,NEON,"28,78",Etuakselisto,Ohjausnivelet ja -tangot
Chrysler,PT CRUISER,"28,85",Etuakselisto,Ohjausnivelet ja -tangot
Chrysler,SEBRING,"29,18",Ohjausnivelet ja -tangot,Etuakselisto
Audi,AUDI,"29,37","",""
Renault,MEGANE,"29,40",Sisäinen valvontajärjestelmä (OBD),Etuakselisto
Citroen,BERLINGO,"29,44",Ohjausnivelet ja -tangot,Etuakselisto
Audi,A6,"29,58",Käyttöjarru,Etuakselisto
Volvo,S80,"29,66",Käyttöjarru,Etuakselisto
Ford,MONDEO,"29,85",Seisontajarrun dynamometritesti,Käyttöjarru
Volkswagen,PASSAT,"30,21",Käyttöjarru,Etuakselisto
Peugeot,607,"30,28",Sisäinen valvontajärjestelmä (OBD),Ohjausnivelet ja -tangot
Volvo,C70,"30,88",Käyttöjarru,Etuakselisto
Citroen,C3,"31,00",Etuakselisto,Jousitus ja iskunvaimennus
Citroen,XSARA PICASSO,"31,30",Sisäinen valvontajärjestelmä (OBD),Ohjausnivelet ja -tangot
Volvo,S60,"31,49",Käyttöjarru,Etuakselisto
Mercedes-Benz,C,"31,92",Etuakselisto,Jousitus ja iskunvaimennus
Peugeot,PARTNER,"32,80","",""
Opel,VECTRA,"33,21",Jousitus ja iskunvaimennus,Taka-akselisto
Volvo,V70,"33,22",Käyttöjarru,Etuakselisto
Opel,ZAFIRA,"33,41",Ohjausnivelet ja -tangot,Jousitus ja iskunvaimennus
Fiat,BRAVA,"33,78",Ohjausnivelet ja -tangot,Sisäinen valvontajärjestelmä (OBD)
Renault,TWINGO,"34,91",Käyttöjarru,Ohjausnivelet ja -tangot
Mercedes-Benz,B,"34,91","",""
Citroen,C5,"35,52",Sisäinen valvontajärjestelmä (OBD),Ohjausnivelet ja -tangot
Alfa Romeo,156,"36,08",Etuakselisto,Sisäinen valvontajärjestelmä (OBD)
Alfa Romeo,147,"36,69",Etuakselisto,Sisäinen valvontajärjestelmä (OBD)
Fiat,STILO,"36,70",Etuakselisto,Jousitus ja iskunvaimennus
Mercedes-Benz,M,"36,77",Ohjausnivelet ja -tangot,Etuakselisto
Fiat,MAREA WEEKEND,"38,58","",""
Peugeot,406,"42,72",Taka-akselisto,Ohjausnivelet ja -tangot
Hyundai,ELANTRA,"42,98",Sisäinen valvontajärjestelmä (OBD),Seisontajarrun dynamometritesti
Chevrolet,TRANS SPORT,"45,25",Sisäinen valvontajärjestelmä (OBD),Etuakselisto
Volkswagen,TRANSPORTER,"46,60",Käyttöjarru,Käyttöjarrun dynamometritesti
