Merkki,Malli,Hylkäys %,Yleisin hylkäyssyy,Toiseksi yleisin hylkäyssyy
Kaikki yhteensä,"","23,20","",""
"","","","",""
Honda,HR-V,"5,35","",""
Toyota,COROLLA,"7,35",Käyttöjarru,Käyttöjarrun dynamometritesti
Toyota,CAMRY,"7,60","",""
Toyota,AVENSIS,"9,32",Käyttöjarru,Seisontajarrun dynamometritesti
Ford,FIESTA,"10,56",Jousitus ja iskunvaimennus,Renkaat ja vanteet
Opel,AGILA,"11,21","",""
Toyota,RAV4,"11,39",Sisäinen valvontajärjestelmä (OBD),Asiapaperit
Mazda,6,"11,72",Käyttöjarrun dynamometritesti,Käyttöjarru
Honda,ACCORD,"13,02",Sisäinen valvontajärjestelmä (OBD),Etuakselisto
Toyota,YARIS,"13,05",Käyttöjarru,Jousitus ja iskunvaimennus
Mitsubishi,SPACE STAR,"13,08","",""
Nissan,ALMERA,"13,13",Jousitus ja iskunvaimennus,Etuakselisto
Volkswagen,GOLF,"13,33",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Nissan,MICRA,"13,75",Käyttöjarrun dynamometritesti,Seisontajarrun dynamometritesti
Mitsubishi,PAJERO,"13,91","",""
Honda,CIVIC,"14,85",Jousitus ja iskunvaimennus,Sisäinen valvontajärjestelmä (OBD)
Nissan,MAXIMA QX,"15,38",Sisäinen valvontajärjestelmä (OBD),Etuakselisto
Honda,CR-V,"15,61",Jousitus ja iskunvaimennus,Sisäinen valvontajärjestelmä (OBD)
Volkswagen,BORA,"15,73",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Mitsubishi,CARISMA,"15,77",Käyttöjarru,Seisontajarrun dynamometritesti
Jeep,CHEROKEE,"16,43",Seisontajarrun dynamometritesti,Etuakselisto
Ford,FOCUS,"17,49",Seisontajarrun dynamometritesti,Ohjausnivelet ja -tangot
Audi,A3,"17,53",Sisäinen valvontajärjestelmä (OBD),Jousitus ja iskunvaimennus
Mazda,PREMACY,"17,61",Seisontajarrun dynamometritesti,Käyttöjarru
Skoda,OCTAVIA,"17,61",Sisäinen valvontajärjestelmä (OBD),Käyttöjarrun dynamometritesti
Saab,9-5,"17,81",Taka-akselisto,Sisäinen valvontajärjestelmä (OBD)
Mercedes-Benz,CLK,"17,88",Etuakselisto,Sisäinen valvontajärjestelmä (OBD)
Mazda,2,"17,90",Käyttöjarru,Seisontajarrun dynamometritesti
Suzuki,LIANA,"18,00",Jousitus ja iskunvaimennus,Sisäinen valvontajärjestelmä (OBD)
Volvo,S40,"18,54",Käyttöjarru,Sisäinen valvontajärjestelmä (OBD)
Ford,GALAXY,"20,14","",""
Seat,TOLEDO,"20,39",Käyttöjarru,Sisäinen valvontajärjestelmä (OBD)
Hyundai,SONATA,"20,73",Käyttöjarru,Etuakselisto
Opel,ASTRA,"20,92",Jousitus ja iskunvaimennus,Ohjausnivelet ja -tangot
Jaguar,S-TYPE,"21,28","",""
Seat,LEON,"21,35",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Audi,A4,"21,40",Käyttöjarru,Etuakselisto
Mercedes-Benz,E,"21,94",Etuakselisto,Ohjausnivelet ja -tangot
Jaguar,X-TYPE,"22,02",Sisäinen valvontajärjestelmä (OBD),Taka-akselisto
Opel,CORSA,"22,30",Jousitus ja iskunvaimennus,Ohjausnivelet ja -tangot
Lada-Vaz,SAMARA,"22,66",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Honda,STREAM,"22,87",Sisäinen valvontajärjestelmä (OBD),Jousitus ja iskunvaimennus
Land Rover,FREELANDER,"23,08",Sisäinen valvontajärjestelmä (OBD),Ohjausnivelet ja -tangot
Lada-Vaz,112,"23,57",Sisäinen valvontajärjestelmä (OBD),Käyttöjarrun dynamometritesti
Renault,CLIO,"23,64",Jousitus ja iskunvaimennus,Ohjausnivelet ja -tangot
Fiat,PUNTO,"24,15",Sisäinen valvontajärjestelmä (OBD),Ohjausnivelet ja -tangot
