Merkki,Malli,Hylkäys %,Yleisin hylkäyssyy,Toiseksi yleisin hylkäyssyy
Subaru,FORESTER,"14,2",Taka-akselisto,Sisäinen valvontajärjestelmä (OBD)
BMW,3,"14,3",Taka-akselisto,Jousitus ja iskunvaimennus
Kia,PICANTO,"14,3","",""
Fiat,PUNTO,"14,4",Jousitus ja iskunvaimennus,Seisontajarrun dynamometritesti
Volkswagen,CARAVELLE,"14,4","",""
Mercedes-Benz,C,"14,6",Etuakselisto,Seisontajarrun dynamometritesti
Peugeot,308,"15,0",Dieselmoottorin pakokaasumittaus,Käyttöjarru
Ford,S-MAX,"15,0",Jousitus ja iskunvaimennus,Ohjausnivelet ja -tangot
Mazda,2,"15,1",Ohjausnivelet ja -tangot,Etuakselisto
Toyota,HIACE,"15,1","",""
Dodge,AVENGER,"15,2",Ohjausnivelet ja -tangot,Sisäinen valvontajärjestelmä (OBD)
Mercedes-Benz,M,"15,3",Käyttöjarru,Jousitus ja iskunvaimennus
Ford,FOCUS C-MAX,"15,5",Etuakselisto,Renkaat ja vanteet
Nissan,NOTE,"15,6",Etuakselisto,Jousitus ja iskunvaimennus
Fiat,LINEA,"15,9",Jousitus ja iskunvaimennus,Sisäinen valvontajärjestelmä (OBD)
Nissan,QASHQAI,"16,5",Etuakselisto,Käyttöjarru
Saab,9-3,"16,5",Jousitus ja iskunvaimennus,Taka-akselisto
Kia,CEED,"16,5",Taka-akselisto,Seisontajarrun dynamometritesti
Mercedes-Benz,B,"17,0",Jousitus ja iskunvaimennus,Käyttöjarru
Citroen,BERLINGO,"17,0",Etuakselisto,Käyttöjarru
Ford,FOCUS,"17,6",Etuakselisto,Dieselmoottorin pakokaasumittaus
Nissan,X-TRAIL,"17,6",Etuakselisto,Käyttöjarru
Hyundai,SONATA,"18,2",Seisontajarrun dynamometritesti,Käyttöjarru
Chevrolet,AVEO,"18,7",Etuakselisto,Sisäinen valvontajärjestelmä (OBD)
Jeep,CHEROKEE,"18,7",Jousitus ja iskunvaimennus,Etuakselisto
Citroen,XSARA PICASSO,"18,9",Ohjausnivelet ja -tangot,Etuakselisto
Citroen,C5,"19,1",Ohjausnivelet ja -tangot,Etuakselisto
Opel,VECTRA,"19,1",Jousitus ja iskunvaimennus,Etuakselisto
Hyundai,I 30,"19,2",Taka-akselisto,Käyttöjarru
Kia,MAGENTIS,"19,6",Taka-akselisto,Käyttöjarru
Renault,TWINGO,"19,8",Ohjausnivelet ja -tangot,Etuakselisto
Chrysler,SEBRING,"20,1",Ohjausnivelet ja -tangot,Sisäinen valvontajärjestelmä (OBD)
Kia,SORENTO,"20,1",Etuakselisto,Seisontajarrun dynamometritesti
Fiat,CROMA,"20,5",Jousitus ja iskunvaimennus,Etuakselisto
Mercedes-Benz,E,"20,7",Etuakselisto,Ohjausnivelet ja -tangot
Peugeot,207,"20,8",Etuakselisto,Dieselmoottorin pakokaasumittaus
Peugeot,PARTNER,"20,9",Dieselmoottorin pakokaasumittaus,Käyttöjarru
Mitsubishi,GRANDIS,"21,0","",""
Seat,CORDOBA,"21,0",Seisontajarrun dynamometritesti,Jousitus ja iskunvaimennus
Nissan,TIIDA,"21,6",Etuakselisto,Käyttöjarru
Lada,4X4,"21,7",Etuakselisto,Sisäinen valvontajärjestelmä (OBD)
Chrysler,VOYAGER,"22,0",Seisontajarrun dynamometritesti,Ohjausnivelet ja -tangot
Opel,ZAFIRA,"22,0",Taka-akselisto,Käyttöjarru
Nissan,PRIMERA,"22,9",Etuakselisto,Ohjausnivelet ja -tangot
Fiat,BRAVO,"23,0",Ohjausnivelet ja -tangot,Jousitus ja iskunvaimennus
Mazda,5,"23,2",Etuakselisto,Jousitus ja iskunvaimennus
Mercedes-Benz,CLS,"23,2",Ohjausnivelet ja -tangot,Etuakselisto
Volvo,XC90,"23,4",Seisontajarrun dynamometritesti,Jousitus ja iskunvaimennus
Citroen,C4,"23,8",Ohjausnivelet ja -tangot,Etuakselisto
Mazda,CX-7,"24,0",Ohjausnivelet ja -tangot,Etuakselisto
Renault,CLIO,"24,1",Ohjausnivelet ja -tangot,Etuakselisto
Kia,CARENS,"24,2",Seisontajarrun dynamometritesti,Taka-akselisto
Renault,MEGANE,"24,4",Etuakselisto,Ohjausnivelet ja -tangot
Alfa Romeo,159,"24,6",Etuakselisto,Jousitus ja iskunvaimennus
Kia,CARNIVAL,"25,3",Taka-akselisto,Etuakselisto
Fiat,500,"26,5",Jousitus ja iskunvaimennus,Etuakselisto
Peugeot,307,"26,8",Ohjausnivelet ja -tangot,Etuakselisto
Volkswagen,TRANSPORTER,"27,7",Ohjausnivelet ja -tangot,Jousitus ja iskunvaimennus
Dodge,JOURNEY,"29,5",Ohjausnivelet ja -tangot,Taka-akselisto
Chevrolet,NUBIRA,"30,9",Käyttöjarrun dynamometritesti,Seisontajarrun dynamometritesti
Chevrolet,EPICA,"36,1",Taka-akselisto,Käyttöjarru
Jeep,PATRIOT,"38,7",Taka-akselisto,Etuakselisto
Chrysler,300,"40,5",Seisontajarrun dynamometritesti,Etuakselisto
