Merkki,Malli,Hylkäys %,Yleisin hylkäyssyy,Toiseksi yleisin hylkäyssyy
Kaikki yhteensä,"","11,9","",""
"","","","",""
Ford,FUSION,"1,9","",""
Mitsubishi,COLT,"3,8","",""
Toyota,AURIS,"4,2",Seisontajarrun dynamometritesti,Käyttöjarru
Toyota,COROLLA,"4,7",Käyttöjarru,Renkaat ja vanteet
Volvo,XC60,"4,9","",""
Toyota,PRIUS,"5,0",Käyttöjarru,Sisäinen valvontajärjestelmä (OBD)
Honda,JAZZ,"5,0","",""
Suzuki,SWIFT,"5,4","",""
Audi,A3,"5,8",Renkaat ja vanteet,Sisäinen valvontajärjestelmä (OBD)
Ford,KUGA,"6,2","",""
Volvo,C70,"6,3",Ohjausnivelet ja -tangot,Käyttöjarru
Volvo,C30,"6,3",Etuakselisto,Jousitus ja iskunvaimennus
Volkswagen,TIGUAN,"6,3",Jousitus ja iskunvaimennus,Renkaat ja vanteet
Ford,FIESTA,"6,4",Ohjausnivelet ja -tangot,Jousitus ja iskunvaimennus
Audi,TT,"6,4","",""
Toyota,AVENSIS,"6,4",Käyttöjarru,Dieselmoottorin pakokaasumittaus
Nissan,MICRA,"6,5",Etuakselisto,Ohjausnivelet ja -tangot
Audi,A4,"6,6",Etuakselisto,Renkaat ja vanteet
Toyota,YARIS,"6,6",Jousitus ja iskunvaimennus,Käyttöjarru
Suzuki,GRAND VITARA,"6,7","",""
Audi,A6,"7,0",Sisäinen valvontajärjestelmä (OBD),Etuakselisto
Toyota,AYGO,"7,0",Renkaat ja vanteet,Käyttöjarru
Toyota,LAND CRUISER,"7,1","",""
Audi,A5,"7,1","",""
Volkswagen,GOLF,"7,1",Jousitus ja iskunvaimennus,Dieselmoottorin pakokaasumittaus
Honda,FR-V,"7,2","",""
Seat,LEON,"7,2",Käyttöjarru,Jousitus ja iskunvaimennus
Volvo,S40,"7,2",Etuakselisto,Renkaat ja vanteet
Skoda,OCTAVIA,"7,3",Dieselmoottorin pakokaasumittaus,Renkaat ja vanteet
Opel,MERIVA,"7,7","",""
Volkswagen,PASSAT,"7,7",Dieselmoottorin pakokaasumittaus,Renkaat ja vanteet
Jaguar,XF,"7,7","",""
Honda,ACCORD,"7,8",Käyttöjarru,Renkaat ja vanteet
Subaru,LEGACY,"7,9",Etuakselisto,Käyttöjarru
Skoda,SUPERB,"8,2",Renkaat ja vanteet,Etuakselisto
Honda,CR-V,"8,3",Käyttöjarru,Jousitus ja iskunvaimennus
Volkswagen,JETTA,"8,3",Dieselmoottorin pakokaasumittaus,Renkaat ja vanteet
Mini,COOPER/ ONE,"8,4",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Seat,ALTEA,"8,5",Renkaat ja vanteet,Käyttöjarru
Hyundai,GETZ,"8,9",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Volkswagen,CADDY,"9,1",Jousitus ja iskunvaimennus,Käyttöjarru
Honda,CIVIC,"9,1",Jousitus ja iskunvaimennus,Käyttöjarru
Volkswagen,TOURAN,"9,4",Dieselmoottorin pakokaasumittaus,Jousitus ja iskunvaimennus
Mitsubishi,LANCER,"9,7",Sisäinen valvontajärjestelmä (OBD),Ohjausnivelet ja -tangot
Mazda,6,"9,7",Käyttöjarru,Käyttöjarrun dynamometritesti
BMW,X6,"9,8",Valmistajan kilpi,Etuakselisto
Mini,COOPER CLUBMAN,"9,8","",""
Renault,LAGUNA,"10,2",Käyttöjarru,Jousitus ja iskunvaimennus
Kia,SPORTAGE,"10,2","",""
BMW,X5,"10,2",Etuakselisto,Jousitus ja iskunvaimennus
Kia,CERATO,"10,3",Käyttöjarru,Seisontajarrun dynamometritesti
Subaru,IMPREZA,"10,4","",""
Volvo,V70,"10,4",Ohjausnivelet ja -tangot,Käyttöjarru
Mercedes-Benz,A,"10,4",Jousitus ja iskunvaimennus,Käyttöjarru
Peugeot,206,"10,4",Ohjausnivelet ja -tangot,Taka-akselisto
Volkswagen,POLO,"10,5",Etuakselisto,Seisontajarrun dynamometritesti
BMW,X3,"10,5",Jousitus ja iskunvaimennus,Käyttöjarru
Seat,IBIZA,"10,6","",""
Skoda,FABIA,"10,7",Etuakselisto,Ohjausnivelet ja -tangot
Smart,FORTWO,"10,7","",""
Volvo,V50,"10,8",Etuakselisto,Jousitus ja iskunvaimennus
Toyota,RAV4,"11,0",Jousitus ja iskunvaimennus,Käyttöjarru
Mazda,3,"11,2",Etuakselisto,Jousitus ja iskunvaimennus
Ford,MONDEO,"11,2",Ohjausnivelet ja -tangot,Taka-akselisto
Jaguar,X-TYPE,"11,2","",""
Saab,9-5,"11,4",Taka-akselisto,Seisontajarrun dynamometritesti
Kia,RIO,"11,6",Käyttöjarru,Etuakselisto
Land Rover,FREELANDER,"11,8",Seisontajarrun dynamometritesti,Jousitus ja iskunvaimennus
Ford,GALAXY,"11,8","",""
Suzuki,SX4,"11,9",Jousitus ja iskunvaimennus,Sisäinen valvontajärjestelmä (OBD)
Citroen,C3,"12,6",Etuakselisto,Sisäinen valvontajärjestelmä (OBD)
Ford,KA,"12,7","",""
Volvo,S60,"12,9",Seisontajarrun dynamometritesti,Jousitus ja iskunvaimennus
Volvo,S80,"12,9",Seisontajarrun dynamometritesti,Ohjausnivelet ja -tangot
Opel,ASTRA,"13,0",Jousitus ja iskunvaimennus,Käyttöjarru
Mitsubishi,OUTLANDER,"13,1",Ohjausnivelet ja -tangot,Etuakselisto
Skoda,ROOMSTER,"13,2",Seisontajarrun dynamometritesti,Etuakselisto
BMW,5,"13,3",Ohjausnivelet ja -tangot,Jousitus ja iskunvaimennus
Audi,Q7,"13,4",Etuakselisto,Sisäinen valvontajärjestelmä (OBD)
Opel,CORSA,"13,5",Jousitus ja iskunvaimennus,Sisäinen valvontajärjestelmä (OBD)
BMW,1,"13,5",Taka-akselisto,Jousitus ja iskunvaimennus
Citroen,C4 PICASSO,"13,7",Etuakselisto,Käyttöjarru
Citroen,C2,"13,7",Käyttöjarru,Sisäinen valvontajärjestelmä (OBD)
