Merkki,Malli,Hylkäys %,Yleisin hylkäyssyy,Toiseksi yleisin hylkäyssyy
Kaikki yhteensä,"","21,5","",""
"","","","",""
Suzuki,GRAND VITARA,"5,4",Sisäinen valvontajärjestelmä (OBD),Taka-akselisto
Toyota,LAND CRUISER,"6,2","",""
Toyota,RAV4,"6,4",Jousitus ja iskunvaimennus,Sisäinen valvontajärjestelmä (OBD)
Honda,HR-V,"7,4","",""
Ford,FUSION,"7,9","",""
Hyundai,GETZ,"8,5",Sisäinen valvontajärjestelmä (OBD),Renkaat ja vanteet
Toyota,COROLLA,"8,6",Käyttöjarru,Käyttöjarrun dynamometritesti
Toyota,AVENSIS,"9,6",Käyttöjarru,Sisäinen valvontajärjestelmä (OBD)
Honda,CIVIC,"9,8",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Subaru,FORESTER,"10,1",Jousitus ja iskunvaimennus,Käyttöjarru
Toyota,YARIS,"11,3",Käyttöjarru,Käyttöjarrun dynamometritesti
Audi,A6,"11,8",Käyttöjarru,Etuakselisto
Subaru,LEGACY,"11,9",Sisäinen valvontajärjestelmä (OBD),Bensiinimoottorin pakokaasumittaus
Ford,FIESTA,"12,2",Jousitus ja iskunvaimennus,Seisontajarrun dynamometritesti
Honda,CR-V,"12,3",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Hyundai,SANTA FE,"12,7",Käyttöjarru,Etuakselisto
Mitsubishi,COLT,"13,0",Seisontajarrun dynamometritesti,Sisäinen valvontajärjestelmä (OBD)
Honda,JAZZ,"13,1",Käyttöjarru,Käyttöjarrun dynamometritesti
Volkswagen,BORA,"13,3",Käyttöjarru,Seisontajarrun dynamometritesti
Smart,FORFOUR,"13,5",Seisontajarrun dynamometritesti,Käyttöjarru
Nissan,ALMERA,"13,6",Seisontajarrun dynamometritesti,Käyttöjarru
Subaru,IMPREZA,"13,9",Bensiinimoottorin pakokaasumittaus,Sisäinen valvontajärjestelmä (OBD)
Audi,A4,"14,1",Käyttöjarru,Etuakselisto
Toyota,PRIUS,"14,6","",""
Mercedes-Benz,SLK,"14,9",Jousitus ja iskunvaimennus,Etuakselisto
Mitsubishi,PAJERO,"15,2",Etuakselisto,Käyttöjarrun dynamometritesti
Suzuki,LIANA,"15,3","",""
Volkswagen,TOUAREG,"15,7",Käyttöjarru,Jousitus ja iskunvaimennus
Honda,FR-V,"16,0",Käyttöjarru,Sisäinen valvontajärjestelmä (OBD)
BMW,X3,"16,0",Jousitus ja iskunvaimennus,Käyttöjarru
Honda,ACCORD,"16,0",Etuakselisto,Käyttöjarru
Volkswagen,GOLF,"16,2",Käyttöjarru,Seisontajarrun dynamometritesti
Jaguar,S-TYPE,"16,3",Seisontajarrun dynamometritesti,Taka-akselisto
Saab,9-5,"17,1",Taka-akselisto,Sisäinen valvontajärjestelmä (OBD)
Volkswagen,JETTA,"17,2",Käyttöjarru,Jousitus ja iskunvaimennus
Volvo,S60,"17,2",Ohjausnivelet ja -tangot,Etuakselisto
Audi,A3,"18,0",Käyttöjarru,Sisäinen valvontajärjestelmä (OBD)
Mini,COOPER/ ONE,"18,5",Etuakselisto,Sisäinen valvontajärjestelmä (OBD)
Seat,TOLEDO,"18,5",Käyttöjarru,Jousitus ja iskunvaimennus
Kia,CERATO,"18,8",Käyttöjarru,Käyttöjarrun dynamometritesti
Volkswagen,PASSAT,"18,9",Etuakselisto,Jousitus ja iskunvaimennus
Volvo,S40,"19,0",Etuakselisto,Jousitus ja iskunvaimennus
Land Rover,DISCOVERY 3,"19,2",Taka-akselisto,Ohjausnivelet ja -tangot
Mazda,6,"19,4",Seisontajarrun dynamometritesti,Käyttöjarru
Kia,LD,"19,4","",""
Jeep,CHEROKEE,"19,5",Seisontajarrun dynamometritesti,Käyttöjarru
Mercedes-Benz,A,"19,9",Jousitus ja iskunvaimennus,Käyttöjarru
Seat,LEON,"20,0",Seisontajarrun dynamometritesti,Käyttöjarru
Fiat,PUNTO,"20,0",Sisäinen valvontajärjestelmä (OBD),Jousitus ja iskunvaimennus
Opel,MERIVA,"20,2",Ohjausnivelet ja -tangot,Käyttöjarru
Hyundai,ACCENT,"20,4","",""
Kia,PICANTO,"20,4",Seisontajarrun dynamometritesti,Käyttöjarrun dynamometritesti
Ford,MAVERICK,"20,6",Käyttöjarru,Etuakselisto
Citroen,XSARA PICASSO,"20,8",Ohjausnivelet ja -tangot,Etuakselisto
Volvo,C70,"21,1",Ohjausnivelet ja -tangot,Jousitus ja iskunvaimennus
Kia,RIO,"21,3",Käyttöjarrun dynamometritesti,Sisäinen valvontajärjestelmä (OBD)
Volvo,S80,"21,4",Ohjausnivelet ja -tangot,Seisontajarrun dynamometritesti
Hyundai,SONATA,"21,5",Käyttöjarru,Seisontajarrun dynamometritesti
Chevrolet,KALOS,"21,5",Etuakselisto,Käyttöjarrun dynamometritesti
Toyota,HIACE,"21,8",Etuakselisto,Käyttöjarru
Ford,MONDEO,"22,1",Käyttöjarru,Jousitus ja iskunvaimennus
Land Rover,FREELANDER,"22,3",Ohjausnivelet ja -tangot,Käyttöjarru
Suzuki,SWIFT,"22,4",Etuakselisto,Käyttöjarrun dynamometritesti
Volkswagen,POLO,"22,5",Etuakselisto,Käyttöjarru
Citroen,C3,"22,5",Etuakselisto,Sisäinen valvontajärjestelmä (OBD)
Volvo,V70,"22,5",Seisontajarrun dynamometritesti,Ohjausnivelet ja -tangot
Ford,FOCUS,"22,6",Jousitus ja iskunvaimennus,Etuakselisto
Mitsubishi,GRANDIS,"22,7",Ohjausnivelet ja -tangot,Käyttöjarru
Volkswagen,CADDY,"22,9",Käyttöjarru,Seisontajarrun dynamometritesti
Skoda,SUPERB,"23,1",Etuakselisto,Käyttöjarru
BMW,5,"23,3",Ohjausnivelet ja -tangot,Käyttöjarru
Mercedes-Benz,B,"23,4",Etuakselisto,Seisontajarrun dynamometritesti
Skoda,OCTAVIA,"23,4",Käyttöjarru,Jousitus ja iskunvaimennus
Citroen,C2,"23,4",Etuakselisto,Käyttöjarru
Ford,FOCUS C-MAX,"23,5",Etuakselisto,Jousitus ja iskunvaimennus
BMW,X5,"24,2",Etuakselisto,Käyttöjarru
Kia,MAGENTIS,"24,4",Käyttöjarru,Etuakselisto
Opel,CORSA,"24,7",Jousitus ja iskunvaimennus,Seisontajarrun dynamometritesti
Mercedes-Benz,CLK,"24,8",Etuakselisto,Sisäinen valvontajärjestelmä (OBD)
Saab,9-3,"24,9",Taka-akselisto,Jousitus ja iskunvaimennus
Nissan,MICRA,"25,1",Ohjausnivelet ja -tangot,Etuakselisto
Volvo,XC90,"25,3",Seisontajarrun dynamometritesti,Jousitus ja iskunvaimennus
Skoda,FABIA,"25,4",Käyttöjarrun dynamometritesti,Seisontajarrun dynamometritesti
Kia,SORENTO,"25,4",Seisontajarrun dynamometritesti,Käyttöjarru
Peugeot,307,"25,5",Ohjausnivelet ja -tangot,Käyttöjarru
Volvo,V50,"25,5",Jousitus ja iskunvaimennus,Etuakselisto
Nissan,X-TRAIL,"25,6",Ohjausnivelet ja -tangot,Käyttöjarru
Hyundai,MATRIX,"25,6",Jousitus ja iskunvaimennus,Seisontajarrun dynamometritesti
Mercedes-Benz,CLS,"25,9",Etuakselisto,Sisäinen valvontajärjestelmä (OBD)
Citroen,BERLINGO,"26,0",Etuakselisto,Ohjausnivelet ja -tangot
Volkswagen,TRANSPORTER,"26,7",Käyttöjarru,Ohjausnivelet ja -tangot
Seat,IBIZA,"27,1",Jousitus ja iskunvaimennus,Käyttöjarru
Nissan,PRIMERA,"27,1",Etuakselisto,Ohjausnivelet ja -tangot
Mazda,3,"27,4",Etuakselisto,Jousitus ja iskunvaimennus
Mitsubishi,LANCER,"27,5",Taka-akselisto,Ohjausnivelet ja -tangot
Hyundai,TUCSON,"27,7",Käyttöjarru,Etuakselisto
Chevrolet,LACETTI,"28,1",Sisäinen valvontajärjestelmä (OBD),Etuakselisto
Renault,TWINGO,"28,1",Ohjausnivelet ja -tangot,Jousitus ja iskunvaimennus
BMW,3,"28,2",Käyttöjarru,Taka-akselisto
Peugeot,206,"28,3",Sisäinen valvontajärjestelmä (OBD),Etuakselisto
BMW,1,"28,4",Käyttöjarru,Taka-akselisto
Seat,ALTEA,"28,5",Käyttöjarru,Jousitus ja iskunvaimennus
Lada-Vaz,112,"28,7",Sisäinen valvontajärjestelmä (OBD),Jousitus ja iskunvaimennus
Ford,KA,"28,7",Jousitus ja iskunvaimennus,Käyttöjarru
Volkswagen,TOURAN,"28,7",Käyttöjarru,Etuakselisto
Renault,CLIO,"28,9",Ohjausnivelet ja -tangot,Jousitus ja iskunvaimennus
Citroen,XSARA,"29,0",Seisontajarrun dynamometritesti,Käyttöjarru
Peugeot,607,"29,0",Sisäinen valvontajärjestelmä (OBD),Etuakselisto
Citroen,C5,"29,1",Etuakselisto,Ohjausnivelet ja -tangot
Mercedes-Benz,E,"29,1",Etuakselisto,Ohjausnivelet ja -tangot
Citroen,C4,"29,4",Ohjausnivelet ja -tangot,Jousitus ja iskunvaimennus
Opel,ASTRA,"29,7",Jousitus ja iskunvaimennus,Seisontajarrun dynamometritesti
Kia,SPORTAGE,"29,8",Etuakselisto,Käyttöjarru
Chevrolet,MATIZ,"29,9",Sisäinen valvontajärjestelmä (OBD),Etuakselisto
Ford,TOURNEO,"30,1",Seisontajarrun dynamometritesti,Alustan kotelot ja pohjalevy
Jaguar,X-TYPE,"30,2",Taka-akselisto,Käyttöjarru
Hyundai,TRAJET,"31,7",Seisontajarrun dynamometritesti,Etuakselisto
Peugeot,407,"31,8",Etuakselisto,Käyttöjarru
Kia,CARNIVAL,"31,8",Seisontajarrun dynamometritesti,Etuakselisto
Chevrolet,NUBIRA,"32,7",Etuakselisto,Sisäinen valvontajärjestelmä (OBD)
Chrysler,PT CRUISER,"33,1",Etuakselisto,Ohjausnivelet ja -tangot
Alfa Romeo,147,"33,3",Etuakselisto,Seisontajarrun dynamometritesti
Opel,ZAFIRA,"33,5",Etuakselisto,Käyttöjarru
Hyundai,ELANTRA,"33,5",Käyttöjarru,Seisontajarrun dynamometritesti
Fiat,PANDA,"33,9",Etuakselisto,Ohjausnivelet ja -tangot
Mitsubishi,OUTLANDER,"34,7",Taka-akselisto,Ohjausnivelet ja -tangot
Opel,VECTRA,"34,8",Jousitus ja iskunvaimennus,Taka-akselisto
Alfa Romeo,156,"35,4",Etuakselisto,Käyttöjarru
Renault,MEGANE,"35,4",Ohjausnivelet ja -tangot,Etuakselisto
Chrysler,VOYAGER,"35,9",Seisontajarrun dynamometritesti,Ohjausnivelet ja -tangot
Chrysler,SEBRING,"36,0",Ohjausnivelet ja -tangot,Etuakselisto
Chrysler,NEON,"37,1",Etuakselisto,Ohjausnivelet ja -tangot
Mazda,5,"37,8",Etuakselisto,Jousitus ja iskunvaimennus
Fiat,STILO,"38,1",Etuakselisto,Jousitus ja iskunvaimennus
Mercedes-Benz,C,"39,3",Etuakselisto,Jousitus ja iskunvaimennus
Renault,MODUS,"39,6",Ohjausnivelet ja -tangot,Seisontajarrun dynamometritesti
Nissan,PATHFINDER,"40,3",Taka-akselisto,Etuakselisto
Chevrolet,EVANDA,"40,3",Ohjausnivelet ja -tangot,Sisäinen valvontajärjestelmä (OBD)
Chrysler,300,"40,4",Ohjausnivelet ja -tangot,Seisontajarrun dynamometritesti
Renault,LAGUNA,"44,4",Etuakselisto,Ohjausnivelet ja -tangot
Renault,ESPACE,"46,5",Etuakselisto,Seisontajarrun dynamometritesti
