Merkki;Malli;Hylkäys %;Yleisin hylkäyssyy;Toiseksi yleisin hylkäyssyy;Kolmanneksi yleisin hylkäyssyy
Kaikki yhteensä;;16.92;;;
Honda;HR-V;2.9;;;
Toyota;RAV4;5.02;;;
Toyota;COROLLA;5.54;Käyttöjarru;Käyttöjarrun dynamometritesti;Renkaat ja vanteet
Suzuki;GRAND VITARA;5.84;;;
Toyota;LAND CRUISER;6.13;Etuakselisto;Jousitus ja iskunvaimennus;Käyttöjarrun dynamometritesti
Hyundai;ACCENT;6.93;;;
Subaru;LEGACY;6.97;;;
Honda;CIVIC;7.47;Sisäinen valvontajärjestelmä (OBD);Renkaat ja vanteet;Käyttöjarru
Toyota;AVENSIS;7.61;Sisäinen valvontajärjestelmä (OBD);Käyttöjarru;Renkaat ja vanteet
Honda;CR-V;7.7;Sisäinen valvontajärjestelmä (OBD);Käyttöjarru;Renkaat ja vanteet
Nissan;ALMERA;7.84;Käyttöjarru;Jousitus ja iskunvaimennus;Seisontajarrun dynamometritesti
Toyota;YARIS;7.9;Käyttöjarru;Käyttöjarrun dynamometritesti;Jousitus ja iskunvaimennus
Toyota;HIACE;8.11;;;
Subaru;IMPREZA;8.15;;;
Hyundai;GETZ;8.2;Sisäinen valvontajärjestelmä (OBD);Renkaat ja vanteet;Jousitus ja iskunvaimennus
Audi;A6;8.4;Käyttöjarru;Renkaat ja vanteet;Sisäinen valvontajärjestelmä (OBD)
Subaru;FORESTER;8.42;Sisäinen valvontajärjestelmä (OBD);Jousitus ja iskunvaimennus;Renkaat ja vanteet
Volkswagen;BORA;8.86;Sisäinen valvontajärjestelmä (OBD);Käyttöjarru;Seisontajarrun dynamometritesti
Mitsubishi;COLT;9.3;Renkaat ja vanteet;Käyttöjarru;Jousitus ja iskunvaimennus
Audi;A4;9.49;Käyttöjarru;Renkaat ja vanteet;Sisäinen valvontajärjestelmä (OBD)
Honda;ACCORD;9.62;Käyttöjarru;Etuakselisto;Sisäinen valvontajärjestelmä (OBD)
Suzuki;LIANA;10.22;;;
Ford;FIESTA;10.27;Jousitus ja iskunvaimennus;Käyttöjarrun dynamometritesti;Sisäinen valvontajärjestelmä (OBD)
Volkswagen;JETTA;10.27;Käyttöjarru;Jousitus ja iskunvaimennus;Sisäinen valvontajärjestelmä (OBD)
Honda;JAZZ;10.3;Käyttöjarru;Seisontajarrun dynamometritesti;Käyttöjarrun dynamometritesti
Volkswagen;GOLF;10.39;Käyttöjarru;Sisäinen valvontajärjestelmä (OBD);Jousitus ja iskunvaimennus
BMW;X3;10.41;Jousitus ja iskunvaimennus;Etuakselisto;Käyttöjarru
Ford;FUSION;10.77;;;
Audi;A3;11.02;Käyttöjarru;Sisäinen valvontajärjestelmä (OBD);Etuakselisto
Volkswagen;TOUAREG;11.03;;;
Mazda;2;11.16;;;
Volvo;S40;11.41;Jousitus ja iskunvaimennus;Sisäinen valvontajärjestelmä (OBD);Etuakselisto
Saab;9-5;11.89;Sisäinen valvontajärjestelmä (OBD);Taka-akselisto;Jousitus ja iskunvaimennus
Kia;RIO;12.33;Käyttöjarrun dynamometritesti;Sisäinen valvontajärjestelmä (OBD);Etuakselisto
Honda;FR-V;12.39;Sisäinen valvontajärjestelmä (OBD);Renkaat ja vanteet;Käyttöjarru
Volkswagen;CADDY;12.56;Käyttöjarru;Jousitus ja iskunvaimennus;Dieselmoottorin pakokaasumittaus
Volkswagen;PASSAT;12.6;Etuakselisto;Sisäinen valvontajärjestelmä (OBD);Käyttöjarru
Opel;MERIVA;12.8;Ohjausnivelet ja -tangot;Jousitus ja iskunvaimennus;Käyttöjarru
Kia;PICANTO;12.96;Käyttöjarru;Seisontajarrun dynamometritesti;Käyttöjarrun dynamometritesti
Mazda;6;13.03;Käyttöjarru;Käyttöjarrun dynamometritesti;Etuakselisto
