Merkki,Malli,Hylkäys %,Yleisin hylkäyssyy,Toiseksi yleisin hylkäyssyy
Kaikki yhteensä,"","30,09","",""
"","","","",""
Toyota,COROLLA,"8,56",Jousitus ja iskunvaimennus,Renkaat ja vanteet
Mercedes-Benz,SLK,"10,22","",""
Honda,HR-V,"11,18",Ohjausnivelet ja -tangot,Jousitus ja iskunvaimennus
Toyota,AVENSIS,"11,63",Jousitus ja iskunvaimennus,Käyttöjarrun dynamometritesti
Subaru,LEGACY,"11,72",Bensiinimoottorin pakokaasumittaus,Jousitus ja iskunvaimennus
Honda,CIVIC,"12,97",Bensiinimoottorin pakokaasumittaus,Etuakselisto
Toyota,YARIS,"13,50",Käyttöjarru,Bensiinimoottorin pakokaasumittaus
Subaru,IMPREZA,"14,29",Bensiinimoottorin pakokaasumittaus,Jousitus ja iskunvaimennus
Mitsubishi,COLT,"14,71","",""
Toyota,CELICA,"14,86",Bensiinimoottorin pakokaasumittaus,Seisontajarrun dynamometritesti
Mercedes-Benz,CLK,"15,59",Etuakselisto,Käyttöjarru
Saab,9-5,"17,11",Taka-akselisto,Seisontajarrun dynamometritesti
Toyota,LAND CRUISER,"18,10","",""
Nissan,MICRA,"18,98",Käyttöjarrun dynamometritesti,Seisontajarrun dynamometritesti
Toyota,RAV4,"19,08",Käyttöjarru,Bensiinimoottorin pakokaasumittaus
Mitsubishi,CARISMA,"20,32",Käyttöjarrun dynamometritesti,Bensiinimoottorin pakokaasumittaus
Honda,ACCORD,"20,94",Etuakselisto,Käyttöjarru
Honda,CR-V,"20,97",Etuakselisto,Bensiinimoottorin pakokaasumittaus
Chrysler,300,"21,43","",""
Mitsubishi,PAJERO,"21,74",Etuakselisto,Ohjausnivelet ja -tangot
Volkswagen,NEW BEETLE,"21,83",Käyttöjarru,Ohjausnivelet ja -tangot
Jaguar,S-TYPE,"22,10",Etuakselisto,Taka-akselisto
Chevrolet,ALERO,"22,90","",""
Nissan,TERRANO II,"22,90",Alustan kotelot ja pohjalevy,Etuakselisto
Saab,9-3,"22,96",Seisontajarrun dynamometritesti,Etuakselisto
Opel,AGILA,"23,16",Etuakselisto,Seisontajarrun dynamometritesti
Audi,TT,"23,21",Ohjausnivelet ja -tangot,Käyttöjarru
Nissan,ALMERA,"23,24",Käyttöjarru,Bensiinimoottorin pakokaasumittaus
Suzuki,SWIFT,"23,70",Käyttöjarrun dynamometritesti,Bensiinimoottorin pakokaasumittaus
