Merkki,Malli,Hylkäys %,Yleisin hylkäyssyy,Toiseksi yleisin hylkäyssyy
Kaikki yhteensä,"","12,51","",""
"","","","",""
Lexus,IS250,",80","",""
Suzuki,GRAND VITARA,"2,89","",""
Peugeot,107,"3,07","",""
Citroen,C1,"3,62","",""
Nissan,ALMERA,"3,68",Käyttöjarru,Sisäinen valvontajärjestelmä (OBD)
Toyota,COROLLA,"3,92",Käyttöjarru,Renkaat ja vanteet
Honda,JAZZ,"3,92","",""
Audi,A6,"4,17",Sisäinen valvontajärjestelmä (OBD),Renkaat ja vanteet
Toyota,YARIS,"4,24",Käyttöjarru,Renkaat ja vanteet
Toyota,LAND CRUISER,"4,52","",""
Suzuki,SWIFT,"4,88","",""
Volkswagen,TOUAREG,"4,90","",""
Honda,CR-V,"5,14",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Audi,Q7,"5,21","",""
Mazda,6,"5,34",Käyttöjarru,Etuakselisto
Toyota,AVENSIS,"5,34",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Hyundai,GETZ,"5,48",Sisäinen valvontajärjestelmä (OBD),Renkaat ja vanteet
Audi,A4,"5,83",Dieselmoottorin pakokaasumittaus,Käyttöjarru
Toyota,AYGO,"5,98",Käyttöjarru,Renkaat ja vanteet
Volkswagen,GOLF,"6,11",Sisäinen valvontajärjestelmä (OBD),Dieselmoottorin pakokaasumittaus
Subaru,LEGACY,"6,25","",""
Suzuki,LIANA,"6,31","",""
Subaru,FORESTER,"6,46",Jousitus ja iskunvaimennus,Sisäinen valvontajärjestelmä (OBD)
Honda,ACCORD,"6,50",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Saab,9-5,"6,56",Taka-akselisto,Käyttöjarru
Honda,CIVIC,"6,66",Käyttöjarru,Jousitus ja iskunvaimennus
Mitsubishi,COLT,"6,98",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Volvo,S40,"6,98",Jousitus ja iskunvaimennus,Sisäinen valvontajärjestelmä (OBD)
Volkswagen,POLO,"7,00",Etuakselisto,Renkaat ja vanteet
Subaru,IMPREZA,"7,30","",""
Volkswagen,JETTA,"7,52",Dieselmoottorin pakokaasumittaus,Käyttöjarru
Opel,CORSA,"8,22",Jousitus ja iskunvaimennus,Ohjausnivelet ja -tangot
Audi,A3,"8,37",Dieselmoottorin pakokaasumittaus,Etuakselisto
Mazda,3,"8,50",Etuakselisto,Jousitus ja iskunvaimennus
Mazda,2,"8,53",Jousitus ja iskunvaimennus,Renkaat ja vanteet
Kia,CERATO,"8,70",Käyttöjarru,Sisäinen valvontajärjestelmä (OBD)
Mitsubishi,LANCER,"9,01",Sisäinen valvontajärjestelmä (OBD),Ohjausnivelet ja -tangot
Honda,FR-V,"9,28","",""
Toyota,RAV4,"9,43",Jousitus ja iskunvaimennus,Käyttöjarru
Smart,FORFOUR,"9,91",Käyttöjarru,Sisäinen valvontajärjestelmä (OBD)
Ford,MONDEO,"9,91",Käyttöjarru,Jousitus ja iskunvaimennus
Mini,COOPER/ ONE,"10,06",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Nissan,MICRA,"10,06",Etuakselisto,Ohjausnivelet ja -tangot
Chevrolet,EPICA,"10,19","",""
Skoda,SUPERB,"10,29","",""
Opel,MERIVA,"10,40","",""
Suzuki,SX4,"10,48",Jousitus ja iskunvaimennus,Sisäinen valvontajärjestelmä (OBD)
Seat,LEON,"10,67",Dieselmoottorin pakokaasumittaus,Sisäinen valvontajärjestelmä (OBD)
Ford,MAVERICK,"10,67",Käyttöjarru,Etuakselisto
Chevrolet,KALOS,"10,87",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Ford,FIESTA,"10,92",Jousitus ja iskunvaimennus,Seisontajarrun dynamometritesti
Kia,RIO,"10,96",Käyttöjarru,Renkaat ja vanteet
Ford,FOCUS C-MAX,"10,99",Jousitus ja iskunvaimennus,Renkaat ja vanteet
Ford,KA,"11,11",Etuakselisto,Käyttöjarru
BMW,1,"11,20",Sisäinen valvontajärjestelmä (OBD),Ohjausnivelet ja -tangot
Skoda,OCTAVIA,"11,23",Etuakselisto,Dieselmoottorin pakokaasumittaus
Skoda,FABIA,"11,33",Etuakselisto,Käyttöjarrun dynamometritesti
Kia,MAGENTIS,"11,42",Etuakselisto,Käyttöjarru
