Merkki;Malli;Hylkäys %;Yleisin hylkäyssyy;Toiseksi yleisin hylkäyssyy;Kolmanneksi yleisin hylkäyssyy
Ford;TRANSIT;9.17;;;
Citroen;DS3;9.95;;;
Dacia;SANDERO;11.61;;;
Alfa Romeo;159;11.71;;;
Kia;SORENTO;12.21;Seisontajarrun dynamometritesti;Jousitus ja iskunvaimennus;Renkaat ja vanteet
Fiat;500;12.24;Etuakselisto;Jousitus ja iskunvaimennus;Renkaat ja vanteet
Peugeot;3008;12.46;Valmistajan kilpi;Etuakselisto;Käyttöjarru
Mazda;5;12.5;Jousitus ja iskunvaimennus;Renkaat ja vanteet;Valmistajan kilpi
Fiat;PANDA;13.28;;;
Citroen;C5;14.7;Ohjausnivelet ja -tangot;Jousitus ja iskunvaimennus;Sisäinen valvontajärjestelmä (OBD)
Volkswagen;KOMBI;15.11;Ohjausnivelet ja -tangot;Jousitus ja iskunvaimennus;Käyttöjarru
Ford;KA;15.76;Etuakselisto;Sisäinen valvontajärjestelmä (OBD);Käyttöjarrun dynamometritesti
Dacia;LOGAN;16.34;Ohjausnivelet ja -tangot;Renkaat ja vanteet;Sisäinen valvontajärjestelmä (OBD)
Dodge;JOURNEY;20.35;Ohjausnivelet ja -tangot;Käyttöjarru;Seisontajarrun dynamometritesti
