Merkki,Malli,Hylkäys %,Yleisin hylkäyssyy,Toiseksi yleisin hylkäyssyy
Kaikki yhteensä,"","20,13","",""
"","","","",""
Honda,HR-V,"5,61",Sisäinen valvontajärjestelmä (OBD),Bensiinimoottorin pakokaasumittaus
Honda,JAZZ,"5,83",Käyttöjarru,Renkaat ja vanteet
Toyota,LAND CRUISER,"5,97","",""
Toyota,COROLLA,"6,55",Käyttöjarru,Sisäinen valvontajärjestelmä (OBD)
Ford,FIESTA,"6,77",Jousitus ja iskunvaimennus,Käyttöjarrun dynamometritesti
Hyundai,GETZ,"6,80",Sisäinen valvontajärjestelmä (OBD),Bensiinimoottorin pakokaasumittaus
Hyundai,ACCENT,"7,08","",""
Toyota,RAV4,"7,66","",""
Toyota,AVENSIS,"8,25",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Toyota,CAMRY,"8,85","",""
BMW,Z4,"8,85","",""
Toyota,RAV4,"9,03",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Toyota,YARIS,"9,96",Käyttöjarru,Käyttöjarrun dynamometritesti
Volkswagen,BORA,"9,97",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Suzuki,LIANA,"10,65","",""
Subaru,IMPREZA,"10,67","",""
Mazda,6,"10,74",Käyttöjarrun dynamometritesti,Käyttöjarru
Nissan,MAXIMA QX,"10,99",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Nissan,ALMERA,"11,00",Käyttöjarru,Etuakselisto
Mitsubishi,CARISMA,"11,06","",""
Volkswagen,GOLF,"11,38",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Ford,FUSION,"11,81",Jousitus ja iskunvaimennus,Sisäinen valvontajärjestelmä (OBD)
Subaru,LEGACY,"12,59","",""
Honda,CIVIC,"12,90",Jousitus ja iskunvaimennus,Sisäinen valvontajärjestelmä (OBD)
Ford,FOCUS,"13,37",Ohjausnivelet ja -tangot,Käyttöjarru
Audi,A3,"13,47",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Skoda,OCTAVIA,"13,79",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Mazda,2,"13,86",Seisontajarrun dynamometritesti,Käyttöjarru
Seat,LEON,"14,82",Käyttöjarru,Sisäinen valvontajärjestelmä (OBD)
Jaguar,S-TYPE,"14,91","",""
Seat,TOLEDO,"15,07",Käyttöjarru,Seisontajarrun dynamometritesti
Mitsubishi,SPACE STAR,"15,52","",""
Nissan,MICRA,"15,66",Etuakselisto,Ohjausnivelet ja -tangot
Hyundai,SONATA,"15,77",Käyttöjarru,Etuakselisto
Ford,TOURNEO,"16,36",Seisontajarrun dynamometritesti,Lähivalo
Honda,ACCORD,"16,65",Etuakselisto,Käyttöjarru
Jeep,CHEROKEE,"17,01",Käyttöjarru,Seisontajarrun dynamometritesti
Ford,KA,"17,28",Jousitus ja iskunvaimennus,Sisäinen valvontajärjestelmä (OBD)
Honda,CR-V,"17,50",Sisäinen valvontajärjestelmä (OBD),Jousitus ja iskunvaimennus
Land Rover,FREELANDER,"17,55",Ohjausnivelet ja -tangot,Sisäinen valvontajärjestelmä (OBD)
Opel,ASTRA,"17,64",Ohjausnivelet ja -tangot,Jousitus ja iskunvaimennus
Mini,COOPER/ ONE,"17,82",Etuakselisto,Seisontajarrun dynamometritesti
Smart,FORTWO,"17,83","",""
Mercedes-Benz,E,"18,36",Etuakselisto,Ohjausnivelet ja -tangot
Volvo,S40,"18,37",Käyttöjarru,Jousitus ja iskunvaimennus
Ford,FOCUS C-MAX,"18,75",Ohjausnivelet ja -tangot,Jousitus ja iskunvaimennus
Mazda,3,"19,05",Etuakselisto,Seisontajarrun dynamometritesti
Fiat,PUNTO,"19,42",Sisäinen valvontajärjestelmä (OBD),Ohjausnivelet ja -tangot
Mitsubishi,PAJERO,"19,47",Etuakselisto,Ohjausnivelet ja -tangot
Peugeot,206,"19,67",Etuakselisto,Sisäinen valvontajärjestelmä (OBD)
Citroen,XSARA,"19,71",Ohjausnivelet ja -tangot,Käyttöjarru
Opel,MERIVA,"20,08",Ohjausnivelet ja -tangot,Käyttöjarru
Audi,A4,"20,32",Käyttöjarru,Etuakselisto
Daewoo,KALOS,"20,71",Etuakselisto,Käyttöjarrun dynamometritesti
Opel,OMEGA,"20,71",Ohjausnivelet ja -tangot,Sisäinen valvontajärjestelmä (OBD)
Audi,A6,"20,75",Käyttöjarru,Etuakselisto
Saab,9-5,"20,90",Taka-akselisto,Sisäinen valvontajärjestelmä (OBD)
Hyundai,SANTA FE,"20,97",Etuakselisto,Sisäinen valvontajärjestelmä (OBD)
Mercedes-Benz,A,"20,99",Jousitus ja iskunvaimennus,Taka-akselisto
Daewoo,MATIZ,"21,19",Etuakselisto,Sisäinen valvontajärjestelmä (OBD)
Volkswagen,POLO,"21,45",Sisäinen valvontajärjestelmä (OBD),Etuakselisto
Skoda,FABIA,"21,69",Etuakselisto,Sisäinen valvontajärjestelmä (OBD)
Honda,STREAM,"22,10",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
BMW,X5,"22,30",Taka-akselisto,Etuakselisto
Volvo,V40,"22,36",Jousitus ja iskunvaimennus,Käyttöjarru
