Merkki,Malli,Hylkäys %,Yleisin hylkäyssyy,Toiseksi yleisin hylkäyssyy
Kaikki yhteensä,"","22,06","",""
"","","","",""
Honda,HR-V,"5,40","",""
Toyota,LAND CRUISER,"5,46","",""
Honda,JAZZ,"5,57",Käyttöjarru,Sisäinen valvontajärjestelmä (OBD)
Toyota,CAMRY,"5,83","",""
Hyundai,GETZ,"7,90",Käyttöjarrun dynamometritesti,Sisäinen valvontajärjestelmä (OBD)
Toyota,COROLLA,"7,95",Käyttöjarru,Käyttöjarrun dynamometritesti
Toyota,AVENSIS,"9,00",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Toyota,RAV4,"9,23",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Ford,FIESTA,"9,67",Jousitus ja iskunvaimennus,Renkaat ja vanteet
Toyota,YARIS,"10,10",Käyttöjarru,Käyttöjarrun dynamometritesti
Ford,FUSION,"10,53",Jousitus ja iskunvaimennus,Sisäinen valvontajärjestelmä (OBD)
Volkswagen,BORA,"11,45",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Subaru,LEGACY,"11,54","",""
Mitsubishi,SPACE STAR,"12,07","",""
Subaru,IMPREZA,"12,50","",""
Seat,TOLEDO,"12,62","",""
Nissan,ALMERA,"12,66",Käyttöjarru,Etuakselisto
Audi,A2,"13,00","",""
Land Rover,FREELANDER,"13,74",Ohjausnivelet ja -tangot,Sisäinen valvontajärjestelmä (OBD)
Honda,CIVIC,"13,91",Jousitus ja iskunvaimennus,Sisäinen valvontajärjestelmä (OBD)
Volkswagen,GOLF,"13,99",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Audi,A3,"14,00",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Honda,CR-V,"14,17",Sisäinen valvontajärjestelmä (OBD),Jousitus ja iskunvaimennus
Ford,FOCUS,"14,19",Ohjausnivelet ja -tangot,Käyttöjarru
BMW,Z4,"14,60","",""
Mazda,6,"15,21",Käyttöjarrun dynamometritesti,Käyttöjarru
Nissan,MAXIMA QX,"15,47",Etuakselisto,Käyttöjarru
Smart,FORTWO,"16,22","",""
Seat,LEON,"16,33",Käyttöjarru,Jousitus ja iskunvaimennus
Suzuki,LIANA,"16,57",Jousitus ja iskunvaimennus,Etuakselisto
Skoda,OCTAVIA,"16,82",Käyttöjarru,Sisäinen valvontajärjestelmä (OBD)
Mazda,3,"17,29",Etuakselisto,Jousitus ja iskunvaimennus
Jaguar,S-TYPE,"17,36","",""
Mazda,2,"17,43",Seisontajarrun dynamometritesti,Käyttöjarru
Hyundai,ACCENT,"17,43","",""
Mitsubishi,CARISMA,"19,14",Käyttöjarru,Seisontajarrun dynamometritesti
Audi,A4,"19,44",Käyttöjarru,Etuakselisto
Volkswagen,TOUAREG,"19,44","",""
Nissan,MICRA,"19,57",Etuakselisto,Ohjausnivelet ja -tangot
Opel,ASTRA,"19,78",Ohjausnivelet ja -tangot,Jousitus ja iskunvaimennus
Hyundai,SONATA,"20,19",Käyttöjarru,Etuakselisto
Volvo,S40,"20,38",Käyttöjarru,Sisäinen valvontajärjestelmä (OBD)
Saab,9-5,"21,10",Sisäinen valvontajärjestelmä (OBD),Taka-akselisto
Mitsubishi,PAJERO,"21,31",Etuakselisto,Ohjausnivelet ja -tangot
Jeep,CHEROKEE,"21,53",Seisontajarrun dynamometritesti,Ohjausnivelet ja -tangot
Ford,KA,"21,58",Jousitus ja iskunvaimennus,Etuakselisto
Honda,STREAM,"21,64",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
