Merkki,Malli,Hylkäys %,Yleisin hylkäyssyy,Toiseksi yleisin hylkäyssyy
Kaikki yhteensä,"","22,67","",""
"","","","",""
Honda,HR-V,"7,59","",""
Toyota,COROLLA,"8,35",Käyttöjarru,Käyttöjarrun dynamometritesti
Ford,FIESTA,"8,64",Jousitus ja iskunvaimennus,Sisäinen valvontajärjestelmä (OBD)
Toyota,RAV4,"9,16",Käyttöjarru,Sisäinen valvontajärjestelmä (OBD)
Mazda,2,"9,17","",""
Subaru,FORESTER,"9,33","",""
Subaru,LEGACY,"9,46","",""
Toyota,YARIS,"9,76",Käyttöjarru,Käyttöjarrun dynamometritesti
Toyota,CAMRY,"9,77","",""
Suzuki,LIANA,"9,77","",""
Toyota,AVENSIS,"9,99",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Subaru,IMPREZA,"10,00","",""
Hyundai,GETZ,"10,48",Sisäinen valvontajärjestelmä (OBD),Renkaat ja vanteet
Ford,FUSION,"10,74","",""
Suzuki,GRAND VITARA,"11,05","",""
Toyota,LAND CRUISER,"12,02",Seisontajarrun dynamometritesti,Käyttöjarrun dynamometritesti
Suzuki,IGNIS,"12,07","",""
Honda,CIVIC,"12,24",Käyttöjarru,Jousitus ja iskunvaimennus
Smart,FORFOUR,"12,28","",""
Toyota,HIACE,"12,38","",""
Volkswagen,BORA,"13,62",Käyttöjarru,Seisontajarrun dynamometritesti
Mazda,RX-8,"13,86","",""
Honda,JAZZ,"14,05",Käyttöjarru,Asiapaperit
Honda,CR-V,"14,22",Sisäinen valvontajärjestelmä (OBD),Asiapaperit
BMW,X3,"14,38",Jousitus ja iskunvaimennus,Käyttöjarru
Honda,STREAM,"15,29",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Nissan,ALMERA,"15,44",Seisontajarrun dynamometritesti,Käyttöjarru
Audi,A4,"15,51",Käyttöjarru,Etuakselisto
Mazda,6,"16,54",Käyttöjarrun dynamometritesti,Käyttöjarru
Land Rover,FREELANDER,"16,81",Ohjausnivelet ja -tangot,Sisäinen valvontajärjestelmä (OBD)
Mitsubishi,COLT,"16,81","",""
Saab,9-5,"17,87",Taka-akselisto,Sisäinen valvontajärjestelmä (OBD)
Volkswagen,GOLF,"17,90",Käyttöjarru,Sisäinen valvontajärjestelmä (OBD)
Ford,FOCUS,"18,34",Ohjausnivelet ja -tangot,Seisontajarrun dynamometritesti
Mercedes-Benz,SLK,"18,35",Etuakselisto,Jousitus ja iskunvaimennus
Jaguar,S-TYPE,"18,38",Taka-akselisto,Käyttöjarru
Renault,TWINGO,"19,60",Ohjausnivelet ja -tangot,Jousitus ja iskunvaimennus
Audi,A6,"19,79",Etuakselisto,Käyttöjarru
Nissan,MAXIMA QX,"19,82",Etuakselisto,Käyttöjarru
Audi,A3,"19,87",Käyttöjarru,Sisäinen valvontajärjestelmä (OBD)
Peugeot,PARTNER,"20,00",Etuakselisto,Ohjausnivelet ja -tangot
Nissan,MICRA,"20,23",Ohjausnivelet ja -tangot,Etuakselisto
Volkswagen,PASSAT,"20,52",Etuakselisto,Käyttöjarru
Volkswagen,CADDY,"20,86",Käyttöjarru,Jousitus ja iskunvaimennus
Citroen,C2,"20,87",Etuakselisto,Jousitus ja iskunvaimennus
Skoda,SUPERB,"21,24",Etuakselisto,Renkaat ja vanteet
Opel,CORSA,"21,27",Jousitus ja iskunvaimennus,Ohjausnivelet ja -tangot
Hyundai,SONATA,"21,33",Käyttöjarru,Etuakselisto
