Merkki,Malli,Hylkäys %,Yleisin hylkäyssyy,Toiseksi yleisin hylkäyssyy
Kaikki yhteensä,"","27,14","",""
"","","","",""
Toyota,COROLLA,"8,65",Sisäinen valvontajärjestelmä (OBD),Jousitus ja iskunvaimennus
Toyota,AVENSIS,"8,93",Käyttöjarru,Seisontajarrun dynamometritesti
Honda,HR-V,"9,64","",""
Toyota,RAV4,"11,18","",""
Toyota,YARIS,"11,88",Käyttöjarru,Sisäinen valvontajärjestelmä (OBD)
Mitsubishi,PAJERO,"14,07",Etuakselisto,Käyttöjarru
Mercedes-Benz,CLK,"14,29","",""
Honda,CR-V,"14,65","",""
Nissan,ALMERA,"15,81",Käyttöjarru,Sisäinen valvontajärjestelmä (OBD)
Honda,CIVIC,"16,15",Jousitus ja iskunvaimennus,Sisäinen valvontajärjestelmä (OBD)
Ford,FIESTA,"16,81",Jousitus ja iskunvaimennus,Taka-akselisto
Opel,AGILA,"17,17",Käyttöjarru,Käyttöjarrun dynamometritesti
Nissan,TERRANO II,"17,82","",""
Jaguar,S-TYPE,"18,64","",""
Honda,ACCORD,"18,80",Käyttöjarru,Etuakselisto
Nissan,MICRA,"18,98",Käyttöjarrun dynamometritesti,Sisäinen valvontajärjestelmä (OBD)
Mazda,2,"19,66",Käyttöjarru,Seisontajarrun dynamometritesti
Audi,A2,"19,81","",""
Saab,9-5,"20,17",Taka-akselisto,Sisäinen valvontajärjestelmä (OBD)
Mitsubishi,CARISMA,"20,47",Bensiinimoottorin pakokaasumittaus,Seisontajarrun dynamometritesti
Ford,FOCUS,"20,98",Seisontajarrun dynamometritesti,Ohjausnivelet ja -tangot
Saab,9-3,"21,14",Etuakselisto,Seisontajarrun dynamometritesti
Volkswagen,GOLF,"21,44",Käyttöjarru,Etuakselisto
Jeep,CHEROKEE,"21,81",Etuakselisto,Seisontajarrun dynamometritesti
Audi,TT,"22,22","",""
Ford,KA,"22,82",Alustan kotelot ja pohjalevy,Jousitus ja iskunvaimennus
Suzuki,WAGON R,"23,21","",""
Nissan,PRIMERA,"23,30",Etuakselisto,Seisontajarrun dynamometritesti
Audi,A3,"23,33",Käyttöjarru,Taka-akselisto
Nissan,MAXIMA QX,"23,45",Sisäinen valvontajärjestelmä (OBD),Etuakselisto
Renault,TWINGO,"23,75",Käyttöjarru,Käyttöjarrun dynamometritesti
Opel,ASTRA,"24,46",Ohjausnivelet ja -tangot,Jousitus ja iskunvaimennus
Volkswagen,BORA,"24,52",Käyttöjarru,Sisäinen valvontajärjestelmä (OBD)
Mercedes-Benz,A,"24,95",Jousitus ja iskunvaimennus,Sisäinen valvontajärjestelmä (OBD)
Volkswagen,CARAVELLE,"25,00",Etuakselisto,Ohjausnivelet ja -tangot
Opel,CORSA,"25,05",Jousitus ja iskunvaimennus,Sisäinen valvontajärjestelmä (OBD)
Skoda,OCTAVIA,"25,10",Käyttöjarru,Etuakselisto
Fiat,PUNTO,"25,34",Sisäinen valvontajärjestelmä (OBD),Ohjausnivelet ja -tangot
Lada-Vaz,SAMARA,"25,77",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Renault,CLIO,"27,50",Etuakselisto,Jousitus ja iskunvaimennus
Peugeot,306,"27,51",Ohjausnivelet ja -tangot,Seisontajarrun dynamometritesti
Land Rover,FREELANDER,"27,63",Sisäinen valvontajärjestelmä (OBD),Ohjausnivelet ja -tangot
Audi,A4,"27,70",Käyttöjarru,Sisäinen valvontajärjestelmä (OBD)
BMW,X5,"27,91",Sisäinen valvontajärjestelmä (OBD),Etuakselisto
Lada-Vaz,111,"28,00",Sisäinen valvontajärjestelmä (OBD),Käyttöjarrun dynamometritesti
Chrysler,SEBRING,"28,32",Ohjausnivelet ja -tangot,Taka-akselisto
Opel,OMEGA,"28,60",Ohjausnivelet ja -tangot,Sisäinen valvontajärjestelmä (OBD)
Volvo,S40,"28,69",Sisäinen valvontajärjestelmä (OBD),Jousitus ja iskunvaimennus
Ford,GALAXY,"28,72",Seisontajarrun dynamometritesti,Ohjausnivelet ja -tangot
