Merkki,Malli,Hylkäys %,Yleisin hylkäyssyy,Toiseksi yleisin hylkäyssyy
Kaikki yhteensä,"","28,89","",""
"","","","",""
Toyota,CAMRY,"9,34",Käyttöjarru,Sisäinen valvontajärjestelmä (OBD)
Honda,HR-V,"9,90","",""
Toyota,COROLLA,"13,48",Käyttöjarru,Käyttöjarrun dynamometritesti
Toyota,AVENSIS,"13,87",Seisontajarrun dynamometritesti,Käyttöjarru
Ford,FIESTA,"14,48",Jousitus ja iskunvaimennus,Seisontajarrun dynamometritesti
Toyota,RAV4,"15,33",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Jeep,CHEROKEE,"17,46",Seisontajarrun dynamometritesti,Ohjausnivelet ja -tangot
Nissan,ALMERA,"18,43",Käyttöjarru,Seisontajarrun dynamometritesti
Toyota,YARIS,"18,44",Käyttöjarru,Jousitus ja iskunvaimennus
Jaguar,S-TYPE,"19,31","",""
Volkswagen,BORA,"20,36",Käyttöjarru,Sisäinen valvontajärjestelmä (OBD)
Nissan,MICRA,"20,65",Käyttöjarrun dynamometritesti,Etuakselisto
Audi,TT,"21,17","",""
Volkswagen,GOLF,"21,70",Käyttöjarru,Sisäinen valvontajärjestelmä (OBD)
Mitsubishi,PAJERO,"22,31",Etuakselisto,Käyttöjarru
Honda,CIVIC,"22,40",Käyttöjarru,Jousitus ja iskunvaimennus
Land Rover,FREELANDER,"22,93",Ohjausnivelet ja -tangot,Sisäinen valvontajärjestelmä (OBD)
Honda,CR-V,"23,18",Sisäinen valvontajärjestelmä (OBD),Jousitus ja iskunvaimennus
Lada-Vaz,SAMARA,"23,75",Sisäinen valvontajärjestelmä (OBD),Käyttöjarrun dynamometritesti
Opel,AGILA,"23,85","",""
Volvo,C70,"23,88",Etuakselisto,Seisontajarrun dynamometritesti
Opel,ASTRA,"24,29",Jousitus ja iskunvaimennus,Ohjausnivelet ja -tangot
Suzuki,LIANA,"24,32",Etuakselisto,Sisäinen valvontajärjestelmä (OBD)
Saab,9-5,"24,37",Taka-akselisto,Sisäinen valvontajärjestelmä (OBD)
Opel,CORSA,"24,49",Jousitus ja iskunvaimennus,Ohjausnivelet ja -tangot
Audi,A4,"25,36",Etuakselisto,Käyttöjarru
Audi,A3,"25,41",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Skoda,OCTAVIA,"26,14",Käyttöjarru,Sisäinen valvontajärjestelmä (OBD)
Mazda,2,"26,81",Alustan kotelot ja pohjalevy,Käyttöjarru
Saab,9-3,"27,10",Etuakselisto,Seisontajarrun dynamometritesti
Ford,FOCUS,"27,10",Seisontajarrun dynamometritesti,Käyttöjarru
Mazda,6,"27,29",Käyttöjarrun dynamometritesti,Käyttöjarru
Hyundai,SONATA,"27,33",Käyttöjarru,Akseliston kiinnityspalkit
Seat,IBIZA,"27,34",Etuakselisto,Sisäinen valvontajärjestelmä (OBD)
Nissan,MAXIMA QX,"27,60",Etuakselisto,Käyttöjarrun dynamometritesti
Honda,STREAM,"28,03",Sisäinen valvontajärjestelmä (OBD),Käyttöjarrun dynamometritesti
Volvo,S40,"28,07",Käyttöjarru,Seisontajarrun dynamometritesti
Honda,ACCORD,"28,31",Seisontajarrun dynamometritesti,Etuakselisto
Mercedes-Benz,CLK,"28,31",Etuakselisto,Jousitus ja iskunvaimennus
Audi,A6,"29,12",Etuakselisto,Käyttöjarru
Volvo,S60,"29,59",Etuakselisto,Käyttöjarru
Volvo,S80,"30,53",Etuakselisto,Käyttöjarru
Mercedes-Benz,A,"30,54",Jousitus ja iskunvaimennus,Käyttöjarru
Seat,LEON,"30,68",Sisäinen valvontajärjestelmä (OBD),Jousitus ja iskunvaimennus
Volkswagen,POLO,"30,87",Käyttöjarru,Sisäinen valvontajärjestelmä (OBD)
BMW,5,"30,89",Sisäinen valvontajärjestelmä (OBD),Seisontajarrun dynamometritesti
Renault,CLIO,"31,12",Etuakselisto,Jousitus ja iskunvaimennus
Lada-Vaz,112,"31,37",Sisäinen valvontajärjestelmä (OBD),Käyttöjarrun dynamometritesti
Seat,CORDOBA,"31,38",Etuakselisto,Käyttöjarrun dynamometritesti
Renault,MEGANE,"31,45",Etuakselisto,Sisäinen valvontajärjestelmä (OBD)
Mitsubishi,CARISMA,"31,54",Käyttöjarru,Seisontajarrun dynamometritesti
Mini,COOPER/ ONE,"31,67",Etuakselisto,Seisontajarrun dynamometritesti
