Merkki,Malli,Hylkäys %,Yleisin hylkäyssyy,Toiseksi yleisin hylkäyssyy
Ford,ESCORT,"35,09",Etuakselisto,Jousitus ja iskunvaimennus
BMW,1,"35,11",Käyttöjarru,Jousitus ja iskunvaimennus
Mercedes-Benz,C,"35,32",Käyttöjarru,Etuakselisto
Rover,75,"35,62",Etuakselisto,Ohjausnivelet ja -tangot
Seat,CORDOBA,"36,33",Etuakselisto,Käyttöjarrun dynamometritesti
Citroen,BERLINGO,"36,34",Etuakselisto,Ohjausnivelet ja -tangot
Volvo,S60,"36,38",Etuakselisto,Käyttöjarru
Peugeot,PARTNER,"36,63",Etuakselisto,Bensiinimoottorin pakokaasumittaus
Audi,A6,"37,34",Etuakselisto,Käyttöjarru
Opel,ZAFIRA,"38,33",Jousitus ja iskunvaimennus,Ohjausnivelet ja -tangot
Audi,A4,"38,39",Käyttöjarru,Etuakselisto
Volkswagen,PASSAT,"39,11",Etuakselisto,Käyttöjarru
Citroen,XSARA PICASSO,"39,15",Etuakselisto,Ohjausnivelet ja -tangot
Fiat,BRAVO,"39,25",Bensiinimoottorin pakokaasumittaus,Etuakselisto
Chrysler,VOYAGER,"39,36",Seisontajarrun dynamometritesti,Ohjausnivelet ja -tangot
Mercedes-Benz,M,"39,46",Ohjausnivelet ja -tangot,Etuakselisto
Fiat,BRAVA,"39,68",Bensiinimoottorin pakokaasumittaus,Ohjausnivelet ja -tangot
Fiat,MAREA,"40,55",Etuakselisto,Alustan kotelot ja pohjalevy
Peugeot,406,"41,56",Taka-akselisto,Ohjausnivelet ja -tangot
Chevrolet,TRANSSPORT,"42,00","",""
Renault,LAGUNA,"42,87",Etuakselisto,Ohjausnivelet ja -tangot
Ford,MONDEO,"44,71",Etuakselisto,Käyttöjarru
Lada-Vaz,111,"44,88",Alustan kotelot ja pohjalevy,Bensiinimoottorin pakokaasumittaus
Renault,KANGOO,"47,55",Etuakselisto,Ohjausnivelet ja -tangot
Alfa Romeo,156,"48,22",Etuakselisto,Bensiinimoottorin pakokaasumittaus
