Merkki,Malli,Hylkäys %,Yleisin hylkäyssyy,Toiseksi yleisin hylkäyssyy
Kaikki yhteensä,"","11,06","",""
"","","","",""
Subaru,LEGACY,"2,32","",""
Toyota,LAND CRUISER,"2,61","",""
Suzuki,GRAND VITARA,"2,79","",""
Honda,JAZZ,"3,13","",""
Suzuki,LIANA,"3,13","",""
Audi,A6,"3,29",Renkaat ja vanteet,Sisäinen valvontajärjestelmä (OBD)
Nissan,ALMERA,"3,53",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Peugeot,107,"3,54","",""
Toyota,COROLLA,"3,80","",""
Honda,CR-V,"3,99",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Toyota,YARIS,"3,99","",""
Citroen,C1,"4,15","",""
Subaru,IMPREZA,"4,31","",""
Mazda,6,"4,43",Etuakselisto,Käyttöjarrun dynamometritesti
Honda,CR-V,"4,78",Käyttöjarru,Renkaat ja vanteet
Toyota,AYGO,"4,79",Renkaat ja vanteet,Käyttöjarru
Hyundai,GETZ,"4,81",Sisäinen valvontajärjestelmä (OBD),Renkaat ja vanteet
Volkswagen,GOLF,"4,87",Dieselmoottorin pakokaasumittaus,Sisäinen valvontajärjestelmä (OBD)
Lexus,IS250,"4,92","",""
Suzuki,SWIFT,"5,06","",""
Honda,ACCORD,"5,16",Käyttöjarru,Sisäinen valvontajärjestelmä (OBD)
Volvo,S40,"5,25",Jousitus ja iskunvaimennus,Renkaat ja vanteet
Audi,A4,"5,57",Dieselmoottorin pakokaasumittaus,Renkaat ja vanteet
Suzuki,SX4,"5,61","",""
Mazda,3,"5,77",Jousitus ja iskunvaimennus,Renkaat ja vanteet
Volkswagen,JETTA,"5,77",Dieselmoottorin pakokaasumittaus,Sisäinen valvontajärjestelmä (OBD)
Kia,PICANTO,"5,79","",""
Smart,FORFOUR,"5,84","",""
Volkswagen,POLO,"5,89",Renkaat ja vanteet,Seisontajarrun dynamometritesti
Toyota,AVENSIS,"6,18",Sisäinen valvontajärjestelmä (OBD),Jousitus ja iskunvaimennus
Saab,9-5,"6,60",Taka-akselisto,Renkaat ja vanteet
Mitsubishi,LANCER,"6,70",Sisäinen valvontajärjestelmä (OBD),Bensiinimoottorin pakokaasumittaus
Nissan,MICRA,"7,01",Etuakselisto,Ohjausnivelet ja -tangot
Audi,Q7,"7,06","",""
Ford,FOCUS C-MAX,"7,09",Jousitus ja iskunvaimennus,Dieselmoottorin pakokaasumittaus
Seat,LEON,"7,13",Sisäinen valvontajärjestelmä (OBD),Dieselmoottorin pakokaasumittaus
Chevrolet,EPICA,"7,28","",""
Honda,CIVIC,"7,32",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Kia,CERATO,"7,35",Käyttöjarru,Sisäinen valvontajärjestelmä (OBD)
Mitsubishi,COLT,"7,79","",""
Subaru,FORESTER,"7,87",Jousitus ja iskunvaimennus,Sisäinen valvontajärjestelmä (OBD)
Audi,A3,"7,89",Dieselmoottorin pakokaasumittaus,Sisäinen valvontajärjestelmä (OBD)
Opel,MERIVA,"8,06","",""
Volvo,V50,"8,19",Jousitus ja iskunvaimennus,Renkaat ja vanteet
