Merkki,Malli,Hylkäys %,Yleisin hylkäyssyy,Toiseksi yleisin hylkäyssyy
Kaikki yhteensä,"","15,3","",""
"","","","",""
Peugeot,107,"3,6","",""
Mazda,2,"4,0","",""
Toyota,YARIS,"4,8",Käyttöjarru,Jousitus ja iskunvaimennus
Toyota,AURIS,"5,1",Käyttöjarru,Seisontajarrun dynamometritesti
Nissan,ALMERA,"5,6","",""
Toyota,AYGO,"5,8",Käyttöjarru,Renkaat ja vanteet
Ford,FIESTA,"5,8",Jousitus ja iskunvaimennus,Renkaat ja vanteet
Subaru,LEGACY,"5,9",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Mitsubishi,COLT,"6,1","",""
Lexus,IS250,"6,2","",""
Suzuki,GRAND VITARA,"6,2","",""
Suzuki,SWIFT,"6,3","",""
Toyota,COROLLA,"6,3",Käyttöjarru,Renkaat ja vanteet
Subaru,IMPREZA,"6,5",Bensiinimoottorin pakokaasumittaus,Jousitus ja iskunvaimennus
Hyundai,GETZ,"6,6",Sisäinen valvontajärjestelmä (OBD),Käyttöjarrun dynamometritesti
Audi,A5,"6,7","",""
Toyota,AVENSIS,"6,8",Käyttöjarru,Renkaat ja vanteet
Audi,A3,"7,0",Jousitus ja iskunvaimennus,Sisäinen valvontajärjestelmä (OBD)
Volkswagen,TOUAREG,"7,0","",""
Suzuki,LIANA,"7,0","",""
Toyota,PRIUS,"7,8","",""
Volkswagen,GOLF,"7,9",Renkaat ja vanteet,Käyttöjarrun dynamometritesti
Mazda,6,"7,9",Käyttöjarru,Käyttöjarrun dynamometritesti
Audi,A4,"8,0",Käyttöjarru,Renkaat ja vanteet
Toyota,LAND CRUISER,"8,2","",""
Audi,TT,"8,3",Sisäinen valvontajärjestelmä (OBD),Jousitus ja iskunvaimennus
Subaru,FORESTER,"8,4",Sisäinen valvontajärjestelmä (OBD),Jousitus ja iskunvaimennus
Volkswagen,NEW BEETLE,"8,6","",""
Volvo,C30,"8,9",Etuakselisto,Jousitus ja iskunvaimennus
Honda,JAZZ,"8,9",Käyttöjarru,Käyttöjarrun dynamometritesti
Audi,A6,"8,9",Jousitus ja iskunvaimennus,Sisäinen valvontajärjestelmä (OBD)
Dodge,AVENGER,"10,0","",""
Seat,LEON,"10,0",Sisäinen valvontajärjestelmä (OBD),Jousitus ja iskunvaimennus
Skoda,OCTAVIA,"10,1",Etuakselisto,Jousitus ja iskunvaimennus
Toyota,RAV4,"10,2",Jousitus ja iskunvaimennus,Käyttöjarru
Honda,CIVIC,"10,3",Jousitus ja iskunvaimennus,Käyttöjarru
Volvo,S40,"10,4",Etuakselisto,Jousitus ja iskunvaimennus
Volkswagen,JETTA,"10,7",Jousitus ja iskunvaimennus,Seisontajarrun dynamometritesti
Audi,Q7,"10,9",Etuakselisto,Käyttöjarru
Volkswagen,PASSAT,"11,3",Dieselmoottorin pakokaasumittaus,Jousitus ja iskunvaimennus
Honda,FR-V,"11,4",Käyttöjarru,Seisontajarrun dynamometritesti
Honda,CR-V,"11,8",Jousitus ja iskunvaimennus,Ohjausnivelet ja -tangot
Volkswagen,POLO,"12,1",Etuakselisto,Seisontajarrun dynamometritesti
Mercedes-Benz,G,"12,2","",""
BMW,X3,"12,5",Jousitus ja iskunvaimennus,Etuakselisto
Mitsubishi,LANCER,"12,6",Käyttöjarrun dynamometritesti,Sisäinen valvontajärjestelmä (OBD)
Honda,ACCORD,"12,6",Käyttöjarru,Etuakselisto
Kia,RIO,"13,2",Käyttöjarru,Renkaat ja vanteet
Volkswagen,TOURAN,"13,4",Bensiinimoottorin pakokaasumittaus,Jousitus ja iskunvaimennus
Mitsubishi,PAJERO,"13,8",Jousitus ja iskunvaimennus,Käyttöjarrun dynamometritesti
Skoda,SUPERB,"13,9","",""
Saab,9-5,"13,9",Taka-akselisto,Sisäinen valvontajärjestelmä (OBD)
Jaguar,S-TYPE,"14,1","",""
Skoda,FABIA,"14,1",Etuakselisto,Seisontajarrun dynamometritesti
Mini,COOPER/ ONE,"14,2",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Toyota,HIACE,"14,2","",""
Volvo,C70,"14,2",Käyttöjarru,Ohjausnivelet ja -tangot
Hyundai,I 30,"14,3","",""
Mercedes-Benz,A,"14,3",Käyttöjarru,Jousitus ja iskunvaimennus
Land Rover,RANGE ROVER,"14,4",Etuakselisto,Jousitus ja iskunvaimennus
BMW,X5,"14,4",Jousitus ja iskunvaimennus,Etuakselisto
Mercedes-Benz,M,"14,5",Käyttöjarru,Jousitus ja iskunvaimennus
Volvo,V50,"14,6",Etuakselisto,Jousitus ja iskunvaimennus
Seat,ALTEA,"14,8",Jousitus ja iskunvaimennus,Renkaat ja vanteet
Volvo,S60,"14,8",Käyttöjarru,Seisontajarrun dynamometritesti
Land Rover,DISCOVERY 3,"14,9","",""
Peugeot,407,"15,5",Etuakselisto,Käyttöjarru
Volvo,S80,"15,5",Seisontajarrun dynamometritesti,Ohjausnivelet ja -tangot
Ford,KA,"15,6",Jousitus ja iskunvaimennus,Etuakselisto
Citroen,C2,"15,9",Etuakselisto,Sisäinen valvontajärjestelmä (OBD)
Volkswagen,CADDY,"15,9",Dieselmoottorin pakokaasumittaus,Renkaat ja vanteet
Ford,FOCUS C-MAX,"15,9",Etuakselisto,Jousitus ja iskunvaimennus
Mitsubishi,OUTLANDER,"15,9",Taka-akselisto,Ohjausnivelet ja -tangot
Hyundai,TUCSON,"15,9",Etuakselisto,Jousitus ja iskunvaimennus
BMW,3,"16,0",Taka-akselisto,Jousitus ja iskunvaimennus
Suzuki,SX4,"16,1",Jousitus ja iskunvaimennus,Sisäinen valvontajärjestelmä (OBD)
Peugeot,206,"16,4",Etuakselisto,Ohjausnivelet ja -tangot
Ford,S-MAX,"16,5",Ohjausnivelet ja -tangot,Jousitus ja iskunvaimennus
Volvo,V70,"16,6",Käyttöjarru,Seisontajarrun dynamometritesti
Kia,CERATO,"16,6",Käyttöjarru,Jousitus ja iskunvaimennus
Chevrolet,AVEO,"16,8",Etuakselisto,Sisäinen valvontajärjestelmä (OBD)
Citroen,XSARA PICASSO,"17,1",Ohjausnivelet ja -tangot,Etuakselisto
Opel,CORSA,"17,4",Jousitus ja iskunvaimennus,Ohjausnivelet ja -tangot
Saab,9-3,"17,5",Jousitus ja iskunvaimennus,Taka-akselisto
Kia,SPORTAGE,"17,7",Etuakselisto,Jousitus ja iskunvaimennus
Nissan,MICRA,"17,9",Ohjausnivelet ja -tangot,Etuakselisto
Ford,GALAXY,"18,0","",""
Citroen,C3,"18,0",Etuakselisto,Jarruvalo
