Merkki;Malli;Hylkäys %;Yleisin hylkäyssyy;Toiseksi yleisin hylkäyssyy;Kolmanneksi yleisin hylkäyssyy
Kaikki yhteensä;;8.39;;;
Ford;FUSION;1.44;;;
Suzuki;SWIFT;1.75;;;
Volvo;XC60;2.3;;;
Volvo;S40;2.59;Renkaat ja vanteet;Etuakselisto;Jousitus ja iskunvaimennus
Mitsubishi;COLT;2.69;;;
Toyota;COROLLA;2.76;;;
Volvo;C30;2.86;;;
Skoda;SUPERB;2.95;;;
Toyota;PRIUS;3.12;;;
Honda;JAZZ;3.18;;;
Toyota;AURIS;3.29;;;
Audi;A5;3.3;;;
Volkswagen;TIGUAN;3.49;;;
Audi;A3;3.66;Renkaat ja vanteet;Käyttöjarru;Sisäinen valvontajärjestelmä (OBD)
Honda;ACCORD;3.77;Sisäinen valvontajärjestelmä (OBD);Renkaat ja vanteet;Käyttöjarru
Opel;MERIVA;3.78;;;
Mitsubishi;LANCER;3.83;Sisäinen valvontajärjestelmä (OBD);Ohjausnivelet ja -tangot;Jousitus ja iskunvaimennus
Audi;A6;3.98;Sisäinen valvontajärjestelmä (OBD);Renkaat ja vanteet;Dieselmoottorin pakokaasumittaus
Audi;A4;4;Etuakselisto;Renkaat ja vanteet;Käyttöjarru
Ford;KUGA;4.07;;;
Subaru;LEGACY;4.3;;;
Volvo;V50;4.33;Etuakselisto;Renkaat ja vanteet;Jousitus ja iskunvaimennus
Toyota;YARIS;4.41;;;
Volkswagen;GOLF;4.59;Dieselmoottorin pakokaasumittaus;Sisäinen valvontajärjestelmä (OBD);Renkaat ja vanteet
Honda;FR-V;4.6;;;
Toyota;AVENSIS;4.64;Dieselmoottorin pakokaasumittaus;Käyttöjarru;Jousitus ja iskunvaimennus
Mazda;3;4.71;Jousitus ja iskunvaimennus;Sisäinen valvontajärjestelmä (OBD);Etuakselisto
Mazda;6;4.93;Etuakselisto;Käyttöjarru;Käyttöjarrun dynamometritesti
Volkswagen;JETTA;5.15;Dieselmoottorin pakokaasumittaus;Renkaat ja vanteet;Etuakselisto
Toyota;LAND CRUISER;5.23;;;
Ford;FIESTA;5.33;Ohjausnivelet ja -tangot;Jousitus ja iskunvaimennus;Renkaat ja vanteet
Volvo;C70;5.35;Ohjausnivelet ja -tangot;Jousitus ja iskunvaimennus;Etuakselisto
Ford;KA;5.42;;;
Saab;9-5;5.45;;;
Honda;CIVIC;5.45;Jousitus ja iskunvaimennus;Sisäinen valvontajärjestelmä (OBD);Käyttöjarru
Volkswagen;POLO;5.52;Etuakselisto;Käyttöjarrun dynamometritesti;Seisontajarrun dynamometritesti
