Merkki,Malli,Hylkäys %,Yleisin hylkäyssyy,Toiseksi yleisin hylkäyssyy
Kaikki yhteensä,"","34,07","",""
"","","","",""
Toyota,COROLLA,"10,53",Jousitus ja iskunvaimennus,Bensiinimoottorin pakokaasumittaus
Subaru,LEGACY,"14,34",Bensiinimoottorin pakokaasumittaus,Jousitus ja iskunvaimennus
Toyota,AVENSIS,"14,45",Käyttöjarrun dynamometritesti,Seisontajarrun dynamometritesti
Mercedes-Benz,SLK,"15,03",Etuakselisto,Renkaat ja vanteet
Toyota,CELICA,"17,26",Bensiinimoottorin pakokaasumittaus,Seisontajarrun dynamometritesti
Honda,HR-V,"18,09",Ohjausnivelet ja -tangot,Bensiinimoottorin pakokaasumittaus
Toyota,RAV4,"18,25",Käyttöjarru,Bensiinimoottorin pakokaasumittaus
Toyota,YARIS,"18,90",Käyttöjarru,Bensiinimoottorin pakokaasumittaus
Honda,CIVIC,"19,10",Bensiinimoottorin pakokaasumittaus,Etuakselisto
Toyota,LAND CRUISER,"19,44","",""
Subaru,IMPREZA,"20,39","",""
Saab,9-5,"21,54",Taka-akselisto,Seisontajarrun dynamometritesti
Mitsubishi,COLT,"21,78","",""
Audi,TT,"21,91",Ohjausnivelet ja -tangot,Etuakselisto
Jaguar,S-TYPE,"22,07",Taka-akselisto,Bensiinimoottorin pakokaasumittaus
Mercedes-Benz,CLK,"23,77",Etuakselisto,Käyttöjarru
Mitsubishi,PAJERO,"24,62",Etuakselisto,Ohjausnivelet ja -tangot
Lada-Vaz,SAMARA,"24,82",Bensiinimoottorin pakokaasumittaus,Alustan kotelot ja pohjalevy
Mercedes-Benz,S,"25,20",Etuakselisto,Taka-akselisto
Nissan,MICRA,"25,68",Alustan kotelot ja pohjalevy,Käyttöjarrun dynamometritesti
Honda,ACCORD,"25,83",Käyttöjarru,Seisontajarrun dynamometritesti
Suzuki,SWIFT,"26,71",Käyttöjarrun dynamometritesti,Bensiinimoottorin pakokaasumittaus
Opel,AGILA,"26,88",Etuakselisto,Seisontajarrun dynamometritesti
Volkswagen,NEW BEETLE,"27,27",Bensiinimoottorin pakokaasumittaus,Etuakselisto
Opel,ASTRA,"27,66",Bensiinimoottorin pakokaasumittaus,Seisontajarrun dynamometritesti
Mazda,2,"28,79",Käyttöjarru,Etuakselisto
Volvo,C70,"28,83",Ohjausnivelet ja -tangot,Käyttöjarru
Chevrolet,ALERO,"28,87",Käyttöjarru,Jousitus ja iskunvaimennus
Saab,9-3,"29,30",Seisontajarrun dynamometritesti,Etuakselisto
Ford,FIESTA,"29,81",Bensiinimoottorin pakokaasumittaus,Jousitus ja iskunvaimennus
Honda,CR-V,"29,85",Etuakselisto,Bensiinimoottorin pakokaasumittaus
Land Rover,FREELANDER,"30,19",Bensiinimoottorin pakokaasumittaus,Ohjausnivelet ja -tangot
Nissan,ALMERA,"30,78",Käyttöjarru,Seisontajarrun dynamometritesti
Volvo,S70,"31,16",Etuakselisto,Ohjausnivelet ja -tangot
