Merkki,Malli,Hylkäys %,Yleisin hylkäyssyy,Toiseksi yleisin hylkäyssyy
Kaikki yhteensä,"","15,17","",""
"","","","",""
Toyota,COROLLA,"4,80",Käyttöjarru,Käyttöjarrun dynamometritesti
Toyota,RAV4,"4,87",Käyttöjarru,Jousitus ja iskunvaimennus
Honda,HR-V,"4,93","",""
Toyota,LAND CRUISER,"5,18","",""
Toyota,AVENSIS,"5,46",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Honda,CR-V,"5,51",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Audi,A6,"6,04",Renkaat ja vanteet,Käyttöjarru
Honda,CIVIC,"6,13",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Nissan,ALMERA,"6,26",Käyttöjarru,Sisäinen valvontajärjestelmä (OBD)
Volkswagen,JETTA,"6,63",Käyttöjarru,Renkaat ja vanteet
Honda,ACCORD,"6,72",Etuakselisto,Sisäinen valvontajärjestelmä (OBD)
Subaru,IMPREZA,"7,06","",""
Toyota,YARIS,"7,07",Käyttöjarru,Käyttöjarrun dynamometritesti
Honda,JAZZ,"7,09",Käyttöjarru,Renkaat ja vanteet
Volkswagen,BORA,"7,14",Sisäinen valvontajärjestelmä (OBD),Seisontajarrun dynamometritesti
Audi,A4,"7,33",Käyttöjarru,Sisäinen valvontajärjestelmä (OBD)
Subaru,FORESTER,"7,45",Sisäinen valvontajärjestelmä (OBD),Jousitus ja iskunvaimennus
Honda,FR-V,"7,60",Sisäinen valvontajärjestelmä (OBD),Renkaat ja vanteet
Audi,A3,"7,72",Käyttöjarru,Sisäinen valvontajärjestelmä (OBD)
Hyundai,ACCENT,"7,77","",""
Subaru,LEGACY,"7,83",Sisäinen valvontajärjestelmä (OBD),Bensiinimoottorin pakokaasumittaus
Hyundai,GETZ,"8,14",Sisäinen valvontajärjestelmä (OBD),Bensiinimoottorin pakokaasumittaus
Suzuki,GRAND VITARA,"8,15","",""
Volkswagen,GOLF,"8,19",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Mazda,2,"8,32","",""
