Merkki,Malli,Hylkäys %,Yleisin hylkäyssyy,Toiseksi yleisin hylkäyssyy
Kaikki yhteensä,"","36,9","",""
"","","","",""
Toyota,COROLLA,"11,8",Jousitus ja iskunvaimennus,Bensiinimoottorin pakokaasumittaus
Mercedes-Benz,SLK,"12,8",Etuakselisto,Jousitus ja iskunvaimennus
Toyota,AVENSIS,"17,5",Seisontajarrun dynamometritesti,Käyttöjarrun dynamometritesti
Toyota,LAND CRUISER,"19,1",Seisontajarrun dynamometritesti,Käyttöjarru
Honda,CIVIC,"20,4",Etuakselisto,Bensiinimoottorin pakokaasumittaus
Toyota,YARIS,"21,0",Käyttöjarru,Alustan kotelot ja pohjalevy
Subaru,LEGACY,"22,4",Bensiinimoottorin pakokaasumittaus,Käyttöjarru
Honda,HR-V,"22,6",Ohjausnivelet ja -tangot,Alustan kotelot ja pohjalevy
Saab,9-5,"23,2",Taka-akselisto,Seisontajarrun dynamometritesti
Toyota,RAV4,"23,3",Käyttöjarru,Jousitus ja iskunvaimennus
Toyota,CELICA,"24,1",Bensiinimoottorin pakokaasumittaus,Seisontajarrun dynamometritesti
Chevrolet,ALERO,"24,8",Käyttöjarru,Etuakselisto
Volvo,C70,"25,7",Käyttöjarru,Etuakselisto
Mitsubishi,PAJERO,"27,5",Etuakselisto,Käyttöjarru
Mercedes-Benz,CLK,"28,2",Etuakselisto,Käyttöjarru
Lada-Vaz,SAMARA,"28,2",Bensiinimoottorin pakokaasumittaus,Käyttöjarru
Audi,TT,"28,5",Ohjausnivelet ja -tangot,Jousitus ja iskunvaimennus
Opel,AGILA,"28,9",Etuakselisto,Seisontajarrun dynamometritesti
Jaguar,S-TYPE,"29,0",Seisontajarrun dynamometritesti,Etuakselisto
Volkswagen,NEW BEETLE,"29,4",Bensiinimoottorin pakokaasumittaus,Ohjausnivelet ja -tangot
Saab,9-3,"29,4",Seisontajarrun dynamometritesti,Etuakselisto
Jeep,CHEROKEE,"30,6",Seisontajarrun dynamometritesti,Ohjausnivelet ja -tangot
Nissan,MICRA,"30,9",Alustan kotelot ja pohjalevy,Käyttöjarrun dynamometritesti
Chrysler,300,"31,5",Etuakselisto,Ohjausnivelet ja -tangot
Honda,CR-V,"32,1",Etuakselisto,Bensiinimoottorin pakokaasumittaus
Volvo,S70,"32,2",Etuakselisto,Ohjausnivelet ja -tangot
Opel,ASTRA,"33,1",Bensiinimoottorin pakokaasumittaus,Seisontajarrun dynamometritesti
Mazda,2,"33,2",Etuakselisto,Alustan kotelot ja pohjalevy
Opel,CORSA,"33,3",Jousitus ja iskunvaimennus,Ohjausnivelet ja -tangot
Ford,FIESTA,"33,5",Bensiinimoottorin pakokaasumittaus,Etuakselisto
Honda,ACCORD,"34,3",Etuakselisto,Käyttöjarru
Volvo,S40,"34,4",Käyttöjarru,Seisontajarrun dynamometritesti
Mitsubishi,CARISMA,"34,7",Etuakselisto,Käyttöjarrun dynamometritesti
Nissan,ALMERA,"34,8",Alustan kotelot ja pohjalevy,Käyttöjarru
Volkswagen,POLO,"34,8",Käyttöjarrun dynamometritesti,Käyttöjarru
Skoda,FELICIA,"35,7",Käyttöjarrun dynamometritesti,Käyttöjarru
Volvo,S60,"35,9",Etuakselisto,Käyttöjarru
Suzuki,SWIFT,"35,9",Alustan kotelot ja pohjalevy,Käyttöjarrun dynamometritesti
Volvo,S80,"35,9",Etuakselisto,Käyttöjarru
Subaru,IMPREZA,"36,0",Bensiinimoottorin pakokaasumittaus,Käyttöjarru
Audi,A3,"36,1",Käyttöjarru,Bensiinimoottorin pakokaasumittaus
Land Rover,FREELANDER,"36,6",Bensiinimoottorin pakokaasumittaus,Ohjausnivelet ja -tangot
Citroen,SAXO,"36,8",Käyttöjarrun dynamometritesti,Bensiinimoottorin pakokaasumittaus
Mitsubishi,COLT,"36,9",Alustan kotelot ja pohjalevy,Ohjausnivelet ja -tangot
Volkswagen,BORA,"38,2",Käyttöjarru,Ohjausnivelet ja -tangot
Peugeot,607,"38,5",Etuakselisto,Seisontajarrun dynamometritesti
Chrysler,PT CRUISER,"38,7",Etuakselisto,Ohjausnivelet ja -tangot
Volkswagen,GOLF,"38,8",Bensiinimoottorin pakokaasumittaus,Käyttöjarru
Renault,MEGANE,"38,8",Etuakselisto,Bensiinimoottorin pakokaasumittaus
Renault,TWINGO,"38,8",Käyttöjarrun dynamometritesti,Seisontajarrun dynamometritesti
Suzuki,BALENO,"38,9",Bensiinimoottorin pakokaasumittaus,Etuakselisto
Seat,IBIZA,"39,1",Bensiinimoottorin pakokaasumittaus,Etuakselisto
Citroen,XANTIA,"39,1",Etuakselisto,Käyttöjarru
Mercedes-Benz,A,"39,2",Jousitus ja iskunvaimennus,Käyttöjarrun dynamometritesti
Volvo,V40,"39,4",Käyttöjarru,Seisontajarrun dynamometritesti
Renault,CLIO,"39,6",Jousitus ja iskunvaimennus,Etuakselisto
Audi,A6,"39,6",Etuakselisto,Käyttöjarru
Rover,75,"39,7",Etuakselisto,Ohjausnivelet ja -tangot
BMW,3,"39,9",Etuakselisto,Seisontajarrun dynamometritesti
Opel,OMEGA,"40,2",Ohjausnivelet ja -tangot,Seisontajarrun dynamometritesti
Ford,GALAXY,"40,5",Seisontajarrun dynamometritesti,Käyttöjarru
Citroen,BERLINGO,"40,5",Käyttöjarru,Käyttöjarrun dynamometritesti
Skoda,FABIA,"40,6",Käyttöjarru,Seisontajarrun dynamometritesti
Audi,A4,"40,7",Etuakselisto,Käyttöjarru
Peugeot,306,"41,3",Käyttöjarru,Seisontajarrun dynamometritesti
Ford,FOCUS,"41,7",Seisontajarrun dynamometritesti,Bensiinimoottorin pakokaasumittaus
BMW,5,"41,8",Seisontajarrun dynamometritesti,Käyttöjarru
Skoda,OCTAVIA,"41,9",Ohjausnivelet ja -tangot,Bensiinimoottorin pakokaasumittaus
Chrysler,NEON,"42,4",Etuakselisto,Jousitus ja iskunvaimennus
Volvo,V70,"42,5",Etuakselisto,Seisontajarrun dynamometritesti
Citroen,XSARA,"43,1",Käyttöjarru,Etuakselisto
Peugeot,206,"43,5",Etuakselisto,Käyttöjarru
Suzuki,ALTO,"43,9",Käyttöjarrun dynamometritesti,Alustan kotelot ja pohjalevy
Fiat,PUNTO,"44,2",Alustan kotelot ja pohjalevy,Etuakselisto
Mercedes-Benz,C,"44,2",Etuakselisto,Jousitus ja iskunvaimennus
Seat,TOLEDO,"44,2",Käyttöjarru,Etuakselisto
Nissan,MAXIMA QX,"44,7",Alustan kotelot ja pohjalevy,Etuakselisto
Mercedes-Benz,E,"45,3",Jousitus ja iskunvaimennus,Etuakselisto
Seat,LEON,"45,3",Käyttöjarru,Ohjausnivelet ja -tangot
Peugeot,PARTNER,"45,7",Etuakselisto,Käyttöjarru
Seat,CORDOBA,"46,4",Seisontajarrun dynamometritesti,Käyttöjarrun dynamometritesti
Opel,VECTRA,"46,5",Taka-akselisto,Seisontajarrun dynamometritesti
Mitsubishi,GALANT,"46,8",Käyttöjarrun dynamometritesti,Etuakselisto
Nissan,PRIMERA,"47,0",Alustan kotelot ja pohjalevy,Etuakselisto
Opel,ZAFIRA,"47,1",Seisontajarrun dynamometritesti,Bensiinimoottorin pakokaasumittaus
Ford,ESCORT,"47,9",Alustan kotelot ja pohjalevy,Etuakselisto
Citroen,XSARA PICASSO,"48,0",Etuakselisto,Bensiinimoottorin pakokaasumittaus
Fiat,BRAVO,"48,1",Bensiinimoottorin pakokaasumittaus,Etuakselisto
Ford,KA,"49,2",Alustan kotelot ja pohjalevy,Jousitus ja iskunvaimennus
Chrysler,VOYAGER,"49,5",Seisontajarrun dynamometritesti,Ohjausnivelet ja -tangot
Fiat,BRAVA,"49,8",Bensiinimoottorin pakokaasumittaus,Etuakselisto
Peugeot,406,"51,5",Taka-akselisto,Etuakselisto
Mercedes-Benz,M,"51,8",Ohjausnivelet ja -tangot,Etuakselisto
Renault,LAGUNA,"52,7",Etuakselisto,Käyttöjarru
Ford,MONDEO,"56,3",Etuakselisto,Käyttöjarru
Alfa Romeo,156,"58,2",Alustan kotelot ja pohjalevy,Etuakselisto
Fiat,MAREA,"59,3",Alustan kotelot ja pohjalevy,Etuakselisto
