Merkki,Malli,Hylkäys %,Yleisin hylkäyssyy,Toiseksi yleisin hylkäyssyy
Kaikki yhteensä,"","9,73","",""
"","","","",""
Volvo,XC60,"1,53","",""
Suzuki,SWIFT,"1,75","",""
Ford,FUSION,"2,34","",""
Toyota,PRIUS,"3,33",Käyttöjarru,Sisäinen valvontajärjestelmä (OBD)
Toyota,AURIS,"3,62","",""
Toyota,COROLLA,"3,86",Käyttöjarru,Renkaat ja vanteet
Audi,A5,"3,87","",""
Volkswagen,TIGUAN,"3,90",Jousitus ja iskunvaimennus,Renkaat ja vanteet
Opel,MERIVA,"3,93","",""
Audi,A3,"4,17",Renkaat ja vanteet,Sisäinen valvontajärjestelmä (OBD)
Volvo,S40,"4,40",Etuakselisto,Renkaat ja vanteet
Toyota,YARIS,"4,60","",""
Honda,JAZZ,"4,80","",""
Volkswagen,GOLF,"4,81",Dieselmoottorin pakokaasumittaus,Renkaat ja vanteet
Toyota,AVENSIS,"4,86",Käyttöjarru,Dieselmoottorin pakokaasumittaus
Smart,FORTWO,"4,92","",""
Ford,KUGA,"4,98","",""
Audi,A6,"5,06",Sisäinen valvontajärjestelmä (OBD),Renkaat ja vanteet
Suzuki,GRAND VITARA,"5,06","",""
Skoda,OCTAVIA,"5,11",Dieselmoottorin pakokaasumittaus,Renkaat ja vanteet
Subaru,IMPREZA,"5,23","",""
Mitsubishi,COLT,"5,31","",""
Seat,ALTEA,"5,34",Renkaat ja vanteet,Dieselmoottorin pakokaasumittaus
Audi,A4,"5,39",Etuakselisto,Renkaat ja vanteet
Honda,ACCORD,"5,44",Renkaat ja vanteet,Käyttöjarru
Volvo,C30,"5,46","",""
Subaru,LEGACY,"5,49","",""
Ford,FIESTA,"5,58",Renkaat ja vanteet,Ohjausnivelet ja -tangot
Mazda,3,"5,61",Etuakselisto,Jousitus ja iskunvaimennus
Toyota,LAND CRUISER,"5,75","",""
Volkswagen,JETTA,"5,91",Dieselmoottorin pakokaasumittaus,Renkaat ja vanteet
Mitsubishi,LANCER,"6,10",Sisäinen valvontajärjestelmä (OBD),Ohjausnivelet ja -tangot
Toyota,AYGO,"6,21",Käyttöjarru,Renkaat ja vanteet
BMW,X6,"6,33","",""
Seat,LEON,"6,65","",""
Volkswagen,PASSAT,"6,69",Dieselmoottorin pakokaasumittaus,Renkaat ja vanteet
Nissan,MICRA,"6,77",Etuakselisto,Ohjausnivelet ja -tangot
Volkswagen,TOURAN,"6,77",Renkaat ja vanteet,Bensiinimoottorin pakokaasumittaus
Volvo,C70,"6,88",Ohjausnivelet ja -tangot,Jousitus ja iskunvaimennus
