Merkki,Malli,Hylkäys %,Yleisin hylkäyssyy,Toiseksi yleisin hylkäyssyy
Kaikki yhteensä,"","29,29","",""
"","","","",""
Honda,HR-V,"5,88","",""
Toyota,COROLLA,"8,48",Sisäinen valvontajärjestelmä (OBD),Jousitus ja iskunvaimennus
Mercedes-Benz,SLK,"9,82","",""
Toyota,AVENSIS,"11,84",Seisontajarrun dynamometritesti,Käyttöjarrun dynamometritesti
Toyota,RAV4,"12,43",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Toyota,YARIS,"12,95",Käyttöjarru,Käyttöjarrun dynamometritesti
Honda,CR-V,"14,38","",""
Ford,FIESTA,"14,84",Jousitus ja iskunvaimennus,Taka-akselisto
Honda,CIVIC,"17,59",Jousitus ja iskunvaimennus,Sisäinen valvontajärjestelmä (OBD)
Opel,AGILA,"18,14",Etuakselisto,Seisontajarrun dynamometritesti
Mercedes-Benz,CLK,"18,40","",""
Nissan,ALMERA,"18,59",Käyttöjarru,Sisäinen valvontajärjestelmä (OBD)
Saab,9-5,"18,85",Taka-akselisto,Sisäinen valvontajärjestelmä (OBD)
Jaguar,S-TYPE,"19,44","",""
Jeep,CHEROKEE,"19,60",Seisontajarrun dynamometritesti,Käyttöjarrun dynamometritesti
Nissan,MICRA,"20,25",Sisäinen valvontajärjestelmä (OBD),Käyttöjarrun dynamometritesti
Honda,ACCORD,"20,68",Käyttöjarru,Etuakselisto
Suzuki,SWIFT,"22,00","",""
Audi,TT,"22,15","",""
Mazda,2,"22,49",Käyttöjarru,Seisontajarrun dynamometritesti
Volkswagen,BORA,"23,94",Etuakselisto,Käyttöjarru
Ford,KA,"24,72",Jousitus ja iskunvaimennus,Etuakselisto
Ford,FOCUS,"24,91",Seisontajarrun dynamometritesti,Ohjausnivelet ja -tangot
Mitsubishi,SPACE STAR,"25,00",Seisontajarrun dynamometritesti,Käyttöjarru
Volkswagen,GOLF,"25,13",Käyttöjarru,Etuakselisto
Mitsubishi,CARISMA,"25,50",Käyttöjarru,Seisontajarrun dynamometritesti
Mitsubishi,PAJERO,"25,64",Ohjausnivelet ja -tangot,Etuakselisto
Opel,ASTRA,"25,75",Ohjausnivelet ja -tangot,Jousitus ja iskunvaimennus
Saab,9-3,"26,25",Etuakselisto,Seisontajarrun dynamometritesti
Audi,A3,"26,32",Sisäinen valvontajärjestelmä (OBD),Etuakselisto
Nissan,PRIMERA,"26,63",Käyttöjarru,Etuakselisto
Audi,A2,"26,92","",""
Opel,CORSA,"28,21",Jousitus ja iskunvaimennus,Ohjausnivelet ja -tangot
BMW,X5,"28,24",Sisäinen valvontajärjestelmä (OBD),Etuakselisto
Audi,A4,"28,66",Käyttöjarru,Sisäinen valvontajärjestelmä (OBD)
Honda,STREAM,"28,70",Sisäinen valvontajärjestelmä (OBD),Käyttöjarrun dynamometritesti
Seat,TOLEDO,"29,52",Ohjausnivelet ja -tangot,Etuakselisto
