Merkki,Malli,Hylkäys %,Yleisin hylkäyssyy,Toiseksi yleisin hylkäyssyy
Kaikki yhteensä,"","27,8","",""
"","","","",""
Toyota,CAMRY,"8,9","",""
Honda,HR-V,"9,1","",""
Audi,A8,"9,7","",""
Ford,FIESTA,"11,1",Jousitus ja iskunvaimennus,Käyttöjarrun dynamometritesti
Honda,JAZZ,"12,0",Käyttöjarru,Sisäinen valvontajärjestelmä (OBD)
Toyota,COROLLA,"12,4",Käyttöjarru,Käyttöjarrun dynamometritesti
Toyota,RAV4,"12,9",Käyttöjarru,Sisäinen valvontajärjestelmä (OBD)
Toyota,AVENSIS,"14,0",Käyttöjarru,Sisäinen valvontajärjestelmä (OBD)
BMW,Z4,"14,3",Sisäinen valvontajärjestelmä (OBD),Jousitus ja iskunvaimennus
Subaru,FORESTER,"14,6","",""
Toyota,YARIS,"15,4",Käyttöjarru,Käyttöjarrun dynamometritesti
Suzuki,GRAND VITARA,"15,7",Sisäinen valvontajärjestelmä (OBD),Seisontajarrun dynamometritesti
Hyundai,GETZ,"15,9",Bensiinimoottorin pakokaasumittaus,Käyttöjarru
Toyota,LAND CRUISER,"16,1",Etuakselisto,Seisontajarrun dynamometritesti
Subaru,LEGACY,"16,3","",""
Jaguar,S-TYPE,"17,2","",""
Land Rover,FREELANDER,"17,7",Ohjausnivelet ja -tangot,Seisontajarrun dynamometritesti
Suzuki,LIANA,"17,8",Etuakselisto,Käyttöjarrun dynamometritesti
Volkswagen,BORA,"19,2",Käyttöjarru,Sisäinen valvontajärjestelmä (OBD)
Honda,CIVIC,"19,4",Käyttöjarru,Seisontajarrun dynamometritesti
Honda,CR-V,"19,6",Sisäinen valvontajärjestelmä (OBD),Jousitus ja iskunvaimennus
Ford,FUSION,"20,7",Jousitus ja iskunvaimennus,Bensiinimoottorin pakokaasumittaus
Nissan,ALMERA,"20,7",Käyttöjarru,Seisontajarrun dynamometritesti
Volkswagen,GOLF,"20,8",Käyttöjarru,Sisäinen valvontajärjestelmä (OBD)
Saab,9-5,"21,5",Taka-akselisto,Sisäinen valvontajärjestelmä (OBD)
Audi,A4,"22,7",Käyttöjarru,Etuakselisto
Volkswagen,TOUAREG,"23,5",Käyttöjarru,Sisäinen valvontajärjestelmä (OBD)
Nissan,MICRA,"23,6",Etuakselisto,Ohjausnivelet ja -tangot
Audi,A3,"24,2",Käyttöjarru,Sisäinen valvontajärjestelmä (OBD)
Ford,FOCUS,"24,4",Seisontajarrun dynamometritesti,Käyttöjarrun dynamometritesti
Opel,ASTRA,"24,9",Jousitus ja iskunvaimennus,Ohjausnivelet ja -tangot
