Merkki,Malli,Hylkäys %,Yleisin hylkäyssyy,Toiseksi yleisin hylkäyssyy
Kaikki yhteensä,"","13,01","",""
"","","","",""
Honda,HR-V,"1,44","",""
Toyota,RAV4,"2,55","",""
Suzuki,GRAND VITARA,"3,05","",""
Honda,CR-V,"3,45","",""
Honda,ACCORD,"3,76",Käyttöjarru,Renkaat ja vanteet
Toyota,LAND CRUISER,"3,85","",""
Toyota,COROLLA,"4,16",Käyttöjarru,Renkaat ja vanteet
Toyota,RAV4,"4,31","",""
Nissan,ALMERA,"4,62",Käyttöjarru,Sisäinen valvontajärjestelmä (OBD)
Mazda,2,"4,74","",""
Audi,A6,"4,76",Käyttöjarru,Renkaat ja vanteet
Subaru,FORESTER,"4,95",Jousitus ja iskunvaimennus,Sisäinen valvontajärjestelmä (OBD)
Honda,CIVIC,"4,98",Sisäinen valvontajärjestelmä (OBD),Renkaat ja vanteet
Subaru,LEGACY,"5,02","",""
Hyundai,GETZ,"5,04",Sisäinen valvontajärjestelmä (OBD),Renkaat ja vanteet
Toyota,AVENSIS,"5,07",Sisäinen valvontajärjestelmä (OBD),Renkaat ja vanteet
Toyota,YARIS,"5,20",Käyttöjarru,Käyttöjarrun dynamometritesti
Mazda,6,"5,31",Käyttöjarrun dynamometritesti,Etuakselisto
Honda,CR-V,"5,35",Sisäinen valvontajärjestelmä (OBD),Renkaat ja vanteet
Volkswagen,BORA,"5,36",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Audi,A4,"5,54",Renkaat ja vanteet,Käyttöjarru
Subaru,IMPREZA,"5,95","",""
Toyota,HIACE,"6,25","",""
Volkswagen,GOLF,"6,43",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Audi,A3,"6,88",Sisäinen valvontajärjestelmä (OBD),Renkaat ja vanteet
Volkswagen,JETTA,"6,96","",""
Mazda,3,"7,05",Jousitus ja iskunvaimennus,Etuakselisto
Ford,FUSION,"7,09","",""
Seat,ALTEA,"7,12","",""
Volvo,S40,"7,13",Sisäinen valvontajärjestelmä (OBD),Jousitus ja iskunvaimennus
Mitsubishi,COLT,"7,55",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Mercedes-Benz,SLK,"7,55","",""
