Merkki,Malli,Hylkäys %,Yleisin hylkäyssyy,Toiseksi yleisin hylkäyssyy
Kaikki yhteensä,"","31,3","",""
"","","","",""
Toyota,CAMRY,"8,4","",""
Honda,HR-V,"13,5",Bensiinimoottorin pakokaasumittaus,Ohjausnivelet ja -tangot
Toyota,COROLLA,"14,8",Käyttöjarru,Käyttöjarrun dynamometritesti
Toyota,RAV4,"15,6",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Toyota,AVENSIS,"16,2",Seisontajarrun dynamometritesti,Käyttöjarru
Ford,FIESTA,"18,1",Jousitus ja iskunvaimennus,Käyttöjarrun dynamometritesti
Toyota,YARIS,"20,0",Käyttöjarru,Jousitus ja iskunvaimennus
Honda,CR-V,"21,3",Sisäinen valvontajärjestelmä (OBD),Jousitus ja iskunvaimennus
Jeep,CHEROKEE,"22,3",Etuakselisto,Ohjausnivelet ja -tangot
Nissan,ALMERA,"22,3",Käyttöjarru,Seisontajarrun dynamometritesti
Honda,CIVIC,"22,4",Käyttöjarru,Etuakselisto
Volkswagen,BORA,"22,7",Käyttöjarru,Sisäinen valvontajärjestelmä (OBD)
Mitsubishi,PAJERO,"23,2",Etuakselisto,Alustan kotelot ja pohjalevy
Suzuki,LIANA,"24,4",Etuakselisto,Käyttöjarrun dynamometritesti
Audi,A3,"24,5",Käyttöjarru,Sisäinen valvontajärjestelmä (OBD)
Volkswagen,GOLF,"24,6",Käyttöjarru,Sisäinen valvontajärjestelmä (OBD)
Nissan,MICRA,"24,6",Etuakselisto,Käyttöjarrun dynamometritesti
Audi,TT,"24,6","",""
Opel,CORSA,"26,7",Jousitus ja iskunvaimennus,Seisontajarrun dynamometritesti
Saab,9-5,"27,2",Taka-akselisto,Etuakselisto
Saab,9-3,"27,3",Etuakselisto,Käyttöjarru
Lada-Vaz,SAMARA,"27,5",Sisäinen valvontajärjestelmä (OBD),Käyttöjarrun dynamometritesti
Jaguar,S-TYPE,"27,5",Käyttöjarru,Sisäinen valvontajärjestelmä (OBD)
Opel,ASTRA,"28,2",Jousitus ja iskunvaimennus,Seisontajarrun dynamometritesti
Audi,A4,"28,3",Käyttöjarru,Etuakselisto
Volvo,C70,"29,0",Etuakselisto,Seisontajarrun dynamometritesti
Skoda,OCTAVIA,"29,2",Käyttöjarru,Sisäinen valvontajärjestelmä (OBD)
Mercedes-Benz,CLK,"30,2",Jousitus ja iskunvaimennus,Etuakselisto
Peugeot,607,"30,3",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Volvo,S80,"30,4",Etuakselisto,Seisontajarrun dynamometritesti
Seat,TOLEDO,"30,5",Seisontajarrun dynamometritesti,Käyttöjarru
Ford,FOCUS,"30,6",Seisontajarrun dynamometritesti,Etuakselisto
