Merkki,Malli,Hylkäys %,Yleisin hylkäyssyy,Toiseksi yleisin hylkäyssyy
Kaikki yhteensä,"","20,86","",""
"","","","",""
Honda,HR-V,"4,39","",""
Toyota,COROLLA,"6,93",Käyttöjarru,Käyttöjarrun dynamometritesti
Mitsubishi,COLT,"7,14","",""
Subaru,LEGACY,"7,21","",""
Toyota,LAND CRUISER,"7,57","",""
Toyota,RAV4,"7,79",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Toyota,CAMRY,"8,09","",""
Ford,FUSION,"8,11","",""
Toyota,AVENSIS,"8,71",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Toyota,YARIS,"9,18",Käyttöjarru,Käyttöjarrun dynamometritesti
Ford,FIESTA,"9,45",Jousitus ja iskunvaimennus,Käyttöjarru
Mazda,2,"9,48","",""
Honda,CIVIC,"10,14",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Land Rover,FREELANDER,"10,48",Ohjausnivelet ja -tangot,Sisäinen valvontajärjestelmä (OBD)
Suzuki,IGNIS,"10,62","",""
Suzuki,LIANA,"10,73","",""
Jaguar,S-TYPE,"10,95","",""
Honda,CR-V,"11,00",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Subaru,IMPREZA,"11,00","",""
Hyundai,GETZ,"11,82",Sisäinen valvontajärjestelmä (OBD),Renkaat ja vanteet
Volkswagen,BORA,"11,88",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Kia,PICANTO,"11,88","",""
Nissan,ALMERA,"11,95",Käyttöjarru,Seisontajarrun dynamometritesti
Honda,JAZZ,"12,04",Käyttöjarru,Renkaat ja vanteet
Mazda,RX-8,"12,50","",""
Suzuki,GRAND VITARA,"12,95","",""
Audi,A4,"13,43",Käyttöjarru,Etuakselisto
Mazda,6,"13,68",Käyttöjarrun dynamometritesti,Käyttöjarru
Volkswagen,GOLF,"14,66",Käyttöjarru,Sisäinen valvontajärjestelmä (OBD)
BMW,X3,"14,68",Jousitus ja iskunvaimennus,Käyttöjarru
Nissan,MAXIMA QX,"15,28",Etuakselisto,Käyttöjarru
Mazda,PREMACY,"15,79",Käyttöjarru,Käyttöjarrun dynamometritesti
Hyundai,SONATA,"16,00","",""
Audi,A3,"16,02",Käyttöjarru,Jousitus ja iskunvaimennus
