Merkki,Malli,Hylkäys %,Yleisin hylkäyssyy,Toiseksi yleisin hylkäyssyy
Kaikki yhteensä,"","16,10","",""
"","","","",""
Lexus,RX400H,"2,00","",""
Toyota,LAND CRUISER,"4,40","",""
Ford,FUSION,"4,67","",""
Suzuki,GRAND VITARA,"5,10","",""
Audi,TT,"5,50","",""
Toyota,AYGO,"5,81",Renkaat ja vanteet,Käyttöjarru
Toyota,YARIS,"5,85",Jousitus ja iskunvaimennus,Sisäinen valvontajärjestelmä (OBD)
Toyota,COROLLA,"5,98",Käyttöjarru,Renkaat ja vanteet
Peugeot,107,"6,11","",""
Lexus,IS250,"6,11","",""
Nissan,ALMERA,"6,28",Käyttöjarru,Seisontajarrun dynamometritesti
Hyundai,GETZ,"6,49",Sisäinen valvontajärjestelmä (OBD),Renkaat ja vanteet
Citroen,C1,"6,82","",""
Volkswagen,TOUAREG,"7,41","",""
Toyota,AVENSIS,"7,64",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Audi,A6,"8,23",Sisäinen valvontajärjestelmä (OBD),Renkaat ja vanteet
Toyota,HIACE,"8,33","",""
Suzuki,SWIFT,"8,63","",""
Suzuki,SX4,"8,65","",""
Volkswagen,GOLF,"8,74",Käyttöjarru,Sisäinen valvontajärjestelmä (OBD)
Honda,FR-V,"9,13",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Honda,JAZZ,"9,25",Käyttöjarru,Renkaat ja vanteet
Mini,COOPER/ ONE,"9,26",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Toyota,RAV4,"9,35",Jousitus ja iskunvaimennus,Käyttöjarru
Mazda,2,"9,57",Jousitus ja iskunvaimennus,Renkaat ja vanteet
Audi,A4,"9,58",Käyttöjarru,Renkaat ja vanteet
Subaru,LEGACY,"9,75",Sisäinen valvontajärjestelmä (OBD),Bensiinimoottorin pakokaasumittaus
Honda,CR-V,"9,98",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Mazda,6,"10,07",Käyttöjarrun dynamometritesti,Etuakselisto
Smart,SMART,"10,19","",""
Audi,A3,"10,20",Käyttöjarru,Dieselmoottorin pakokaasumittaus
Subaru,FORESTER,"10,47",Sisäinen valvontajärjestelmä (OBD),Jousitus ja iskunvaimennus
Volkswagen,JETTA,"10,87",Käyttöjarru,Seisontajarrun dynamometritesti
Ford,FIESTA,"10,96",Jousitus ja iskunvaimennus,Seisontajarrun dynamometritesti
Smart,FORFOUR,"11,27",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Suzuki,LIANA,"11,40",Sisäinen valvontajärjestelmä (OBD),Renkaat ja vanteet
Audi,Q7,"11,48",Etuakselisto,Käyttöjarru
Jeep,CHEROKEE,"11,52",Etuakselisto,Seisontajarrun dynamometritesti
Seat,LEON,"11,52",Käyttöjarru,Seisontajarrun dynamometritesti
Mitsubishi,COLT,"11,88",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Honda,ACCORD,"12,32",Etuakselisto,Käyttöjarru
Saab,9-5,"12,34",Taka-akselisto,Sisäinen valvontajärjestelmä (OBD)
Subaru,IMPREZA,"13,08",Sisäinen valvontajärjestelmä (OBD),Bensiinimoottorin pakokaasumittaus
Mitsubishi,LANCER,"13,08",Ohjausnivelet ja -tangot,Sisäinen valvontajärjestelmä (OBD)
Honda,CIVIC,"13,31",Käyttöjarru,Jousitus ja iskunvaimennus
Land Rover,RANGE ROVER,"13,45","",""
Mercedes-Benz,S,"13,59",Sisäinen valvontajärjestelmä (OBD),Seisontajarrun dynamometritesti
Hyundai,ACCENT,"13,64","",""
Citroen,XSARA PICASSO,"13,74",Ohjausnivelet ja -tangot,Sisäinen valvontajärjestelmä (OBD)
Kia,CERATO,"13,75",Käyttöjarru,Sisäinen valvontajärjestelmä (OBD)
Volkswagen,POLO,"13,78",Etuakselisto,Käyttöjarrun dynamometritesti
Ford,KA,"13,85",Etuakselisto,Jousitus ja iskunvaimennus
Ford,MONDEO,"13,92",Käyttöjarru,Jousitus ja iskunvaimennus
Mitsubishi,PAJERO,"14,06","",""
