Merkki,Malli,Hylkäys %,Yleisin hylkäyssyy,Toiseksi yleisin hylkäyssyy
Kaikki yhteensä,"","14,35","",""
"","","","",""
Nissan,ALMERA,"4,08",Käyttöjarru,Sisäinen valvontajärjestelmä (OBD)
Honda,JAZZ,"4,38","",""
Suzuki,GRAND VITARA,"4,41","",""
Toyota,COROLLA,"4,86",Käyttöjarru,Renkaat ja vanteet
Toyota,YARIS,"5,15",Jousitus ja iskunvaimennus,Käyttöjarru
Toyota,LAND CRUISER,"5,18","",""
Suzuki,LIANA,"5,41","",""
Hyundai,GETZ,"5,48",Sisäinen valvontajärjestelmä (OBD),Renkaat ja vanteet
Honda,CR-V,"5,68",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Audi,Q7,"5,84","",""
Citroen,C1,"5,91","",""
Toyota,AYGO,"6,09",Käyttöjarru,Renkaat ja vanteet
Subaru,LEGACY,"6,60","",""
Toyota,AVENSIS,"6,62",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Volkswagen,GOLF,"6,66",Käyttöjarru,Sisäinen valvontajärjestelmä (OBD)
Audi,A6,"6,80",Sisäinen valvontajärjestelmä (OBD),Renkaat ja vanteet
Smart,FORFOUR,"7,37",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Peugeot,107,"7,52","",""
Audi,A4,"7,52",Käyttöjarru,Dieselmoottorin pakokaasumittaus
Mercedes-Benz,S,"7,55","",""
Mazda,6,"7,56",Käyttöjarru,Käyttöjarrun dynamometritesti
Lexus,IS250,"7,87","",""
Volkswagen,POLO,"8,52",Etuakselisto,Seisontajarrun dynamometritesti
Volkswagen,JETTA,"8,65",Käyttöjarru,Dieselmoottorin pakokaasumittaus
Mitsubishi,COLT,"8,71",Sisäinen valvontajärjestelmä (OBD),Jousitus ja iskunvaimennus
Suzuki,SWIFT,"8,71",Etuakselisto,Käyttöjarrun dynamometritesti
Toyota,RAV4,"8,99",Jousitus ja iskunvaimennus,Käyttöjarru
Mini,COOPER/ ONE,"9,09","",""
Audi,TT,"9,52","",""
Volkswagen,TOUAREG,"9,82","",""
Volvo,S40,"9,86",Jousitus ja iskunvaimennus,Etuakselisto
Honda,ACCORD,"10,06",Käyttöjarru,Etuakselisto
Subaru,FORESTER,"10,18",Jousitus ja iskunvaimennus,Sisäinen valvontajärjestelmä (OBD)
Ford,FIESTA,"10,42",Jousitus ja iskunvaimennus,Käyttöjarrun dynamometritesti
Seat,LEON,"10,49",Renkaat ja vanteet,Sisäinen valvontajärjestelmä (OBD)
Skoda,SUPERB,"10,49",Etuakselisto,Dieselmoottorin pakokaasumittaus
Audi,A3,"10,79",Dieselmoottorin pakokaasumittaus,Etuakselisto
Kia,PICANTO,"10,82",Käyttöjarru,Käyttöjarrun dynamometritesti
Kia,RIO,"10,93",Käyttöjarru,Käyttöjarrun dynamometritesti
Ford,MONDEO,"10,96",Käyttöjarru,Jousitus ja iskunvaimennus
Ford,FUSION,"10,97",Jousitus ja iskunvaimennus,Bensiinimoottorin pakokaasumittaus
Saab,9-5,"11,13",Taka-akselisto,Sisäinen valvontajärjestelmä (OBD)
Honda,CIVIC,"11,19",Jousitus ja iskunvaimennus,Sisäinen valvontajärjestelmä (OBD)
Toyota,HIACE,"11,21","",""
Smart,SMART,"11,21","",""
Honda,FR-V,"11,48","",""
Kia,CERATO,"11,50",Käyttöjarru,Sisäinen valvontajärjestelmä (OBD)
Hyundai,ACCENT,"11,61","",""
Mercedes-Benz,SLK,"11,65","",""
Lada-Vaz,112,"12,50",Sisäinen valvontajärjestelmä (OBD),Käyttöjarrun dynamometritesti
Subaru,IMPREZA,"12,50",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Skoda,OCTAVIA,"12,52",Etuakselisto,Käyttöjarru
Mitsubishi,LANCER,"12,64",Sisäinen valvontajärjestelmä (OBD),Ohjausnivelet ja -tangot
Ford,KA,"12,75",Etuakselisto,Jousitus ja iskunvaimennus
Nissan,MICRA,"12,94",Etuakselisto,Ohjausnivelet ja -tangot
Chevrolet,EPICA,"13,25","",""
Nissan,NOTE,"13,59",Etuakselisto,Jousitus ja iskunvaimennus
Mazda,3,"13,60",Etuakselisto,Jousitus ja iskunvaimennus
Volvo,S80,"13,86",Seisontajarrun dynamometritesti,Ohjausnivelet ja -tangot
Land Rover,DISCOVERY 3,"13,87","",""
BMW,1,"14,04",Taka-akselisto,Käyttöjarru
Ford,S-MAX,"14,05",Ohjausnivelet ja -tangot,Käyttöjarru
Ford,FOCUS C-MAX,"14,14",Jousitus ja iskunvaimennus,Etuakselisto
Volvo,C70,"14,23",Käyttöjarru,Jousitus ja iskunvaimennus
Mazda,2,"14,29",Jousitus ja iskunvaimennus,Seisontajarrun dynamometritesti
Jeep,CHEROKEE,"14,29",Jousitus ja iskunvaimennus,Etuakselisto
Ford,GALAXY,"14,29","",""
Mitsubishi,GRANDIS,"14,29",Ohjausnivelet ja -tangot,Sisäinen valvontajärjestelmä (OBD)
Nissan,X-TRAIL,"14,63",Ohjausnivelet ja -tangot,Käyttöjarru
Volkswagen,PASSAT,"14,77",Etuakselisto,Dieselmoottorin pakokaasumittaus
BMW,3,"14,81",Ohjausnivelet ja -tangot,Taka-akselisto
Opel,MERIVA,"14,81",Ohjausnivelet ja -tangot,Sisäinen valvontajärjestelmä (OBD)
Suzuki,SX4,"14,81",Jousitus ja iskunvaimennus,Sisäinen valvontajärjestelmä (OBD)
Volvo,V50,"15,05",Jousitus ja iskunvaimennus,Etuakselisto
Mercedes-Benz,A,"15,35",Jousitus ja iskunvaimennus,Käyttöjarru
Peugeot,207,"15,36",Etuakselisto,Ohjausnivelet ja -tangot
Mitsubishi,OUTLANDER,"15,70",Ohjausnivelet ja -tangot,Taka-akselisto
Skoda,FABIA,"15,73",Etuakselisto,Seisontajarrun dynamometritesti
Opel,CORSA,"15,96",Jousitus ja iskunvaimennus,Ohjausnivelet ja -tangot
BMW,X3,"16,04",Jousitus ja iskunvaimennus,Sisäinen valvontajärjestelmä (OBD)
Nissan,PRIMERA,"16,14",Ohjausnivelet ja -tangot,Etuakselisto
Volkswagen,CADDY,"16,18",Dieselmoottorin pakokaasumittaus,Etuakselisto
Opel,ASTRA,"16,51",Jousitus ja iskunvaimennus,Ohjausnivelet ja -tangot
Chevrolet,KALOS,"16,90",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Peugeot,206,"17,03",Ohjausnivelet ja -tangot,Etuakselisto
Citroen,XSARA PICASSO,"17,15",Ohjausnivelet ja -tangot,Käyttöjarru
Ford,FOCUS,"17,76",Jousitus ja iskunvaimennus,Etuakselisto
Volvo,S60,"17,85",Ohjausnivelet ja -tangot,Käyttöjarru
Mercedes-Benz,B,"17,95",Jousitus ja iskunvaimennus,Käyttöjarru
Chevrolet,AVEO,"17,97",Etuakselisto,Sisäinen valvontajärjestelmä (OBD)
Ford,MAVERICK,"18,35",Käyttöjarru,Etuakselisto
Volkswagen,TOURAN,"18,37",Etuakselisto,Käyttöjarru
Skoda,ROOMSTER,"18,56",Etuakselisto,Käyttöjarru
Jaguar,S-TYPE,"18,63","",""
Seat,ALTEA,"18,64","",""
Kia,MAGENTIS,"18,75",Käyttöjarru,Etuakselisto
Fiat,PUNTO,"19,06",Jousitus ja iskunvaimennus,Sisäinen valvontajärjestelmä (OBD)
Chevrolet,NUBIRA,"19,17",Jousitus ja iskunvaimennus,Käyttöjarrun dynamometritesti
Hyundai,SANTA FE,"19,46",Etuakselisto,Seisontajarrun dynamometritesti
Kia,SPORTAGE,"19,61",Jousitus ja iskunvaimennus,Käyttöjarru
Hyundai,SONATA,"19,80",Käyttöjarru,Etuakselisto
Chevrolet,CAPTIVA,"19,84",Sisäinen valvontajärjestelmä (OBD),Seisontajarrun dynamometritesti
Hyundai,MATRIX,"19,84","",""
Mercedes-Benz,CLS,"20,10",Etuakselisto,Renkaat ja vanteet
Opel,VECTRA,"20,15",Jousitus ja iskunvaimennus,Käyttöjarru
Seat,CORDOBA,"20,17",Seisontajarrun dynamometritesti,Etuakselisto
Peugeot,1007,"20,30",Etuakselisto,Ohjausnivelet ja -tangot
Citroen,C3,"20,34",Etuakselisto,Jarruvalo
BMW,X5,"20,53",Etuakselisto,Seisontajarrun dynamometritesti
Chevrolet,EVANDA,"20,59",Sisäinen valvontajärjestelmä (OBD),Ohjausnivelet ja -tangot
Citroen,C5,"20,71",Etuakselisto,Ohjausnivelet ja -tangot
Peugeot,407,"20,72",Etuakselisto,Käyttöjarru
Hyundai,ELANTRA,"21,10","",""
Opel,ZAFIRA,"21,28",Taka-akselisto,Ohjausnivelet ja -tangot
BMW,5,"21,30",Ohjausnivelet ja -tangot,Käyttöjarru
Hyundai,TUCSON,"21,43",Jousitus ja iskunvaimennus,Käyttöjarru
