Merkki,Malli,Hylkäys %,Yleisin hylkäyssyy,Toiseksi yleisin hylkäyssyy
Kaikki yhteensä,"","4,10","",""
"","","","",""
Volvo,C30,",00","",""
Audi,Q5,",27","",""
Kia,SPORTAGE,",68","",""
Peugeot,107,",79","",""
Skoda,YETI,",79","",""
Volvo,C70,",84","",""
Toyota,IQ,",86","",""
Volvo,XC60,",94","",""
Audi,A4,"1,03","",""
Toyota,VERSO,"1,21","",""
Toyota,AVENSIS,"1,22","",""
Mitsubishi,COLT,"1,30","",""
Toyota,AURIS,"1,45","",""
Seat,IBIZA,"1,51","",""
Mazda,3,"1,52","",""
Toyota,YARIS,"1,54","",""
Opel,ASTRA,"1,73","",""
Volvo,V50,"1,80","",""
Honda,JAZZ,"1,81","",""
Suzuki,SX4,"1,86","",""
Mitsubishi,OUTLANDER,"1,94","",""
Volvo,S40,"1,95","",""
Volkswagen,TIGUAN,"1,95","",""
Volkswagen,SCIROCCO,"1,97","",""
Toyota,URBAN CRUISER,"1,97","",""
Audi,A3,"2,07",Bensiinimoottorin pakokaasumittaus,Renkaat ja vanteet
Ford,FUSION,"2,08","",""
Nissan,X-TRAIL,"2,13","",""
Toyota,PRIUS,"2,14","",""
Honda,INSIGHT,"2,27","",""
Audi,A6,"2,42","",""
BMW,X5,"2,44","",""
Toyota,COROLLA,"2,45","",""
Honda,CR-V,"2,45","",""
Mazda,6,"2,49","",""
Ford,FOCUS C-MAX,"2,50","",""
Nissan,TIIDA,"2,51","",""
Skoda,FABIA,"2,58","",""
Saab,9-3,"2,67","",""
Honda,ACCORD,"2,70","",""
Audi,A5,"2,79","",""
Skoda,OCTAVIA,"2,81",Bensiinimoottorin pakokaasumittaus,Dieselmoottorin pakokaasumittaus
Volkswagen,GOLF,"2,85",Bensiinimoottorin pakokaasumittaus,Valmistajan kilpi
Subaru,LEGACY,"2,87","",""
Mercedes-Benz,GLK,"2,95","",""
Ford,KUGA,"3,03","",""
Mercedes-Benz,C,"3,07","",""
Nissan,QASHQAI,"3,09","",""
Fiat,LINEA,"3,15","",""
Skoda,SUPERB,"3,19","",""
Suzuki,ALTO,"3,21","",""
Toyota,AYGO,"3,35","",""
Volkswagen,PASSAT,"3,39","",""
BMW,1,"3,49","",""
