Merkki,Malli,Hylkäys %,Yleisin hylkäyssyy,Toiseksi yleisin hylkäyssyy
Kaikki yhteensä,"","32,13","",""
"","","","",""
Toyota,COROLLA,"9,69",Jousitus ja iskunvaimennus,Bensiinimoottorin pakokaasumittaus
Honda,HR-V,"11,82",Ohjausnivelet ja -tangot,Bensiinimoottorin pakokaasumittaus
Toyota,AVENSIS,"12,22",Jousitus ja iskunvaimennus,Käyttöjarrun dynamometritesti
Mercedes-Benz,SLK,"13,58",Etuakselisto,Renkaat ja vanteet
Subaru,LEGACY,"13,98",Bensiinimoottorin pakokaasumittaus,Jousitus ja iskunvaimennus
Toyota,YARIS,"14,76",Käyttöjarru,Käyttöjarrun dynamometritesti
Honda,CIVIC,"14,78",Etuakselisto,Bensiinimoottorin pakokaasumittaus
Jaguar,S-TYPE,"15,60",Käyttöjarru,Etuakselisto
Toyota,RAV4,"16,00",Bensiinimoottorin pakokaasumittaus,Käyttöjarru
Toyota,CELICA,"16,58",Bensiinimoottorin pakokaasumittaus,Seisontajarrun dynamometritesti
Mitsubishi,COLT,"18,52",Ohjausnivelet ja -tangot,Bensiinimoottorin pakokaasumittaus
Saab,9-5,"18,61",Taka-akselisto,Seisontajarrun dynamometritesti
Toyota,LAND CRUISER,"20,56","",""
Honda,CR-V,"21,62",Etuakselisto,Bensiinimoottorin pakokaasumittaus
Mitsubishi,PAJERO,"21,98",Etuakselisto,Jousitus ja iskunvaimennus
Nissan,MICRA,"22,18",Käyttöjarrun dynamometritesti,Alustan kotelot ja pohjalevy
Mitsubishi,CARISMA,"24,63",Käyttöjarrun dynamometritesti,Etuakselisto
Audi,TT,"25,19",Ohjausnivelet ja -tangot,Jousitus ja iskunvaimennus
Volkswagen,NEW BEETLE,"25,37",Bensiinimoottorin pakokaasumittaus,Käyttöjarru
Nissan,ALMERA,"25,65",Käyttöjarru,Bensiinimoottorin pakokaasumittaus
Mercedes-Benz,CLK,"26,03",Etuakselisto,Jousitus ja iskunvaimennus
Mazda,2,"26,47",Käyttöjarru,Etuakselisto
Saab,9-3,"26,90",Etuakselisto,Seisontajarrun dynamometritesti
Opel,ASTRA,"27,59",Jousitus ja iskunvaimennus,Bensiinimoottorin pakokaasumittaus
Lada-Vaz,SAMARA,"27,68",Bensiinimoottorin pakokaasumittaus,Alustan kotelot ja pohjalevy
Opel,AGILA,"27,87",Seisontajarrun dynamometritesti,Käyttöjarru
Ford,FIESTA,"28,09",Jousitus ja iskunvaimennus,Seisontajarrun dynamometritesti
Nissan,TERRANO II,"28,21",Etuakselisto,Käyttöjarrun dynamometritesti
Suzuki,SWIFT,"28,31",Käyttöjarrun dynamometritesti,Bensiinimoottorin pakokaasumittaus
Ford,GALAXY,"28,91",Jousitus ja iskunvaimennus,Käyttöjarru
Volvo,S70,"29,09",Ohjausnivelet ja -tangot,Etuakselisto
Honda,ACCORD,"29,56",Etuakselisto,Käyttöjarru
Chrysler,300,"29,66",Käyttöjarru,Etuakselisto
Mitsubishi,LANCER,"29,70","",""
Suzuki,BALENO,"29,90",Bensiinimoottorin pakokaasumittaus,Etuakselisto
Jeep,CHEROKEE,"30,12",Seisontajarrun dynamometritesti,Ohjausnivelet ja -tangot
Chevrolet,ALERO,"30,28",Käyttöjarru,Käyttöjarrun dynamometritesti
Opel,CORSA,"30,57",Jousitus ja iskunvaimennus,Ohjausnivelet ja -tangot
Citroen,SAXO,"30,75",Etuakselisto,Käyttöjarrun dynamometritesti
Audi,A3,"31,65",Ohjausnivelet ja -tangot,Käyttöjarru
Chrysler,NEON,"31,74",Etuakselisto,Jousitus ja iskunvaimennus
Volkswagen,BORA,"31,89",Etuakselisto,Käyttöjarru
Volkswagen,GOLF,"31,95",Käyttöjarru,Bensiinimoottorin pakokaasumittaus
Volvo,S40,"32,19",Käyttöjarru,Seisontajarrun dynamometritesti
Volkswagen,POLO,"32,45",Käyttöjarru,Käyttöjarrun dynamometritesti
Rover,75,"32,56",Etuakselisto,Seisontajarrun dynamometritesti
Ford,FOCUS,"32,92",Seisontajarrun dynamometritesti,Ohjausnivelet ja -tangot
Land Rover,FREELANDER,"33,04",Bensiinimoottorin pakokaasumittaus,Ohjausnivelet ja -tangot
BMW,5,"33,51",Etuakselisto,Käyttöjarru
Volvo,S80,"33,93",Etuakselisto,Käyttöjarru
Renault,MEGANE,"34,08",Etuakselisto,Käyttöjarru
Renault,TWINGO,"34,13",Käyttöjarrun dynamometritesti,Ohjausnivelet ja -tangot
Skoda,FELICIA,"34,76",Etuakselisto,Käyttöjarru
Peugeot,607,"35,25",Käyttöjarrun dynamometritesti,Seisontajarrun dynamometritesti
Nissan,MAXIMA QX,"35,80",Etuakselisto,Alustan kotelot ja pohjalevy
Mercedes-Benz,A,"35,82",Jousitus ja iskunvaimennus,Käyttöjarru
Peugeot,306,"35,93",Käyttöjarru,Seisontajarrun dynamometritesti
Citroen,XANTIA,"35,97",Etuakselisto,Ohjausnivelet ja -tangot
Volvo,S60,"36,23",Etuakselisto,Käyttöjarru
Renault,CLIO,"36,51",Jousitus ja iskunvaimennus,Ohjausnivelet ja -tangot
Nissan,PRIMERA,"36,52",Seisontajarrun dynamometritesti,Etuakselisto
Peugeot,206,"36,59",Etuakselisto,Käyttöjarru
Skoda,FABIA,"36,69",Käyttöjarru,Etuakselisto
Opel,OMEGA,"36,84",Ohjausnivelet ja -tangot,Seisontajarrun dynamometritesti
Seat,LEON,"37,14",Ohjausnivelet ja -tangot,Käyttöjarru
Fiat,PUNTO,"37,21",Alustan kotelot ja pohjalevy,Etuakselisto
Volvo,V40,"37,38",Käyttöjarru,Seisontajarrun dynamometritesti
Mitsubishi,GALANT,"37,58",Ohjausnivelet ja -tangot,Etuakselisto
BMW,3,"37,63",Käyttöjarru,Etuakselisto
Mercedes-Benz,C,"37,65",Etuakselisto,Käyttöjarru
Audi,A4,"37,69",Etuakselisto,Ohjausnivelet ja -tangot
Seat,IBIZA,"37,99",Bensiinimoottorin pakokaasumittaus,Etuakselisto
Audi,A6,"38,11",Etuakselisto,Ohjausnivelet ja -tangot
Skoda,OCTAVIA,"38,41",Etuakselisto,Ohjausnivelet ja -tangot
Ford,KA,"38,48",Alustan kotelot ja pohjalevy,Jousitus ja iskunvaimennus
Citroen,XSARA,"39,13",Käyttöjarru,Etuakselisto
Opel,VECTRA,"39,32",Seisontajarrun dynamometritesti,Taka-akselisto
Chrysler,PT CRUISER,"39,40",Etuakselisto,Ohjausnivelet ja -tangot
Suzuki,ALTO,"39,85",Käyttöjarrun dynamometritesti,Alustan kotelot ja pohjalevy
Volkswagen,PASSAT,"39,90",Etuakselisto,Käyttöjarru
Peugeot,PARTNER,"40,12",Etuakselisto,Käyttöjarrun dynamometritesti
Seat,TOLEDO,"40,25",Ohjausnivelet ja -tangot,Käyttöjarru
Ford,ESCORT,"40,29",Etuakselisto,Alustan kotelot ja pohjalevy
Lada-Vaz,110,"40,63",Bensiinimoottorin pakokaasumittaus,Käyttöjarrun dynamometritesti
Opel,ZAFIRA,"41,67",Seisontajarrun dynamometritesti,Jousitus ja iskunvaimennus
Citroen,XSARA PICASSO,"42,09",Etuakselisto,Ohjausnivelet ja -tangot
Citroen,BERLINGO,"42,14",Etuakselisto,Ohjausnivelet ja -tangot
Mercedes-Benz,E,"42,40",Jousitus ja iskunvaimennus,Etuakselisto
Chrysler,VOYAGER,"42,48",Seisontajarrun dynamometritesti,Ohjausnivelet ja -tangot
Fiat,BRAVA,"43,38",Bensiinimoottorin pakokaasumittaus,Etuakselisto
Lada-Vaz,111,"43,86",Alustan kotelot ja pohjalevy,Bensiinimoottorin pakokaasumittaus
Mercedes-Benz,M,"44,92",Ohjausnivelet ja -tangot,Käyttöjarru
Volvo,VOLVO (S),"45,21",Jousitus ja iskunvaimennus,""
Seat,CORDOBA,"45,28",Etuakselisto,Käyttöjarrun dynamometritesti
Renault,LAGUNA,"45,76",Etuakselisto,Ohjausnivelet ja -tangot
Peugeot,406,"46,32",Taka-akselisto,Ohjausnivelet ja -tangot
Fiat,BRAVO,"48,38",Bensiinimoottorin pakokaasumittaus,Etuakselisto
Ford,MONDEO,"49,54",Etuakselisto,Käyttöjarru
Chevrolet,TRANS SPORT V6,"49,56","",""
Renault,KANGOO,"49,63",Etuakselisto,Alustan kotelot ja pohjalevy
Fiat,MAREA,"51,38",Etuakselisto,Alustan kotelot ja pohjalevy
