Merkki,Malli,Hylkäys %,Yleisin hylkäyssyy,Toiseksi yleisin hylkäyssyy
Kaikki yhteensä,"","32,94","",""
"","","","",""
Toyota,COROLLA,"10,34",Sisäinen valvontajärjestelmä (OBD),Käyttöjarrun dynamometritesti
Toyota,AVENSIS,"14,52",Käyttöjarrun dynamometritesti,Seisontajarrun dynamometritesti
Honda,HR-V,"15,38",Ohjausnivelet ja -tangot,Sisäinen valvontajärjestelmä (OBD)
Toyota,RAV4,"16,53",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
Subaru,LEGACY,"16,67","",""
Mercedes-Benz,SLK,"16,67","",""
Toyota,YARIS,"17,06",Käyttöjarru,Alustan kotelot ja pohjalevy
Honda,CIVIC,"22,53",Sisäinen valvontajärjestelmä (OBD),Jousitus ja iskunvaimennus
Opel,AGILA,"22,65",Etuakselisto,Seisontajarrun dynamometritesti
Jeep,CHEROKEE,"23,50",Taka-akselisto,Seisontajarrun dynamometritesti
Ford,FIESTA,"23,81",Jousitus ja iskunvaimennus,Taka-akselisto
Honda,CR-V,"24,00",Etuakselisto,Bensiinimoottorin pakokaasumittaus
Nissan,ALMERA,"24,17",Käyttöjarru,Seisontajarrun dynamometritesti
Audi,TT,"25,00",Sisäinen valvontajärjestelmä (OBD),Ohjausnivelet ja -tangot
Suzuki,WAGON R,"25,23",Käyttöjarrun dynamometritesti,Etuakselisto
Nissan,MICRA,"25,39",Käyttöjarrun dynamometritesti,Alustan kotelot ja pohjalevy
Saab,9-5,"25,41",Taka-akselisto,Sisäinen valvontajärjestelmä (OBD)
Audi,AUDI,"26,46","",""
Mercedes-Benz,CLK,"26,49",Sisäinen valvontajärjestelmä (OBD),Etuakselisto
Mitsubishi,PAJERO,"26,60",Etuakselisto,Käyttöjarrun dynamometritesti
Opel,ASTRA,"27,37",Jousitus ja iskunvaimennus,Ohjausnivelet ja -tangot
Opel,CORSA,"27,56",Jousitus ja iskunvaimennus,Seisontajarrun dynamometritesti
Mazda,2,"28,60",Alustan kotelot ja pohjalevy,Käyttöjarru
Audi,A4,"30,03",Käyttöjarru,Etuakselisto
Saab,9-3,"30,81",Etuakselisto,Seisontajarrun dynamometritesti
Audi,A2,"30,95",Sisäinen valvontajärjestelmä (OBD),Seisontajarrun dynamometritesti
Audi,A3,"31,01",Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
