Merkki,Malli,Hylkäys %,Yleisin hylkäyssyy,Toiseksi yleisin hylkäyssyy
Jaguar,S-TYPE,"31,25",Seisontajarrun dynamometritesti,Sisäinen valvontajärjestelmä (OBD)
Volkswagen,BORA,"31,26",Etuakselisto,Käyttöjarru
Volkswagen,GOLF,"31,37",Etuakselisto,Käyttöjarru
Honda,ACCORD,"31,39",Etuakselisto,Käyttöjarru
Mitsubishi,CARISMA,"31,41",Käyttöjarru,Etuakselisto
Renault,TWINGO,"31,71",Jousitus ja iskunvaimennus,Seisontajarrun dynamometritesti
Nissan,MAXIMA QX,"32,25",Etuakselisto,Sisäinen valvontajärjestelmä (OBD)
Ford,FOCUS,"32,41",Seisontajarrun dynamometritesti,Ohjausnivelet ja -tangot
Ford,KA,"32,53",Alustan kotelot ja pohjalevy,Jousitus ja iskunvaimennus
Lada-Vaz,SAMARA,"32,73",Sisäinen valvontajärjestelmä (OBD),Käyttöjarrun dynamometritesti
Honda,STREAM,"33,05",Jousitus ja iskunvaimennus,Käyttöjarru
Renault,CLIO,"33,66",Etuakselisto,Ohjausnivelet ja -tangot
Peugeot,306,"33,74",Käyttöjarru,Etuakselisto
Mercedes-Benz,A,"33,91",Jousitus ja iskunvaimennus,Käyttöjarrun dynamometritesti
Volvo,S60,"34,06",Etuakselisto,Käyttöjarru
Volvo,S80,"34,06",Etuakselisto,Käyttöjarru
Renault,MEGANE,"34,27",Etuakselisto,Käyttöjarru
Volkswagen,POLO,"34,44",Etuakselisto,Käyttöjarrun dynamometritesti
Lada-Vaz,112,"34,55",Sisäinen valvontajärjestelmä (OBD),Käyttöjarrun dynamometritesti
Chrysler,SEBRING,"34,63",Etuakselisto,Ohjausnivelet ja -tangot
Fiat,PUNTO,"34,69",Sisäinen valvontajärjestelmä (OBD),Alustan kotelot ja pohjalevy
Ford,GALAXY,"34,81",Seisontajarrun dynamometritesti,Käyttöjarru
Opel,OMEGA,"34,86",Ohjausnivelet ja -tangot,Seisontajarrun dynamometritesti
Mitsubishi,SPACE STAR,"34,91",Seisontajarrun dynamometritesti,Käyttöjarru
Seat,TOLEDO,"34,98",Ohjausnivelet ja -tangot,Etuakselisto
Volvo,S40,"35,22",Käyttöjarru,Sisäinen valvontajärjestelmä (OBD)
Audi,A6,"35,51",Etuakselisto,Käyttöjarru
Peugeot,307,"35,59",Etuakselisto,Ohjausnivelet ja -tangot
Citroen,BERLINGO,"35,79",Etuakselisto,Käyttöjarrun dynamometritesti
Chrysler,NEON,"35,90",Etuakselisto,Ohjausnivelet ja -tangot
Skoda,OCTAVIA,"36,19",Etuakselisto,Ohjausnivelet ja -tangot
Volvo,V70,"36,24",Etuakselisto,Käyttöjarru
Seat,IBIZA,"36,39",Sisäinen valvontajärjestelmä (OBD),Etuakselisto
Citroen,SAXO,"36,61",Käyttöjarrun dynamometritesti,Bensiinimoottorin pakokaasumittaus
Land Rover,FREELANDER,"36,62",Sisäinen valvontajärjestelmä (OBD),Seisontajarrun dynamometritesti
Nissan,PRIMERA,"36,63",Etuakselisto,Käyttöjarru
BMW,5,"37,40",Etuakselisto,Sisäinen valvontajärjestelmä (OBD)
BMW,3,"37,70",Käyttöjarru,Etuakselisto
Peugeot,607,"38,21",Sisäinen valvontajärjestelmä (OBD),Etuakselisto
Citroen,XSARA,"38,60",Etuakselisto,Sisäinen valvontajärjestelmä (OBD)
Volkswagen,PASSAT,"39,10",Etuakselisto,Käyttöjarru
Volvo,V40,"39,17",Käyttöjarru,Seisontajarrun dynamometritesti
Mercedes-Benz,C,"39,47",Etuakselisto,Jousitus ja iskunvaimennus
BMW,X5,"39,85",Sisäinen valvontajärjestelmä (OBD),Etuakselisto
Alfa Romeo,147,"40,19",Etuakselisto,Alustan kotelot ja pohjalevy
Seat,CORDOBA,"40,20",Etuakselisto,Käyttöjarrun dynamometritesti
Chrysler,VOYAGER,"40,28",Seisontajarrun dynamometritesti,Käyttöjarru
Opel,VECTRA,"41,02",Taka-akselisto,Käyttöjarru
Opel,ZAFIRA,"41,20",Seisontajarrun dynamometritesti,Sisäinen valvontajärjestelmä (OBD)
Mercedes-Benz,E,"41,59",Jousitus ja iskunvaimennus,Etuakselisto
Peugeot,PARTNER,"42,36",Käyttöjarru,Etuakselisto
Chrysler,PT CRUISER,"42,43",Etuakselisto,Ohjausnivelet ja -tangot
Skoda,FABIA,"42,84",Käyttöjarru,Etuakselisto
Peugeot,206,"43,10",Etuakselisto,Käyttöjarru
Ford,MONDEO,"43,78",Seisontajarrun dynamometritesti,Käyttöjarru
Fiat,BRAVO,"44,31",Käyttöjarru,Sisäinen valvontajärjestelmä (OBD)
Fiat,BRAVA,"44,68",Sisäinen valvontajärjestelmä (OBD),Etuakselisto
Citroen,XSARA PICASSO,"45,40",Sisäinen valvontajärjestelmä (OBD),Etuakselisto
Fiat,MAREA,"46,91",Sisäinen valvontajärjestelmä (OBD),Alustan kotelot ja pohjalevy
Citroen,C5,"47,93",Sisäinen valvontajärjestelmä (OBD),Etuakselisto
Mercedes-Benz,M,"48,66",Ohjausnivelet ja -tangot,Käyttöjarru
Renault,KANGOO,"50,00",Etuakselisto,Jousitus ja iskunvaimennus
Peugeot,406,"51,20",Sisäinen valvontajärjestelmä (OBD),Taka-akselisto
Renault,LAGUNA,"52,11",Etuakselisto,Ohjausnivelet ja -tangot
Alfa Romeo,156,"53,33",Etuakselisto,Alustan kotelot ja pohjalevy
